timestamp,tds_v,tempC,ph_v
19,1.92097,16.500,6.03710
19,1.92742,16.500,6.04032
20,1.92581,16.500,6.03871
21,1.93226,16.500,6.03710
21,1.91774,16.500,6.04355
22,1.92419,16.500,6.04355
22,1.93387,16.500,6.04032
23,1.94032,16.500,6.03710
24,1.92742,16.500,6.04355
24,1.93065,16.500,6.04194
25,1.93226,16.500,6.05000
25,1.93065,16.500,6.03871
26,1.92581,16.500,6.04516
27,1.92258,16.500,6.04032
27,1.91935,16.500,6.04516
28,1.92581,16.500,6.04032
29,1.92903,16.500,6.02903
29,1.93065,16.500,6.03226
30,1.93226,16.500,6.04677
30,1.93065,16.500,6.04516
31,1.93226,16.500,6.04194
32,1.93065,16.500,6.03710
32,1.92419,16.500,6.03548
33,1.92419,16.500,6.03548
33,1.92903,16.500,6.04677
34,1.92581,16.500,6.04032
35,1.92742,16.500,6.04194
35,1.93065,16.500,6.03387
36,1.93065,16.500,6.03548
36,1.92097,16.500,6.03871
37,1.92742,16.500,6.04677
38,1.92581,16.500,6.04032
38,1.93065,16.500,6.03548
39,1.92903,16.500,6.04032
39,1.91613,16.500,6.03871
40,1.91935,16.500,6.04355
41,1.92742,16.500,6.03871
41,1.93548,16.500,6.03226
42,1.92581,16.500,6.03387
43,1.92419,16.500,6.04032
43,1.92742,16.500,6.03710
44,1.92581,16.500,6.03548
44,1.92903,16.500,6.04032
45,1.93065,16.500,6.04194
46,1.93065,16.500,6.05323
46,1.93226,16.500,6.03548
47,1.93226,16.500,6.04032
47,1.91452,16.500,6.03548
48,1.93226,16.500,6.04355
49,1.92903,16.500,6.04355
49,1.93065,16.500,6.03871
49,1.93548,16.500,6.03871
49,1.92581,16.500,6.03710
50,1.93226,16.500,6.04032
51,1.93226,16.500,6.03387
51,1.91935,16.500,6.03226
52,1.92742,16.500,6.03548
53,1.91774,16.500,6.03710
53,1.92903,16.500,6.03548
54,1.92742,16.500,6.03548
54,1.92581,16.500,6.04194
55,1.93065,16.500,6.03548
56,1.92419,16.500,6.03548
56,1.92097,16.500,6.03387
57,1.92742,16.500,6.04516
57,1.91935,16.500,6.03548
58,1.92742,16.500,6.03710
59,1.92258,16.500,6.03710
59,1.92419,16.500,6.03710
60,1.91129,16.500,6.04194
61,1.90806,16.500,6.03387
61,1.92742,16.500,6.04032
62,1.94194,16.500,6.03548
62,1.92903,16.500,6.04032
63,1.92581,16.500,6.04355
64,1.92258,16.500,6.03226
64,1.93548,16.500,6.03871
65,1.93226,16.500,6.03871
65,1.91774,16.500,6.03548
66,1.91774,16.500,6.03871
67,1.92258,16.500,6.03871
67,1.92903,16.500,6.04032
68,1.93065,16.500,6.03548
68,1.92419,16.500,6.04355
69,1.92258,16.500,6.04516
70,1.92581,16.500,6.03710
70,1.92742,16.500,6.03387
71,1.89516,16.500,6.03548
72,1.92419,16.500,6.03548
72,1.92097,16.500,6.04355
73,1.92419,16.500,6.03548
73,1.93065,16.500,6.03871
74,1.92419,16.500,6.03710
75,1.92097,16.500,6.03871
75,1.93065,16.500,6.03871
76,1.92581,16.500,6.03387
76,1.92258,16.500,6.03387
77,1.92903,16.500,6.03710
78,1.92258,16.500,6.03226
78,1.92097,16.500,6.03387
79,1.92581,16.500,6.04032
79,1.92581,16.500,6.03871
80,1.92097,16.500,6.03387
81,1.92419,16.500,6.03226
81,1.92581,16.500,6.03226
82,1.92903,16.500,6.03710
82,1.92742,16.500,6.04032
83,1.92742,16.500,6.03548
83,1.92742,16.500,6.03871
84,1.92419,16.500,6.03871
85,1.93065,16.500,6.04194
85,1.92903,16.500,6.03065
86,1.93226,16.500,6.04194
86,1.92419,16.500,6.04032
