timestamp,tds_v,tempC,ph_v
20,1.89516,16.500,6.03226
21,1.88710,16.500,6.03548
21,1.89839,16.500,6.03387
22,1.90000,16.500,6.04355
22,1.88710,16.500,6.04355
23,1.90161,16.500,6.04194
24,1.89516,16.500,6.04194
24,1.89194,16.500,6.03065
25,1.91452,16.500,6.04032
25,1.89032,16.500,6.04839
26,1.90484,16.500,6.03065
27,1.85968,16.500,6.03548
27,1.89516,16.500,6.04032
28,1.88871,16.500,6.04194
29,1.89677,16.500,6.04032
29,1.89677,16.500,6.03226
30,1.90000,16.500,6.03387
31,1.90000,16.500,6.03710
31,1.89516,16.500,6.04032
32,1.88710,16.500,6.04032
32,1.89032,16.500,6.03387
33,1.89194,16.500,6.03710
34,1.90323,16.500,6.03387
34,1.90323,16.500,6.03387
35,1.89677,16.500,6.03871
35,1.89839,16.500,6.03065
36,1.89677,16.500,6.04032
37,1.89839,16.500,6.04355
37,1.90806,16.500,6.04032
37,1.89194,16.500,6.04516
37,1.89516,16.500,6.03710
38,1.89516,16.500,6.03871
39,1.89677,16.500,6.03871
39,1.90161,16.500,6.03387
40,1.89516,16.500,6.04194
40,1.90000,16.500,6.03710
41,1.89355,16.500,6.03710
42,1.89355,16.500,6.03387
42,1.89032,16.500,6.03387
43,1.89516,16.500,6.04516
44,1.89194,16.500,6.04032
44,1.89194,16.500,6.03871
45,1.90484,16.500,6.04032
45,1.89355,16.500,6.03387
46,1.89355,16.500,6.03710
47,1.88387,16.500,6.03548
47,1.90000,16.500,6.03548
48,1.89032,16.500,6.03226
48,1.89194,16.500,6.03548
49,1.88548,16.500,6.03710
50,1.89516,16.500,6.03710
50,1.89516,16.500,6.03065
51,1.88871,16.500,6.03710
51,1.89194,16.500,6.03548
52,1.89032,16.500,6.04194
53,1.89032,16.500,6.03710
53,1.89677,16.500,6.03548
54,1.90000,16.500,6.04032
54,1.89194,16.500,6.03548
55,1.87903,16.500,6.04516
56,1.89032,16.500,6.03871
56,1.90000,16.500,6.03226
57,1.89677,16.500,6.03710
58,1.89677,16.500,6.03871
58,1.89839,16.500,6.04032
59,1.89194,16.500,6.03065
59,1.89194,16.500,6.04194
60,1.89355,16.500,6.03710
61,1.89677,16.500,6.03710
61,1.87903,16.500,6.04194
62,1.90000,16.500,6.03710
62,1.89516,16.500,6.03226
63,1.89516,16.500,6.04194
64,1.89677,16.500,6.04194
64,1.89839,16.500,6.03710
65,1.89032,16.500,6.03065
65,1.89839,16.500,6.03226
66,1.89032,16.500,6.03548
67,1.90323,16.500,6.03548
67,1.89677,16.500,6.03710
68,1.89194,16.500,6.03065
68,1.89677,16.500,6.03871
69,1.89839,16.500,6.03548
70,1.89194,16.500,6.03710
70,1.87903,16.500,6.04194
71,1.89677,16.500,6.04032
71,1.88710,16.500,6.04677
72,1.89677,16.500,6.03387
73,1.89677,16.500,6.03710
73,1.88871,16.500,6.04194
74,1.89839,16.500,6.04194
74,1.89677,16.500,6.03548
75,1.89355,16.500,6.02903
76,1.90000,16.500,6.04355
76,1.90161,16.500,6.04032
77,1.90484,16.500,6.04032
78,1.89677,16.500,6.03710
78,1.89839,16.500,6.03387
79,1.89677,16.500,6.03387
79,1.89839,16.500,6.04677
79,1.89355,16.500,6.04355
80,1.89032,16.500,6.04032
80,1.89839,16.500,6.04032
81,1.89194,16.500,6.05000
81,1.89032,16.500,6.05000
82,1.89355,16.500,6.04194
83,1.89355,16.500,6.03710
83,1.89839,16.500,6.04194
84,1.89032,16.500,6.04355
84,1.89516,16.500,6.03710
85,1.89516,16.500,6.03387
86,1.90161,16.500,6.03548
86,1.89839,16.500,6.03548
87,1.87903,16.500,6.03871
87,1.90000,16.500,6.03065
88,1.89839,16.500,6.04194
89,1.89355,16.500,6.03871
89,1.89516,16.500,6.04194
90,1.88710,16.500,6.04516
90,1.90000,16.500,6.04516
91,1.89355,16.500,6.04032
92,1.89516,16.500,6.04194
92,1.88065,16.500,6.03871
93,1.90323,16.500,6.04032
93,1.89677,16.500,6.04032
94,1.88871,16.500,6.03548
