timestamp,tds_v,tempC,ph_v
19,1.12419,17.000,6.03226
20,1.12258,17.000,6.03710
21,1.12419,17.000,6.03387
21,1.11935,17.000,6.03387
22,1.11452,17.000,6.03871
22,1.11935,17.000,6.03548
23,1.12581,17.000,6.04194
24,1.12097,17.000,6.03548
24,1.12903,17.000,6.03710
25,1.11452,17.000,6.03871
25,1.12419,17.000,6.03710
26,1.10645,17.000,6.04032
27,1.10806,17.000,6.03226
27,1.11774,17.000,6.03710
28,1.11613,17.000,6.03548
28,1.11774,17.000,6.04032
29,1.11935,17.000,6.03710
30,1.12258,17.000,6.03871
30,1.12742,17.000,6.04355
31,1.12097,17.000,6.04194
31,1.12258,17.000,6.03548
32,1.12581,17.000,6.04032
33,1.12097,17.000,6.03710
33,1.12097,17.000,6.04032
34,1.12581,17.000,6.04194
34,1.12097,17.000,6.03871
35,1.11935,17.000,6.03710
36,1.11452,17.000,6.04032
36,1.12097,17.000,6.03871
36,1.12258,17.000,6.03871
36,1.12419,17.000,6.04194
37,1.13065,17.000,6.03871
38,1.11935,17.000,6.03226
38,1.13065,17.000,6.04032
39,1.12419,17.000,6.04194
40,1.11452,17.000,6.03871
40,1.12581,17.000,6.04032
41,1.12419,17.000,6.03548
41,1.12258,17.000,6.03710
42,1.10323,17.000,6.03710
43,1.12258,17.000,6.03871
43,1.11613,17.000,6.03871
44,1.12258,17.000,6.04032
44,1.11129,17.000,6.03226
45,1.12419,17.000,6.04194
46,1.12742,17.000,6.03710
46,1.11452,17.000,6.04355
47,1.11935,17.000,6.04032
47,1.11935,17.000,6.03871
48,1.12258,17.000,6.04194
49,1.12742,17.000,6.04032
49,1.13871,17.000,6.04516
50,1.12258,17.000,6.03387
50,1.11774,17.000,6.03871
51,1.12742,17.000,6.03710
52,1.11613,17.000,6.03710
52,1.12581,17.000,6.04355
53,1.11613,17.000,6.04839
53,1.15484,17.000,6.04194
54,1.11452,17.000,6.04032
55,1.12581,17.000,6.03871
55,1.12581,17.000,6.03871
56,1.12258,17.000,6.03871
56,1.12742,17.000,6.03710
57,1.12258,17.000,6.04032
58,1.12419,17.000,6.03548
58,1.11774,17.000,6.03871
59,1.12258,17.000,6.03871
59,1.12742,17.000,6.04032
60,1.12903,17.000,6.04032
61,1.12419,17.000,6.04194
61,1.12097,17.000,6.03387
62,1.12581,17.000,6.03548
62,1.11613,17.000,6.03548
63,1.12581,17.000,6.04032
64,1.11129,17.000,6.03710
64,1.11935,17.000,6.03548
65,1.09677,17.000,6.02903
66,1.12097,17.000,6.03710
66,1.12419,17.000,6.04032
67,1.11935,17.000,6.03710
67,1.10000,17.000,6.03548
68,1.12097,17.000,6.03710
69,1.12742,17.000,6.04032
69,1.11935,17.000,6.03226
70,1.12097,17.000,6.03871
70,1.12742,17.000,6.03226
71,1.12903,17.000,6.04194
72,1.12903,17.000,6.03548
72,1.12742,17.000,6.04032
73,1.11613,17.000,6.03871
73,1.12097,17.000,6.04355
74,1.12742,17.000,6.03387
74,1.12419,17.000,6.03387
75,1.13226,17.000,6.03710
75,1.11935,17.000,6.04032
76,1.12581,17.000,6.04032
77,1.11290,17.000,6.04032
77,1.12258,17.000,6.04355
