timestamp,tds_v,tempC,ph_v
20,1.11452,17.000,6.04194
21,1.12903,17.000,6.03387
21,1.12097,17.000,6.03387
22,1.11935,17.000,6.03871
22,1.11290,17.000,6.04194
22,1.12742,17.000,6.03871
23,1.08871,17.000,6.03387
23,1.11935,17.000,6.03387
24,1.11452,17.000,6.03065
24,1.12097,17.000,6.04355
25,1.12258,17.000,6.03548
26,1.12742,17.000,6.04355
26,1.11613,17.000,6.03871
27,1.11774,17.000,6.03548
27,1.13226,17.000,6.03226
28,1.12258,17.000,6.03387
29,1.11935,17.000,6.03548
29,1.12097,17.000,6.03871
30,1.12097,17.000,6.03548
31,1.12581,17.000,6.03387
31,1.12258,17.000,6.03226
32,1.12419,17.000,6.03871
32,1.12258,17.000,6.04194
33,1.11613,17.000,6.03548
34,1.13548,17.000,6.03710
34,1.11613,17.000,6.03548
35,1.11290,17.000,6.03548
35,1.12097,17.000,6.03065
36,1.12581,17.000,6.03387
37,1.11774,17.000,6.03226
37,1.12097,17.000,6.03710
38,1.10968,17.000,6.03548
39,1.12097,17.000,6.03548
39,1.11935,17.000,6.03226
40,1.12097,17.000,6.04194
40,1.11935,17.000,6.03226
41,1.11452,17.000,6.03548
42,1.12097,17.000,6.03387
42,1.11774,17.000,6.02581
43,1.11774,17.000,6.04677
43,1.11290,17.000,6.03710
44,1.12419,17.000,6.03065
45,1.12258,17.000,6.03387
45,1.11935,17.000,6.03387
46,1.12581,17.000,6.04355
46,1.12097,17.000,6.03387
47,1.11774,17.000,6.03065
48,1.12258,17.000,6.03871
48,1.12097,17.000,6.03226
49,1.11129,17.000,6.04194
49,1.11613,17.000,6.03548
50,1.11290,17.000,6.03871
51,1.11613,17.000,6.03871
51,1.12097,17.000,6.03871
52,1.11935,17.000,6.03710
52,1.08226,17.000,6.03226
53,1.12581,17.000,6.03871
54,1.11774,17.000,6.03226
54,1.12097,17.000,6.04032
55,1.11774,17.000,6.03871
55,1.11935,17.000,6.03871
56,1.13065,17.000,6.03710
57,1.12258,17.000,6.03226
57,1.12419,17.000,6.03548
58,1.11935,17.000,6.04032
58,1.12419,17.000,6.03387
59,1.12258,17.000,6.03548
60,1.12581,17.000,6.03871
60,1.11452,17.000,6.03710
61,1.13387,17.000,6.04032
61,1.11452,17.000,6.03548
62,1.11452,17.000,6.03387
63,1.12258,17.000,6.03710
63,1.08548,17.000,6.03871
64,1.13065,17.000,6.03548
64,1.12581,17.000,6.03226
64,1.15000,17.000,6.03065
65,1.11613,17.000,6.03710
65,1.11613,17.000,6.03387
66,1.11774,17.000,6.05000
67,1.12258,17.000,6.03226
67,1.13226,17.000,6.04194
68,1.12258,17.000,6.03871
68,1.11935,17.000,6.03387
69,1.12097,17.000,6.04839
70,1.11774,17.000,6.03710
70,1.11935,17.000,6.03710
71,1.12903,17.000,6.03226
71,1.11774,17.000,6.02903
72,1.12419,17.000,6.04839
73,1.11452,17.000,6.03710
73,1.10806,17.000,6.03871
74,1.12581,17.000,6.03226
74,1.11774,17.000,6.03387
75,1.12419,17.000,6.04516
76,1.11935,17.000,6.03871
76,1.12903,17.000,6.03226
77,1.12742,17.000,6.03387
77,1.12258,17.000,6.03387
78,1.11774,17.000,6.03871
79,1.12903,17.000,6.04032
79,1.11935,17.000,6.03871
80,1.11452,17.000,6.03387
80,1.12258,17.000,6.04194
81,1.12581,17.000,6.04355
82,1.11774,17.000,6.03710
82,1.11935,17.000,6.03710
83,1.11613,17.000,6.03710
83,1.11935,17.000,6.04194
84,1.12419,17.000,6.03871
85,1.12097,17.000,6.03871
85,1.11774,17.000,6.04032
86,1.11774,17.000,6.03871
86,1.12903,17.000,6.03387
87,1.11452,17.000,6.03710
88,1.09194,17.000,6.04355
88,1.12419,17.000,6.03871
89,1.13065,17.000,6.04194
89,1.11452,17.000,6.04194
90,1.12258,17.000,6.03871
91,1.12097,17.000,6.03548
91,1.12258,17.000,6.03710
92,1.11935,17.000,6.03065
93,1.12581,17.000,6.04516
93,1.11613,17.000,6.04032
94,1.11613,17.000,6.03710
