timestamp,tds_v,tempC,ph_v
18,1.11129,17.000,6.03065
19,1.12419,17.000,6.03710
20,1.11452,17.000,6.04194
20,1.12097,17.000,6.03710
21,1.11774,17.000,6.03387
21,1.11935,17.000,6.03387
22,1.12258,17.000,6.04032
23,1.11290,17.000,6.03710
23,1.11452,17.000,6.04194
24,1.13226,17.000,6.03710
24,1.12258,17.000,6.03710
25,1.12258,17.000,6.04355
26,1.11129,17.000,6.03065
26,1.10645,17.000,6.03387
27,1.11452,17.000,6.03871
27,1.11452,17.000,6.04032
28,1.12742,17.000,6.04032
29,1.13226,17.000,6.04032
29,1.11613,17.000,6.03871
30,1.12903,17.000,6.03871
30,1.11613,17.000,6.04032
31,1.12581,17.000,6.04516
32,1.08387,17.000,6.03226
32,1.11290,17.000,6.03387
33,1.10968,17.000,6.03548
33,1.11613,17.000,6.03710
34,1.11935,17.000,6.03710
35,1.11613,17.000,6.03871
35,1.11452,17.000,6.03226
36,1.11774,17.000,6.03065
36,1.12419,17.000,6.03710
37,1.11774,17.000,6.03548
38,1.11452,17.000,6.04194
38,1.12258,17.000,6.04032
39,1.11452,17.000,6.04355
39,1.11774,17.000,6.03387
40,1.11452,17.000,6.03710
41,1.11613,17.000,6.03871
41,1.11774,17.000,6.03871
42,1.12258,17.000,6.02742
42,1.11290,17.000,6.03548
43,1.12581,17.000,6.03871
44,1.11290,17.000,6.04032
44,1.11613,17.000,6.03710
45,1.12419,17.000,6.04032
46,1.12581,17.000,6.03548
46,1.11613,17.000,6.03226
47,1.11613,17.000,6.03710
47,1.10968,17.000,6.03387
48,1.11774,17.000,6.04355
49,1.11290,17.000,6.03871
49,1.11774,17.000,6.04355
50,1.12097,17.000,6.04032
50,1.10968,17.000,6.03548
51,1.12419,17.000,6.03548
52,1.11290,17.000,6.03871
52,1.11129,17.000,6.03065
53,1.11613,17.000,6.03710
53,1.12419,17.000,6.03871
53,1.13065,17.000,6.03548
54,1.12581,17.000,6.03226
54,1.11935,17.000,6.03548
55,1.11774,17.000,6.03387
55,1.12419,17.000,6.04032
56,1.11774,17.000,6.04516
57,1.11452,17.000,6.03871
57,1.11935,17.000,6.04194
58,1.11613,17.000,6.03387
58,1.11935,17.000,6.04032
59,1.13065,17.000,6.04194
60,1.11935,17.000,6.03226
60,1.14355,17.000,6.03710
61,1.11774,17.000,6.04032
61,1.11774,17.000,6.03871
62,1.12258,17.000,6.04194
63,1.12419,17.000,6.03387
63,1.11613,17.000,6.03548
64,1.11129,17.000,6.03548
64,1.11774,17.000,6.03710
65,1.11613,17.000,6.04516
66,1.11774,17.000,6.03226
66,1.11935,17.000,6.03387
67,1.10968,17.000,6.03387
67,1.11613,17.000,6.03548
68,1.12258,17.000,6.04194
69,1.11613,17.000,6.03387
69,1.11290,17.000,6.03871
70,1.14677,17.000,6.03226
71,1.11452,17.000,6.03710
71,1.13065,17.000,6.04677
72,1.12097,17.000,6.04032
72,1.11452,17.000,6.04355
73,1.12419,17.000,6.04516
74,1.12581,17.000,6.04032
74,1.10161,17.000,6.04355
75,1.11935,17.000,6.03548
75,1.12742,17.000,6.03065
76,1.11774,17.000,6.03226
77,1.12097,17.000,6.04516
77,1.12742,17.000,6.04355
78,1.11452,17.000,6.03710
78,1.12258,17.000,6.03710
79,1.11129,17.000,6.03710
80,1.11935,17.000,6.04032
80,1.14032,17.000,6.03548
81,1.11613,17.000,6.03226
81,1.11613,17.000,6.04355
82,1.11452,17.000,6.04516
83,1.10968,17.000,6.04839
83,1.11774,17.000,6.03226
84,1.11935,17.000,6.03871
84,1.13548,17.000,6.04677
85,1.11613,17.000,6.04355
86,1.12419,17.000,6.03710
86,1.11613,17.000,6.04032
87,1.12097,17.000,6.03871
87,1.11935,17.000,6.03387
88,1.11613,17.000,6.03387
89,1.11452,17.000,6.03710
89,1.13065,17.000,6.03226
90,1.11774,17.000,6.02903
90,1.12258,17.000,6.03710
91,1.11774,17.000,6.03548
92,1.12581,17.000,6.03387
92,1.11613,17.000,6.03548
93,1.11774,17.000,6.04355
94,1.11452,17.000,6.04032
