timestamp,tds_v,tempC,ph_v
20,1.88226,16.500,6.03387
20,1.89032,16.500,6.02581
21,1.88065,16.500,6.03065
22,1.88226,16.500,6.02742
22,1.88065,16.500,6.03548
23,1.89194,16.500,6.02903
23,1.88226,16.500,6.02903
24,1.89355,16.500,6.02903
25,1.89032,16.500,6.03387
25,1.88548,16.500,6.03871
26,1.89032,16.500,6.03387
26,1.89516,16.500,6.03548
26,1.89839,16.500,6.03871
27,1.89032,16.500,6.03387
27,1.88226,16.500,6.03871
28,1.89032,16.500,6.03065
29,1.89032,16.500,6.03226
29,1.88871,16.500,6.03387
30,1.89194,16.500,6.03226
30,1.88710,16.500,6.03548
31,1.88548,16.500,6.02581
32,1.88871,16.500,6.03871
32,1.88871,16.500,6.02742
33,1.89194,16.500,6.03710
33,1.86129,16.500,6.04032
34,1.87742,16.500,6.02903
35,1.89355,16.500,6.03226
35,1.88548,16.500,6.03871
36,1.89355,16.500,6.04194
36,1.89194,16.500,6.04032
37,1.88871,16.500,6.03065
38,1.89355,16.500,6.03226
38,1.89677,16.500,6.03226
39,1.89839,16.500,6.02742
40,1.88065,16.500,6.04355
40,1.90323,16.500,6.04032
41,1.89032,16.500,6.03065
42,1.88387,16.500,6.03871
42,1.88710,16.500,6.03065
43,1.89032,16.500,6.04032
43,1.88871,16.500,6.03065
44,1.88871,16.500,6.03710
45,1.88871,16.500,6.03226
45,1.88548,16.500,6.03871
46,1.89032,16.500,6.03710
46,1.88871,16.500,6.02903
47,1.88710,16.500,6.03710
48,1.88548,16.500,6.03387
48,1.89194,16.500,6.03065
49,1.88226,16.500,6.04032
50,1.89516,16.500,6.03387
50,1.88710,16.500,6.03226
51,1.89032,16.500,6.03226
51,1.89677,16.500,6.04032
52,1.89194,16.500,6.03710
53,1.88710,16.500,6.03710
53,1.87581,16.500,6.03548
54,1.89032,16.500,6.03871
54,1.89194,16.500,6.03871
55,1.89677,16.500,6.03710
56,1.89194,16.500,6.03871
56,1.89194,16.500,6.03871
57,1.90000,16.500,6.03710
57,1.89677,16.500,6.03710
58,1.89677,16.500,6.03710
59,1.89355,16.500,6.03710
59,1.88548,16.500,6.03871
60,1.88871,16.500,6.03871
60,1.90323,16.500,6.04194
61,1.89516,16.500,6.03871
62,1.87742,16.500,6.04032
62,1.89839,16.500,6.04516
63,1.89194,16.500,6.04677
63,1.89355,16.500,6.04516
64,1.89194,16.500,6.03710
65,1.89516,16.500,6.04677
65,1.89355,16.500,6.03548
66,1.88710,16.500,6.05323
66,1.89194,16.500,6.04194
67,1.89677,16.500,6.04032
67,1.89032,16.500,6.03548
67,1.89032,16.500,6.03710
68,1.89355,16.500,6.04355
69,1.88065,16.500,6.03710
69,1.89355,16.500,6.03871
70,1.89677,16.500,6.03710
70,1.89677,16.500,6.03710
71,1.88065,16.500,6.04516
72,1.89032,16.500,6.03710
72,1.89839,16.500,6.04032
73,1.89355,16.500,6.03548
73,1.89839,16.500,6.04032
74,1.88710,16.500,6.04839
75,1.89516,16.500,6.03710
75,1.89032,16.500,6.04032
76,1.88871,16.500,6.04194
76,1.90806,16.500,6.04516
77,1.88548,16.500,6.04194
78,1.89516,16.500,6.03548
78,1.89194,16.500,6.03871
79,1.89355,16.500,6.04032
79,1.89516,16.500,6.04032
80,1.88548,16.500,6.04516
81,1.88710,16.500,6.03871
81,1.89516,16.500,6.04194
82,1.89355,16.500,6.04032
83,1.89194,16.500,6.03387
83,1.85161,16.500,6.04194
84,1.89194,16.500,6.04194
84,1.89194,16.500,6.04194
85,1.89355,16.500,6.03710
86,1.88226,16.500,6.03387
86,1.89516,16.500,6.04516
87,1.89032,16.500,6.04032
87,1.89516,16.500,6.03871
88,1.88871,16.500,6.03710
89,1.89032,16.500,6.04194
89,1.88387,16.500,6.04032
90,1.88871,16.500,6.04032
90,1.88871,16.500,6.04194
91,1.89194,16.500,6.03548
92,1.89032,16.500,6.03710
92,1.89032,16.500,6.03387
93,1.89032,16.500,6.03710
93,1.90000,16.500,6.03387
94,1.90161,16.500,6.04032
