timestamp,tds_v,tempC,ph_v
19,1.88548,16.500,6.03387
20,1.89355,16.500,6.03871
21,1.89032,16.500,6.03387
21,1.88710,16.500,6.03226
22,1.88871,16.500,6.03548
22,1.89355,16.500,6.03548
23,1.89032,16.500,6.02903
24,1.88871,16.500,6.02903
24,1.89032,16.500,6.03226
25,1.88548,16.500,6.03387
25,1.89516,16.500,6.03548
26,1.89032,16.500,6.03710
27,1.88871,16.500,6.04194
27,1.89839,16.500,6.03548
28,1.89355,16.500,6.03710
28,1.89194,16.500,6.03548
29,1.88871,16.500,6.03226
30,1.89032,16.500,6.03871
30,1.89032,16.500,6.03226
31,1.87903,16.500,6.03871
31,1.88065,16.500,6.04194
32,1.89032,16.500,6.03710
33,1.88871,16.500,6.03548
33,1.88387,16.500,6.03387
34,1.88548,16.500,6.03387
34,1.88548,16.500,6.03871
35,1.89355,16.500,6.03710
36,1.88871,16.500,6.03548
36,1.88871,16.500,6.03871
37,1.89032,16.500,6.03548
37,1.89032,16.500,6.04032
38,1.88548,16.500,6.03226
39,1.88226,16.500,6.03548
39,1.89194,16.500,6.03226
40,1.88871,16.500,6.03710
41,1.89677,16.500,6.02903
41,1.89839,16.500,6.03710
42,1.88710,16.500,6.03871
42,1.88548,16.500,6.03387
43,1.88710,16.500,6.03548
44,1.88710,16.500,6.04032
44,1.88871,16.500,6.03065
45,1.88871,16.500,6.03871
45,1.88871,16.500,6.02742
46,1.88710,16.500,6.03387
47,1.86935,16.500,6.03548
47,1.89516,16.500,6.03065
48,1.89032,16.500,6.02903
48,1.88871,16.500,6.02742
49,1.88871,16.500,6.03548
50,1.88387,16.500,6.03387
50,1.89677,16.500,6.03065
51,1.88065,16.500,6.02581
51,1.89194,16.500,6.04194
52,1.89355,16.500,6.03871
53,1.89194,16.500,6.03710
53,1.89032,16.500,6.04355
54,1.88548,16.500,6.03871
54,1.85161,16.500,6.03065
55,1.88387,16.500,6.03548
56,1.89355,16.500,6.03710
56,1.89194,16.500,6.03387
57,1.88548,16.500,6.03871
58,1.89032,16.500,6.03710
58,1.88548,16.500,6.03548
59,1.89194,16.500,6.03387
59,1.89839,16.500,6.03387
60,1.89194,16.500,6.05484
61,1.89355,16.500,6.03548
61,1.89194,16.500,6.03548
61,1.89516,16.500,6.03710
61,1.89355,16.500,6.03065
62,1.89032,16.500,6.04839
63,1.88710,16.500,6.03065
63,1.90000,16.500,6.04032
64,1.89032,16.500,6.03710
64,1.89194,16.500,6.03871
65,1.89194,16.500,6.03548
66,1.88871,16.500,6.03387
66,1.89032,16.500,6.04032
67,1.88387,16.500,6.04194
67,1.89516,16.500,6.04355
68,1.89032,16.500,6.04355
69,1.89355,16.500,6.03710
69,1.88871,16.500,6.04032
70,1.89032,16.500,6.03226
70,1.88548,16.500,6.03226
71,1.88548,16.500,6.04516
72,1.88226,16.500,6.03387
72,1.90645,16.500,6.03387
73,1.88387,16.500,6.04032
74,1.88871,16.500,6.03710
74,1.88387,16.500,6.05323
75,1.89516,16.500,6.04032
75,1.89194,16.500,6.04194
76,1.89194,16.500,6.03710
77,1.89516,16.500,6.03548
77,1.87742,16.500,6.04677
78,1.88871,16.500,6.03065
78,1.88871,16.500,6.03871
79,1.88710,16.500,6.04032
80,1.89194,16.500,6.03871
80,1.89516,16.500,6.04355
81,1.91774,16.500,6.03710
81,1.89355,16.500,6.03065
82,1.89355,16.500,6.02742
83,1.88387,16.500,6.03710
83,1.88548,16.500,6.04355
84,1.88710,16.500,6.03710
84,1.88871,16.500,6.03548
85,1.88548,16.500,6.03871
86,1.87903,16.500,6.03871
86,1.88710,16.500,6.04516
87,1.89355,16.500,6.04355
87,1.88710,16.500,6.04032
88,1.88710,16.500,6.03710
89,1.89194,16.500,6.03548
89,1.88871,16.500,6.03226
90,1.88871,16.500,6.03387
91,1.88226,16.500,6.03387
91,1.89355,16.500,6.03548
92,1.88871,16.500,6.03710
92,1.89194,16.500,6.04194
93,1.89194,16.500,6.03548
94,1.84677,16.500,6.03387
