timestamp,tds_v,tempC,ph_v
19,1.93710,16.500,6.03548
20,1.93871,16.500,6.03871
20,1.94355,16.500,6.03710
21,1.95000,16.500,6.03710
21,1.93387,16.500,6.04194
22,1.93387,16.500,6.03387
23,1.94032,16.500,6.03065
23,1.93871,16.500,6.03710
24,1.94355,16.500,6.03387
24,1.94677,16.500,6.03548
25,1.94516,16.500,6.03548
26,1.94194,16.500,6.03226
26,1.94677,16.500,6.03548
27,1.94032,16.500,6.03548
28,1.93226,16.500,6.03387
28,1.91774,16.500,6.03548
29,1.93548,16.500,6.03387
29,1.92097,16.500,6.03710
30,1.94032,16.500,6.04032
31,1.93548,16.500,6.04355
31,1.95161,16.500,6.03710
32,1.94032,16.500,6.03548
32,1.94516,16.500,6.04194
33,1.94194,16.500,6.03871
34,1.92581,16.500,6.03387
34,1.93548,16.500,6.03871
35,1.94355,16.500,6.03226
36,1.92258,16.500,6.03548
36,1.94032,16.500,6.03226
37,1.94194,16.500,6.03226
37,1.94516,16.500,6.03387
38,1.94032,16.500,6.03710
39,1.93387,16.500,6.03548
39,1.94032,16.500,6.03065
40,1.93871,16.500,6.03871
40,1.94355,16.500,6.03710
41,1.93871,16.500,6.03871
42,1.93226,16.500,6.03387
42,1.95000,16.500,6.03387
43,1.94516,16.500,6.03710
43,1.95000,16.500,6.03387
44,1.93710,16.500,6.04032
45,1.97097,16.500,6.03710
45,1.94032,16.500,6.04194
45,1.94516,16.500,6.04032
45,1.94355,16.500,6.04194
46,1.94839,16.500,6.03548
47,1.92258,16.500,6.02742
47,1.94839,16.500,6.03226
48,1.94194,16.500,6.03548
49,1.94516,16.500,6.03710
49,1.94194,16.500,6.03710
50,1.94032,16.500,6.03548
50,1.94355,16.500,6.04355
51,1.94032,16.500,6.03065
52,1.94032,16.500,6.03065
52,1.93065,16.500,6.03226
53,1.93710,16.500,6.03548
53,1.94355,16.500,6.03387
54,1.95645,16.500,6.04194
55,1.94194,16.500,6.03710
55,1.94194,16.500,6.04032
56,1.94677,16.500,6.04194
56,1.94032,16.500,6.02903
57,1.94032,16.500,6.03871
58,1.94194,16.500,6.03226
58,1.93548,16.500,6.03710
59,1.94355,16.500,6.03710
59,1.94194,16.500,6.03871
60,1.93710,16.500,6.03871
61,1.93387,16.500,6.03871
61,1.94194,16.500,6.03226
62,1.94516,16.500,6.03548
62,1.93548,16.500,6.03065
63,1.94516,16.500,6.03710
64,1.93871,16.500,6.03871
64,1.94032,16.500,6.03548
65,1.94677,16.500,6.04032
65,1.94516,16.500,6.03548
66,1.94839,16.500,6.03548
67,1.94355,16.500,6.03226
67,1.94516,16.500,6.03387
68,1.94194,16.500,6.03710
69,1.93710,16.500,6.03065
69,1.94032,16.500,6.03387
70,1.94194,16.500,6.03710
70,1.94355,16.500,6.03548
71,1.94032,16.500,6.04194
72,1.94032,16.500,6.03387
72,1.94516,16.500,6.03065
73,1.94194,16.500,6.03710
73,1.93871,16.500,6.03871
74,1.94355,16.500,6.04194
75,1.95000,16.500,6.03065
75,1.94194,16.500,6.03226
76,1.94516,16.500,6.03387
76,1.94516,16.500,6.03065
77,1.95000,16.500,6.04516
78,1.95323,16.500,6.03710
78,1.93871,16.500,6.03548
79,1.94516,16.500,6.03226
79,1.94032,16.500,6.03387
80,1.94032,16.500,6.03710
81,1.93710,16.500,6.03387
81,1.94355,16.500,6.04194
82,1.93710,16.500,6.04194
83,1.94194,16.500,6.03710
83,1.94194,16.500,6.04194
84,1.93871,16.500,6.03710
84,1.93548,16.500,6.03387
85,1.93871,16.500,6.03387
86,1.94677,16.500,6.03548
86,1.94355,16.500,6.03065
87,1.94032,16.500,6.04194
87,1.92097,16.500,6.04355
87,1.92419,16.500,6.04032
88,1.94516,16.500,6.03226
88,1.93548,16.500,6.03548
89,1.94839,16.500,6.03226
89,1.94677,16.500,6.03710
90,1.94516,16.500,6.03226
91,1.95323,16.500,6.03548
91,1.94516,16.500,6.04032
92,1.95968,16.500,6.03387
92,1.94516,16.500,6.03710
93,1.97097,16.500,6.03548
94,1.94355,16.500,6.03065
