timestamp,tds_v,tempC,ph_v
18,1.92742,16.500,6.03710
19,1.91774,16.500,6.03710
20,1.93065,16.500,6.03226
20,1.93226,16.500,6.04516
21,1.92258,16.500,6.04677
21,1.93226,16.500,6.03387
22,1.93871,16.500,6.03710
23,1.92581,16.500,6.03710
23,1.92581,16.500,6.03065
24,1.92903,16.500,6.03871
24,1.93871,16.500,6.04355
25,1.94032,16.500,6.03871
26,1.92742,16.500,6.03871
26,1.93065,16.500,6.03548
27,1.93548,16.500,6.04839
27,1.93226,16.500,6.03387
28,1.93387,16.500,6.04355
29,1.92419,16.500,6.04355
29,1.93387,16.500,6.04032
30,1.92419,16.500,6.05000
31,1.93710,16.500,6.03710
31,1.94194,16.500,6.03226
32,1.93387,16.500,6.03710
32,1.93065,16.500,6.03387
33,1.92742,16.500,6.04194
34,1.92903,16.500,6.03387
34,1.93226,16.500,6.03548
35,1.93387,16.500,6.04032
35,1.93387,16.500,6.04032
36,1.92258,16.500,6.04032
37,1.92903,16.500,6.03226
37,1.92903,16.500,6.04032
38,1.93387,16.500,6.03710
38,1.92903,16.500,6.03871
39,1.95968,16.500,6.04516
40,1.92903,16.500,6.04032
40,1.92903,16.500,6.03871
41,1.92419,16.500,6.04194
41,1.92581,16.500,6.03548
42,1.92258,16.500,6.04839
43,1.92419,16.500,6.04032
43,1.92903,16.500,6.04194
44,1.93226,16.500,6.04194
45,1.93065,16.500,6.04516
45,1.92581,16.500,6.04839
46,1.93226,16.500,6.03710
46,1.93387,16.500,6.04194
47,1.92419,16.500,6.04194
48,1.94355,16.500,6.03226
48,1.92581,16.500,6.04677
49,1.92581,16.500,6.03226
49,1.94032,16.500,6.03226
50,1.93065,16.500,6.03871
51,1.91613,16.500,6.03710
51,1.92903,16.500,6.04194
52,1.95161,16.500,6.04516
52,1.92903,16.500,6.03871
53,1.93226,16.500,6.03871
54,1.93226,16.500,6.04032
54,1.93548,16.500,6.04677
55,1.93065,16.500,6.03710
55,1.92742,16.500,6.03387
56,1.93226,16.500,6.04355
57,1.89032,16.500,6.03871
57,1.93226,16.500,6.03871
58,1.92419,16.500,6.03710
58,1.93065,16.500,6.04032
59,1.93548,16.500,6.04194
59,1.93387,16.500,6.04032
59,1.93710,16.500,6.04194
60,1.92903,16.500,6.03871
61,1.92742,16.500,6.04032
61,1.93387,16.500,6.03871
62,1.93226,16.500,6.04677
62,1.92903,16.500,6.03710
63,1.92742,16.500,6.04355
64,1.92742,16.500,6.04194
64,1.92742,16.500,6.04516
65,1.92581,16.500,6.04194
65,1.93387,16.500,6.05000
66,1.92581,16.500,6.04194
67,1.93226,16.500,6.03387
67,1.93548,16.500,6.04194
68,1.93226,16.500,6.03871
68,1.92742,16.500,6.04032
69,1.91935,16.500,6.03387
70,1.92903,16.500,6.04355
70,1.92742,16.500,6.03387
71,1.93387,16.500,6.03871
71,1.91935,16.500,6.03871
72,1.92742,16.500,6.03387
73,1.92903,16.500,6.04032
73,1.93226,16.500,6.04032
74,1.92903,16.500,6.04355
74,1.93065,16.500,6.04516
75,1.93065,16.500,6.04032
76,1.94516,16.500,6.03548
76,1.93065,16.500,6.04355
77,1.91935,16.500,6.03710
78,1.92419,16.500,6.04355
78,1.92581,16.500,6.03548
79,1.93387,16.500,6.03548
79,1.92903,16.500,6.03871
80,1.92903,16.500,6.04194
81,1.93710,16.500,6.03710
81,1.92742,16.500,6.03871
82,1.93871,16.500,6.04194
82,1.92581,16.500,6.03871
83,1.92581,16.500,6.03065
84,1.93226,16.500,6.03387
84,1.93387,16.500,6.04032
85,1.93226,16.500,6.03710
86,1.93548,16.500,6.03710
86,1.93387,16.500,6.04355
87,1.93065,16.500,6.04516
87,1.92581,16.500,6.03548
88,1.93710,16.500,6.03871
89,1.93226,16.500,6.04677
89,1.92903,16.500,6.04355
90,1.92581,16.500,6.03710
90,1.93387,16.500,6.03871
91,1.92742,16.500,6.04032
91,1.93387,16.500,6.04194
92,1.92742,16.500,6.04516
93,1.92903,16.500,6.03871
93,1.93065,16.500,6.05000
94,1.93065,16.500,6.03387
