timestamp,tds_v,tempC,ph_v
18,1.92742,16.500,6.04032
19,1.93548,16.500,6.03226
20,1.92903,16.500,6.03710
20,1.92903,16.500,6.03871
21,1.91613,16.500,6.03710
21,1.92742,16.500,6.03710
22,1.92742,16.500,6.04194
23,1.92419,16.500,6.03710
23,1.93226,16.500,6.02903
24,1.92742,16.500,6.04032
24,1.92419,16.500,6.04355
25,1.93226,16.500,6.03710
26,1.94194,16.500,6.03710
26,1.92742,16.500,6.03710
27,1.92419,16.500,6.04677
27,1.92258,16.500,6.03871
28,1.92419,16.500,6.03226
29,1.89032,16.500,6.03710
29,1.92742,16.500,6.04194
30,1.92419,16.500,6.03871
30,1.93226,16.500,6.03226
31,1.93065,16.500,6.04194
32,1.92581,16.500,6.03548
32,1.92742,16.500,6.03387
33,1.92258,16.500,6.04839
33,1.92742,16.500,6.03226
34,1.93387,16.500,6.04355
35,1.92903,16.500,6.04355
35,1.91452,16.500,6.04032
36,1.93065,16.500,6.04032
36,1.92742,16.500,6.04194
37,1.93065,16.500,6.03548
38,1.92742,16.500,6.03548
38,1.92742,16.500,6.03871
39,1.92581,16.500,6.03871
40,1.94355,16.500,6.03871
40,1.93065,16.500,6.03548
41,1.92581,16.500,6.04355
41,1.92419,16.500,6.04355
42,1.92097,16.500,6.04032
43,1.93065,16.500,6.03387
43,1.95806,16.500,6.04032
44,1.93871,16.500,6.03871
44,1.93226,16.500,6.04516
45,1.93226,16.500,6.04677
46,1.92097,16.500,6.04032
46,1.93226,16.500,6.04839
47,1.93226,16.500,6.04516
47,1.91935,16.500,6.03548
48,1.92581,16.500,6.04677
49,1.92258,16.500,6.03226
49,1.93226,16.500,6.04032
50,1.92903,16.500,6.04355
50,1.92419,16.500,6.04194
51,1.92903,16.500,6.04677
52,1.91935,16.500,6.03871
52,1.92903,16.500,6.04516
53,1.93226,16.500,6.04194
53,1.93548,16.500,6.04032
53,1.92903,16.500,6.04194
54,1.93065,16.500,6.03548
54,1.93065,16.500,6.03710
55,1.92903,16.500,6.04516
56,1.94032,16.500,6.04194
56,1.92258,16.500,6.04355
57,1.92742,16.500,6.03548
57,1.96452,16.500,6.04516
58,1.92903,16.500,6.04032
59,1.92903,16.500,6.04194
59,1.93387,16.500,6.04194
60,1.92742,16.500,6.04516
60,1.93065,16.500,6.03710
61,1.90484,16.500,6.03387
62,1.92742,16.500,6.03871
62,1.96129,16.500,6.04677
63,1.93387,16.500,6.04516
63,1.92419,16.500,6.03871
64,1.92419,16.500,6.04516
65,1.92903,16.500,6.03871
65,1.92742,16.500,6.03871
66,1.94032,16.500,6.04032
66,1.92258,16.500,6.03387
67,1.92903,16.500,6.03871
68,1.92258,16.500,6.03871
68,1.92742,16.500,6.04032
69,1.90161,16.500,6.03871
70,1.92742,16.500,6.04032
70,1.93065,16.500,6.03710
71,1.93065,16.500,6.04032
71,1.92903,16.500,6.05161
72,1.92258,16.500,6.03548
73,1.93548,16.500,6.03548
73,1.91935,16.500,6.03226
74,1.93065,16.500,6.03548
74,1.92419,16.500,6.04194
75,1.92258,16.500,6.04516
76,1.92742,16.500,6.04032
76,1.93065,16.500,6.04032
77,1.92581,16.500,6.04194
78,1.92097,16.500,6.04839
78,1.93710,16.500,6.04032
79,1.93065,16.500,6.03548
79,1.91129,16.500,6.03226
80,1.92419,16.500,6.03871
81,1.92419,16.500,6.04194
81,1.92097,16.500,6.04516
82,1.92097,16.500,6.03871
83,1.93548,16.500,6.04032
83,1.92903,16.500,6.03548
84,1.91935,16.500,6.04355
84,1.89355,16.500,6.03710
85,1.92742,16.500,6.03710
86,1.92742,16.500,6.03548
86,1.92903,16.500,6.03710
87,1.92742,16.500,6.04194
87,1.92581,16.500,6.04194
88,1.93065,16.500,6.04032
89,1.93065,16.500,6.03226
89,1.92419,16.500,6.03710
90,1.92742,16.500,6.04194
91,1.92097,16.500,6.04839
91,1.92742,16.500,6.03871
92,1.88548,16.500,6.03387
92,1.92419,16.500,6.04516
93,1.92581,16.500,6.04839
94,1.92419,16.500,6.03548
