timestamp,tds_v,tempC,ph_v
19,1.11774,17.000,6.04516
19,1.12581,17.000,6.04032
20,1.12903,17.000,6.03548
21,1.11613,17.000,6.03710
21,1.11290,17.000,6.04355
22,1.07581,17.000,6.03710
22,1.11613,17.000,6.03871
23,1.11452,17.000,6.03548
24,1.11452,17.000,6.03871
24,1.10806,17.000,6.04194
25,1.12581,17.000,6.04032
25,1.12419,17.000,6.04194
26,1.12097,17.000,6.04194
27,1.11774,17.000,6.03710
27,1.11290,17.000,6.04194
28,1.12097,17.000,6.03387
28,1.11290,17.000,6.04032
29,1.12097,17.000,6.04194
30,1.11774,17.000,6.03710
30,1.12903,17.000,6.04194
31,1.11613,17.000,6.03387
31,1.12903,17.000,6.03387
32,1.12419,17.000,6.03871
33,1.12581,17.000,6.04355
33,1.11613,17.000,6.04677
34,1.12742,17.000,6.03387
34,1.13226,17.000,6.03710
35,1.11613,17.000,6.03548
36,1.11613,17.000,6.03548
36,1.12742,17.000,6.04355
37,1.11935,17.000,6.03548
37,1.11613,17.000,6.04032
38,1.15806,17.000,6.03871
39,1.12742,17.000,6.04032
39,1.11935,17.000,6.04032
40,1.11452,17.000,6.03710
40,1.11452,17.000,6.04355
41,1.12258,17.000,6.03871
42,1.11129,17.000,6.04032
42,1.11935,17.000,6.04677
43,1.11774,17.000,6.03065
43,1.11935,17.000,6.04194
44,1.11452,17.000,6.04032
45,1.11129,17.000,6.04355
45,1.11613,17.000,6.04032
46,1.12258,17.000,6.03226
47,1.11129,17.000,6.03710
47,1.11774,17.000,6.03710
48,1.11129,17.000,6.02903
48,1.11452,17.000,6.03548
48,1.11613,17.000,6.03710
49,1.12097,17.000,6.03871
49,1.12258,17.000,6.03387
50,1.12581,17.000,6.04839
50,1.12742,17.000,6.04516
51,1.10645,17.000,6.03710
52,1.12097,17.000,6.04194
52,1.11452,17.000,6.03871
53,1.12419,17.000,6.03871
53,1.11452,17.000,6.04516
54,1.11452,17.000,6.04355
55,1.11290,17.000,6.03548
55,1.12097,17.000,6.04032
56,1.11129,17.000,6.03065
56,1.11774,17.000,6.04032
57,1.11935,17.000,6.03871
58,1.11613,17.000,6.03871
58,1.11613,17.000,6.04032
59,1.11935,17.000,6.03871
59,1.10000,17.000,6.04516
60,1.11452,17.000,6.03710
61,1.12258,17.000,6.03226
61,1.11290,17.000,6.03710
62,1.11290,17.000,6.04032
62,1.11613,17.000,6.03387
63,1.11935,17.000,6.03548
64,1.11290,17.000,6.03226
64,1.12419,17.000,6.03548
65,1.10968,17.000,6.04355
65,1.10484,17.000,6.03871
66,1.12097,17.000,6.03548
67,1.11613,17.000,6.04677
67,1.11774,17.000,6.04194
68,1.12419,17.000,6.03548
68,1.11774,17.000,6.03871
69,1.12581,17.000,6.03548
70,1.11774,17.000,6.03871
70,1.11613,17.000,6.03226
71,1.12258,17.000,6.04032
72,1.12742,17.000,6.03710
72,1.12097,17.000,6.03548
73,1.12097,17.000,6.03871
73,1.11129,17.000,6.03871
74,1.12742,17.000,6.03065
75,1.11935,17.000,6.03548
75,1.11774,17.000,6.03548
76,1.09839,17.000,6.04194
76,1.11613,17.000,6.04516
77,1.11774,17.000,6.03548
78,1.11935,17.000,6.04194
78,1.10161,17.000,6.03871
79,1.13871,17.000,6.04032
79,1.11290,17.000,6.04677
80,1.11613,17.000,6.03871
81,1.12903,17.000,6.04355
81,1.11129,17.000,6.04355
82,1.12581,17.000,6.04032
82,1.11935,17.000,6.04032
83,1.12258,17.000,6.04032
84,1.11774,17.000,6.03871
84,1.11935,17.000,6.04032
85,1.11613,17.000,6.04516
85,1.10484,17.000,6.04516
86,1.11452,17.000,6.03226
87,1.12581,17.000,6.04032
87,1.12581,17.000,6.03871
88,1.08710,17.000,6.03710
88,1.10806,17.000,6.03710
89,1.12097,17.000,6.03226
90,1.10968,17.000,6.03871
90,1.12419,17.000,6.03548
90,1.11774,17.000,6.03387
90,1.11290,17.000,6.03548
91,1.11774,17.000,6.03871
92,1.11290,17.000,6.04194
92,1.10161,17.000,6.03387
93,1.11774,17.000,6.03548
94,1.11935,17.000,6.04194
