timestamp,tds_v,tempC,ph_v
18,1.88065,16.500,6.03710
19,1.87742,16.500,6.03226
20,1.85806,16.500,6.03548
20,1.89194,16.500,6.04032
21,1.88710,16.500,6.03871
21,1.89194,16.500,6.03065
22,1.88548,16.500,6.02903
23,1.89516,16.500,6.03710
23,1.88871,16.500,6.03226
24,1.89194,16.500,6.04355
24,1.88226,16.500,6.03871
25,1.89355,16.500,6.03871
26,1.89032,16.500,6.04194
26,1.87742,16.500,6.03710
27,1.88548,16.500,6.04677
27,1.88871,16.500,6.03548
28,1.89194,16.500,6.03871
29,1.89355,16.500,6.04194
29,1.88871,16.500,6.04194
30,1.89194,16.500,6.04194
30,1.90161,16.500,6.03710
31,1.87742,16.500,6.03710
32,1.89032,16.500,6.03548
32,1.89194,16.500,6.04032
33,1.88548,16.500,6.04355
33,1.89032,16.500,6.04032
34,1.86935,16.500,6.04194
35,1.89194,16.500,6.03710
35,1.88710,16.500,6.04194
36,1.89194,16.500,6.04516
36,1.89194,16.500,6.03710
37,1.88710,16.500,6.03871
38,1.89677,16.500,6.03710
38,1.88548,16.500,6.03387
39,1.87742,16.500,6.04032
40,1.88387,16.500,6.04516
40,1.88871,16.500,6.03710
41,1.89194,16.500,6.04032
41,1.89355,16.500,6.03387
42,1.88710,16.500,6.04194
43,1.89516,16.500,6.03548
43,1.88548,16.500,6.04032
43,1.88871,16.500,6.04194
43,1.89194,16.500,6.03387
44,1.89032,16.500,6.04032
45,1.85000,16.500,6.03226
45,1.89032,16.500,6.03710
46,1.89194,16.500,6.03548
46,1.89355,16.500,6.03226
47,1.89194,16.500,6.03871
48,1.88871,16.500,6.03871
48,1.89677,16.500,6.03710
49,1.88871,16.500,6.03387
49,1.89032,16.500,6.03710
50,1.88871,16.500,6.03710
51,1.89194,16.500,6.02903
51,1.88871,16.500,6.03226
52,1.89194,16.500,6.04032
52,1.89677,16.500,6.03387
53,1.85645,16.500,6.03871
54,1.88710,16.500,6.03871
54,1.89516,16.500,6.03387
55,1.89355,16.500,6.03871
56,1.88226,16.500,6.03871
56,1.89355,16.500,6.04677
57,1.89194,16.500,6.04032
57,1.89194,16.500,6.03871
58,1.88871,16.500,6.03710
59,1.88548,16.500,6.03548
59,1.87742,16.500,6.03871
60,1.88871,16.500,6.03548
60,1.89355,16.500,6.03871
61,1.88871,16.500,6.03387
62,1.89839,16.500,6.03548
62,1.90000,16.500,6.03871
63,1.88710,16.500,6.03387
63,1.89516,16.500,6.03226
64,1.88871,16.500,6.04194
65,1.89194,16.500,6.03710
65,1.88387,16.500,6.03871
66,1.88710,16.500,6.04355
66,1.88871,16.500,6.03387
67,1.89355,16.500,6.03387
68,1.89032,16.500,6.03548
68,1.89839,16.500,6.03871
69,1.89194,16.500,6.03871
69,1.88710,16.500,6.03548
70,1.87419,16.500,6.03548
71,1.89516,16.500,6.03065
71,1.89194,16.500,6.04194
72,1.90806,16.500,6.04194
72,1.88387,16.500,6.03871
73,1.88548,16.500,6.03548
74,1.89032,16.500,6.03871
74,1.89355,16.500,6.04677
75,1.89032,16.500,6.04032
76,1.89032,16.500,6.04194
76,1.89032,16.500,6.03710
77,1.88710,16.500,6.04032
77,1.89032,16.500,6.03226
78,1.88387,16.500,6.03710
79,1.89194,16.500,6.03387
79,1.89032,16.500,6.03387
80,1.89355,16.500,6.04355
80,1.92419,16.500,6.03871
81,1.89194,16.500,6.03871
82,1.88871,16.500,6.03548
82,1.89677,16.500,6.03871
83,1.88871,16.500,6.03387
83,1.87581,16.500,6.03710
84,1.90161,16.500,6.04677
84,1.88710,16.500,6.03226
84,1.89194,16.500,6.03710
85,1.89516,16.500,6.04516
85,1.88548,16.500,6.03871
86,1.89194,16.500,6.03710
87,1.90000,16.500,6.03710
87,1.89516,16.500,6.04032
88,1.89194,16.500,6.03387
89,1.88548,16.500,6.03548
89,1.89516,16.500,6.03710
90,1.89194,16.500,6.03548
90,1.89032,16.500,6.03871
91,1.88387,16.500,6.03710
92,1.88710,16.500,6.03710
92,1.89194,16.500,6.03387
93,1.89194,16.500,6.03065
93,1.89355,16.500,6.03710
94,1.88548,16.500,6.03065
