timestamp,tds_v,tempC,ph_v
19,1.12258,17.000,6.03871
20,1.11774,17.000,6.04032
20,1.12097,17.000,6.04194
21,1.09355,17.000,6.03226
21,1.13548,17.000,6.03710
22,1.11774,17.000,6.03065
23,1.12419,17.000,6.03387
23,1.13226,17.000,6.04032
24,1.12581,17.000,6.03871
24,1.12419,17.000,6.04194
25,1.11935,17.000,6.03871
26,1.11774,17.000,6.03548
26,1.11613,17.000,6.04194
27,1.11774,17.000,6.04032
27,1.13065,17.000,6.04355
28,1.12258,17.000,6.04194
29,1.11452,17.000,6.04032
29,1.12097,17.000,6.04839
30,1.12097,17.000,6.03548
31,1.12258,17.000,6.04194
31,1.12097,17.000,6.03387
32,1.12419,17.000,6.03710
32,1.12581,17.000,6.04032
33,1.11935,17.000,6.04032
34,1.12419,17.000,6.04516
34,1.12903,17.000,6.04194
35,1.12258,17.000,6.04194
35,1.12419,17.000,6.03548
36,1.11935,17.000,6.04032
37,1.12419,17.000,6.04032
37,1.12097,17.000,6.04194
38,1.12258,17.000,6.04194
38,1.12258,17.000,6.04194
39,1.12097,17.000,6.03710
40,1.11774,17.000,6.04355
40,1.13065,17.000,6.03387
41,1.12903,17.000,6.03871
41,1.12903,17.000,6.04355
42,1.12903,17.000,6.03387
43,1.11452,17.000,6.04839
43,1.11774,17.000,6.03548
44,1.12258,17.000,6.03710
45,1.11935,17.000,6.04194
45,1.12581,17.000,6.04194
46,1.12097,17.000,6.04355
46,1.12419,17.000,6.04194
47,1.13065,17.000,6.03871
48,1.12258,17.000,6.04355
48,1.12581,17.000,6.04516
49,1.12097,17.000,6.03548
49,1.12742,17.000,6.04355
50,1.13065,17.000,6.04032
51,1.11129,17.000,6.04194
51,1.11774,17.000,6.04355
52,1.13387,17.000,6.04355
52,1.11613,17.000,6.04355
53,1.12258,17.000,6.03387
53,1.11935,17.000,6.03871
53,1.12419,17.000,6.03710
54,1.11935,17.000,6.04355
54,1.13548,17.000,6.03710
55,1.11935,17.000,6.03387
56,1.10323,17.000,6.04355
56,1.12581,17.000,6.03548
57,1.13226,17.000,6.04032
57,1.11935,17.000,6.04032
58,1.12419,17.000,6.03710
59,1.11613,17.000,6.03548
59,1.11613,17.000,6.04032
60,1.11774,17.000,6.03871
60,1.12581,17.000,6.03871
61,1.11129,17.000,6.03387
62,1.11613,17.000,6.04677
62,1.12258,17.000,6.03548
63,1.11290,17.000,6.04839
63,1.12097,17.000,6.04677
64,1.12742,17.000,6.03226
65,1.11613,17.000,6.04516
65,1.12581,17.000,6.04032
66,1.11935,17.000,6.04355
67,1.11774,17.000,6.04194
67,1.12258,17.000,6.04194
68,1.12581,17.000,6.04516
68,1.12258,17.000,6.03548
69,1.11935,17.000,6.04032
70,1.12097,17.000,6.03387
70,1.13226,17.000,6.03710
71,1.12581,17.000,6.03871
71,1.12258,17.000,6.03871
72,1.12581,17.000,6.03710
73,1.12903,17.000,6.03548
73,1.14355,17.000,6.03387
74,1.12581,17.000,6.03710
74,1.12258,17.000,6.03871
75,1.12419,17.000,6.04032
76,1.12742,17.000,6.03548
76,1.12903,17.000,6.04355
77,1.11935,17.000,6.04355
77,1.13710,17.000,6.04194
78,1.12258,17.000,6.04194
79,1.12419,17.000,6.04032
79,1.11452,17.000,6.04032
80,1.12581,17.000,6.04032
80,1.13065,17.000,6.04032
81,1.11774,17.000,6.04355
82,1.13065,17.000,6.03548
82,1.11935,17.000,6.04032
83,1.12097,17.000,6.04032
83,1.11613,17.000,6.04032
84,1.11774,17.000,6.03871
84,1.12419,17.000,6.03065
85,1.11774,17.000,6.03871
86,1.12097,17.000,6.04032
86,1.11935,17.000,6.03871
87,1.11290,17.000,6.03548
87,1.12258,17.000,6.03065
88,1.11774,17.000,6.03548
