timestamp,tds_v,tempC,ph_v
18,1.94516,16.500,6.03710
19,1.94839,16.500,6.03871
20,1.94355,16.500,6.04032
20,1.94677,16.500,6.03548
21,1.94032,16.500,6.04194
21,1.90000,16.500,6.03548
22,1.93871,16.500,6.03387
23,1.94032,16.500,6.04032
23,1.95161,16.500,6.03226
24,1.93226,16.500,6.04355
24,1.94355,16.500,6.04194
25,1.95000,16.500,6.03710
26,1.94355,16.500,6.04194
26,1.94355,16.500,6.03226
27,1.93387,16.500,6.03710
27,1.94355,16.500,6.04032
28,1.94194,16.500,6.03871
29,1.94839,16.500,6.04194
29,1.94032,16.500,6.03387
30,1.93710,16.500,6.03548
30,1.94194,16.500,6.04032
31,1.94677,16.500,6.03387
32,1.94839,16.500,6.04194
32,1.94677,16.500,6.04032
33,1.93548,16.500,6.04194
33,1.94839,16.500,6.03548
34,1.94839,16.500,6.04032
35,1.94194,16.500,6.03387
35,1.92419,16.500,6.03387
36,1.93226,16.500,6.03548
37,1.94516,16.500,6.03387
37,1.94677,16.500,6.03710
38,1.94516,16.500,6.04032
38,1.94355,16.500,6.04516
39,1.93548,16.500,6.04194
40,1.94516,16.500,6.03871
40,1.93871,16.500,6.03871
41,1.94677,16.500,6.03387
41,1.93710,16.500,6.03548
42,1.94032,16.500,6.04516
43,1.94032,16.500,6.03871
43,1.94677,16.500,6.02742
44,1.94194,16.500,6.04032
44,1.94355,16.500,6.04194
44,1.94194,16.500,6.04032
45,1.94194,16.500,6.03710
45,1.95161,16.500,6.03710
46,1.94677,16.500,6.03871
46,1.93065,16.500,6.03871
47,1.94355,16.500,6.04194
48,1.94516,16.500,6.03871
48,1.94355,16.500,6.04355
49,1.94194,16.500,6.03710
49,1.95161,16.500,6.03871
50,1.94839,16.500,6.03710
51,1.94032,16.500,6.04355
51,1.94516,16.500,6.03548
52,1.94355,16.500,6.02742
52,1.94194,16.500,6.03548
53,1.94355,16.500,6.03871
54,1.95000,16.500,6.03710
54,1.94516,16.500,6.03387
55,1.95161,16.500,6.03710
56,1.95000,16.500,6.03065
56,1.94194,16.500,6.04516
57,1.94194,16.500,6.03871
57,1.95161,16.500,6.04194
58,1.94355,16.500,6.03871
59,1.94516,16.500,6.03710
59,1.94839,16.500,6.04355
60,1.95000,16.500,6.03871
60,1.94516,16.500,6.02903
61,1.94516,16.500,6.03387
62,1.95161,16.500,6.03710
62,1.93548,16.500,6.04516
63,1.93548,16.500,6.03871
63,1.94677,16.500,6.03226
64,1.94516,16.500,6.02742
65,1.94032,16.500,6.02903
65,1.93710,16.500,6.04032
66,1.94839,16.500,6.03871
66,1.94516,16.500,6.03065
67,1.94355,16.500,6.03548
68,1.91935,16.500,6.03226
68,1.93871,16.500,6.03871
69,1.94516,16.500,6.02903
70,1.94516,16.500,6.03871
70,1.95323,16.500,6.03548
71,1.94677,16.500,6.03871
71,1.94355,16.500,6.04194
72,1.93871,16.500,6.03710
73,1.94194,16.500,6.03710
73,1.90323,16.500,6.05000
74,1.94032,16.500,6.04032
74,1.94032,16.500,6.04516
75,1.94194,16.500,6.03710
76,1.94839,16.500,6.03548
76,1.94677,16.500,6.03710
77,1.94677,16.500,6.04032
77,1.94839,16.500,6.04677
78,1.93226,16.500,6.03710
79,1.95000,16.500,6.03871
79,1.94355,16.500,6.03548
80,1.94516,16.500,6.03065
81,1.94677,16.500,6.04516
81,1.94677,16.500,6.03710
82,1.94677,16.500,6.04355
82,1.95161,16.500,6.04516
83,1.98226,16.500,6.04194
84,1.93710,16.500,6.04355
84,1.94355,16.500,6.03710
85,1.94839,16.500,6.03710
85,1.94194,16.500,6.03871
86,1.95000,16.500,6.03871
86,1.94032,16.500,6.04194
86,1.94677,16.500,6.03710
87,1.94516,16.500,6.04194
88,1.94839,16.500,6.03871
88,1.94516,16.500,6.04516
89,1.94032,16.500,6.04839
89,1.94839,16.500,6.03871
90,1.95000,16.500,6.03710
91,1.95000,16.500,6.04516
91,1.93548,16.500,6.04032
92,1.95161,16.500,6.04032
92,1.94516,16.500,6.03226
93,1.94032,16.500,6.04032
94,1.94194,16.500,6.03871
