timestamp,tds_v,tempC,ph_v
20,1.89355,16.500,6.03710
21,1.90484,16.500,6.03871
21,1.90000,16.500,6.03548
22,1.93065,16.500,6.03710
22,1.90161,16.500,6.04194
23,1.90000,16.500,6.04032
24,1.89839,16.500,6.04032
24,1.89355,16.500,6.03710
25,1.90645,16.500,6.03387
25,1.90000,16.500,6.05000
26,1.90000,16.500,6.03871
27,1.90323,16.500,6.04194
27,1.90000,16.500,6.04194
28,1.90323,16.500,6.03871
28,1.89839,16.500,6.04355
29,1.89839,16.500,6.04032
30,1.89516,16.500,6.04194
30,1.90323,16.500,6.04194
31,1.90968,16.500,6.03871
31,1.90161,16.500,6.04839
32,1.89516,16.500,6.03548
33,1.90000,16.500,6.04032
33,1.90000,16.500,6.04194
34,1.90484,16.500,6.04032
35,1.89839,16.500,6.04355
35,1.90000,16.500,6.03710
36,1.90484,16.500,6.04032
36,1.86613,16.500,6.04032
37,1.86774,16.500,6.04677
38,1.89032,16.500,6.03871
38,1.89677,16.500,6.03387
38,1.90161,16.500,6.04032
39,1.90645,16.500,6.04032
39,1.90161,16.500,6.03871
40,1.87742,16.500,6.04516
40,1.90000,16.500,6.04194
41,1.90645,16.500,6.03710
42,1.90323,16.500,6.03871
42,1.90161,16.500,6.03548
43,1.90161,16.500,6.04839
43,1.90000,16.500,6.04355
44,1.89839,16.500,6.04677
45,1.90968,16.500,6.04516
45,1.90323,16.500,6.03548
46,1.91613,16.500,6.04194
46,1.90000,16.500,6.03387
47,1.89677,16.500,6.04032
48,1.89839,16.500,6.03871
48,1.92258,16.500,6.04516
49,1.89839,16.500,6.04194
49,1.90000,16.500,6.03871
50,1.89516,16.500,6.04516
51,1.90323,16.500,6.04032
51,1.90000,16.500,6.03710
52,1.90161,16.500,6.03871
52,1.90000,16.500,6.04032
53,1.90000,16.500,6.04677
54,1.90161,16.500,6.03548
54,1.90484,16.500,6.03710
55,1.89032,16.500,6.04032
55,1.89839,16.500,6.03387
56,1.90323,16.500,6.03710
57,1.88710,16.500,6.03871
57,1.89839,16.500,6.03871
58,1.89194,16.500,6.03387
59,1.90161,16.500,6.03548
59,1.89677,16.500,6.03226
60,1.90484,16.500,6.04194
60,1.89839,16.500,6.03871
61,1.89839,16.500,6.03387
62,1.90161,16.500,6.03387
62,1.89516,16.500,6.03226
63,1.90645,16.500,6.03226
63,1.90000,16.500,6.04032
64,1.89839,16.500,6.03387
64,1.89355,16.500,6.03710
65,1.90161,16.500,6.03226
65,1.89516,16.500,6.03710
66,1.89677,16.500,6.03710
67,1.90161,16.500,6.03710
67,1.90323,16.500,6.04516
