timestamp,tds_v,tempC,ph_v
19,1.11613,17.000,6.04032
20,1.11290,17.000,6.04032
20,1.11774,17.000,6.03710
21,1.12097,17.000,6.02742
22,1.12903,17.000,6.03548
22,1.11452,17.000,6.02903
23,1.10968,17.000,6.03548
24,1.11935,17.000,6.03710
24,1.10968,17.000,6.03548
25,1.11935,17.000,6.03548
25,1.11613,17.000,6.03387
26,1.11452,17.000,6.04032
27,1.12742,17.000,6.03387
27,1.12097,17.000,6.03710
28,1.11774,17.000,6.04194
28,1.11290,17.000,6.03548
29,1.11613,17.000,6.03710
30,1.11452,17.000,6.04194
30,1.11452,17.000,6.03548
31,1.11774,17.000,6.03710
31,1.12097,17.000,6.03548
32,1.11290,17.000,6.04032
33,1.11452,17.000,6.03548
33,1.12258,17.000,6.03710
34,1.11452,17.000,6.04516
34,1.11452,17.000,6.03871
35,1.11935,17.000,6.04194
36,1.11129,17.000,6.03387
36,1.11452,17.000,6.03065
36,1.09032,17.000,6.04194
36,1.11774,17.000,6.03548
37,1.11935,17.000,6.03387
38,1.11613,17.000,6.03387
38,1.11290,17.000,6.04032
39,1.12419,17.000,6.03387
39,1.11935,17.000,6.04032
40,1.12742,17.000,6.04032
41,1.11613,17.000,6.03871
41,1.12581,17.000,6.04355
42,1.12419,17.000,6.04677
42,1.12581,17.000,6.03871
43,1.11290,17.000,6.03871
44,1.11935,17.000,6.03871
44,1.12258,17.000,6.04032
45,1.12903,17.000,6.04355
46,1.12419,17.000,6.04032
46,1.12903,17.000,6.03871
47,1.12419,17.000,6.03871
47,1.11290,17.000,6.04677
48,1.11129,17.000,6.04355
49,1.11290,17.000,6.04194
49,1.12258,17.000,6.03710
50,1.12581,17.000,6.04355
50,1.11774,17.000,6.03548
51,1.12258,17.000,6.04032
52,1.12097,17.000,6.04194
52,1.12581,17.000,6.03387
53,1.11613,17.000,6.02742
53,1.12581,17.000,6.03387
54,1.11129,17.000,6.03387
55,1.11774,17.000,6.04355
55,1.11129,17.000,6.03387
56,1.12097,17.000,6.04194
56,1.11774,17.000,6.03387
57,1.11290,17.000,6.04032
58,1.11935,17.000,6.03871
58,1.12258,17.000,6.04194
59,1.13226,17.000,6.04032
59,1.12258,17.000,6.03710
60,1.11452,17.000,6.04032
61,1.11452,17.000,6.05000
61,1.11129,17.000,6.04194
62,1.10645,17.000,6.03548
62,1.11129,17.000,6.03871
63,1.10645,17.000,6.03871
64,1.13710,17.000,6.04194
64,1.12097,17.000,6.04516
65,1.11613,17.000,6.04032
65,1.12097,17.000,6.03387
66,1.11774,17.000,6.03871
67,1.10806,17.000,6.03871
67,1.11452,17.000,6.03710
68,1.12258,17.000,6.03548
68,1.11290,17.000,6.03871
69,1.12258,17.000,6.04839
70,1.12419,17.000,6.03387
70,1.11935,17.000,6.03710
71,1.13871,17.000,6.03226
72,1.12258,17.000,6.03387
72,1.10806,17.000,6.05161
73,1.10968,17.000,6.03548
73,1.11452,17.000,6.03871
74,1.12742,17.000,6.03710
75,1.12581,17.000,6.04355
75,1.11290,17.000,6.04677
76,1.12742,17.000,6.03548
76,1.12258,17.000,6.03710
77,1.12097,17.000,6.04194
77,1.11129,17.000,6.04194
77,1.11774,17.000,6.03871
78,1.11935,17.000,6.03387
78,1.11452,17.000,6.04194
79,1.11613,17.000,6.04516
80,1.11774,17.000,6.03710
80,1.12258,17.000,6.04355
81,1.10806,17.000,6.03710
81,1.10968,17.000,6.03548
82,1.11129,17.000,6.02903
83,1.12419,17.000,6.03871
83,1.11129,17.000,6.04032
84,1.12097,17.000,6.03871
84,1.11613,17.000,6.03710
85,1.11935,17.000,6.03065
86,1.10968,17.000,6.02419
86,1.10806,17.000,6.03065
87,1.10806,17.000,6.03226
87,1.11774,17.000,6.03387
88,1.11935,17.000,6.04516
89,1.11613,17.000,6.03065
89,1.12097,17.000,6.03871
90,1.11935,17.000,6.03710
90,1.11129,17.000,6.03710
91,1.12742,17.000,6.03548
92,1.11613,17.000,6.03710
92,1.12097,17.000,6.03710
93,1.12097,17.000,6.02903
93,1.11935,17.000,6.03871
94,1.12097,17.000,6.03710
