timestamp,tds_v,tempC,ph_v
19,1.11935,17.000,6.05000
20,1.11774,17.000,6.04032
20,1.12097,17.000,6.03387
21,1.12258,17.000,6.03871
22,1.11290,17.000,6.03871
22,1.11774,17.000,6.03710
23,1.11613,17.000,6.04355
23,1.11935,17.000,6.04032
24,1.12097,17.000,6.03387
25,1.11935,17.000,6.04194
25,1.12742,17.000,6.04355
26,1.12581,17.000,6.04355
26,1.11935,17.000,6.03710
27,1.11774,17.000,6.03710
28,1.11935,17.000,6.04032
28,1.12258,17.000,6.03871
29,1.12581,17.000,6.03226
30,1.11774,17.000,6.04032
30,1.11290,17.000,6.03548
31,1.13710,17.000,6.05000
31,1.09194,17.000,6.03871
32,1.10968,17.000,6.03710
33,1.12258,17.000,6.03710
33,1.12258,17.000,6.03871
34,1.12419,17.000,6.04032
34,1.11290,17.000,6.03548
35,1.12742,17.000,6.03710
36,1.11290,17.000,6.03871
36,1.11774,17.000,6.03548
37,1.12097,17.000,6.03871
37,1.12742,17.000,6.03387
38,1.12903,17.000,6.04194
39,1.11613,17.000,6.04516
39,1.11935,17.000,6.03548
40,1.12903,17.000,6.04032
40,1.11129,17.000,6.04194
41,1.10968,17.000,6.03710
42,1.11452,17.000,6.04032
42,1.11935,17.000,6.03548
43,1.12419,17.000,6.04355
43,1.12258,17.000,6.04194
44,1.11613,17.000,6.04032
45,1.12581,17.000,6.03387
45,1.12903,17.000,6.04032
46,1.14355,17.000,6.04194
46,1.12419,17.000,6.04032
47,1.11774,17.000,6.04194
48,1.11290,17.000,6.04032
48,1.11613,17.000,6.03387
49,1.13548,17.000,6.03871
49,1.12258,17.000,6.03710
50,1.12581,17.000,6.04032
51,1.11290,17.000,6.03871
51,1.11774,17.000,6.04355
52,1.12581,17.000,6.04194
52,1.11774,17.000,6.04194
53,1.11935,17.000,6.04677
54,1.10968,17.000,6.03710
54,1.12097,17.000,6.03710
54,1.12742,17.000,6.04839
55,1.11613,17.000,6.03871
55,1.12419,17.000,6.04194
56,1.11935,17.000,6.04032
56,1.11452,17.000,6.03710
57,1.11290,17.000,6.04839
58,1.11935,17.000,6.03387
58,1.12258,17.000,6.04194
59,1.10323,17.000,6.03548
59,1.12419,17.000,6.03548
60,1.11935,17.000,6.04355
61,1.10968,17.000,6.04032
61,1.12581,17.000,6.04194
62,1.11452,17.000,6.04355
62,1.13871,17.000,6.04032
63,1.11935,17.000,6.05323
64,1.11774,17.000,6.03710
64,1.12097,17.000,6.03548
65,1.11129,17.000,6.03871
65,1.12097,17.000,6.03871
66,1.11452,17.000,6.03871
67,1.11774,17.000,6.03871
67,1.12581,17.000,6.03710
68,1.11935,17.000,6.03871
68,1.14839,17.000,6.03871
69,1.12742,17.000,6.03548
70,1.11613,17.000,6.04194
70,1.11452,17.000,6.03548
71,1.11613,17.000,6.03871
71,1.11774,17.000,6.04194
72,1.11129,17.000,6.03387
73,1.09677,17.000,6.03871
73,1.12581,17.000,6.03710
74,1.11452,17.000,6.03548
74,1.10806,17.000,6.03710
75,1.11129,17.000,6.04032
76,1.12097,17.000,6.03065
76,1.11452,17.000,6.04194
77,1.12742,17.000,6.03710
77,1.11290,17.000,6.03387
78,1.12419,17.000,6.03710
79,1.15645,17.000,6.04194
79,1.12419,17.000,6.03548
80,1.12419,17.000,6.04839
80,1.12419,17.000,6.03548
81,1.12581,17.000,6.04194
82,1.11452,17.000,6.03065
82,1.12097,17.000,6.04032
83,1.14839,17.000,6.04194
84,1.12097,17.000,6.03710
84,1.12258,17.000,6.04194
85,1.12097,17.000,6.03710
85,1.11452,17.000,6.04355
86,1.12097,17.000,6.03710
87,1.11935,17.000,6.03871
87,1.12903,17.000,6.05000
88,1.11935,17.000,6.03710
88,1.10968,17.000,6.03871
89,1.12097,17.000,6.04032
90,1.12419,17.000,6.04194
90,1.12419,17.000,6.03710
91,1.12097,17.000,6.03548
91,1.08226,17.000,6.04032
92,1.12742,17.000,6.04032
93,1.11935,17.000,6.03710
93,1.12258,17.000,6.04032
94,1.12097,17.000,6.03548
