timestamp,tds_v,tempC,ph_v
19,1.12097,17.000,6.03548
20,1.11129,17.000,6.03548
20,1.10968,17.000,6.04194
21,1.10968,17.000,6.04032
21,1.11613,17.000,6.03548
22,1.11774,17.000,6.03548
23,1.11613,17.000,6.04032
23,1.11613,17.000,6.04677
24,1.11290,17.000,6.03387
24,1.12258,17.000,6.03387
25,1.11452,17.000,6.03871
26,1.11613,17.000,6.03226
26,1.11290,17.000,6.03226
27,1.12258,17.000,6.03710
27,1.11613,17.000,6.03065
28,1.11290,17.000,6.03710
29,1.10806,17.000,6.03710
29,1.11129,17.000,6.03387
30,1.11774,17.000,6.03871
30,1.10968,17.000,6.03871
31,1.11613,17.000,6.04355
32,1.10968,17.000,6.03710
32,1.12097,17.000,6.04194
33,1.10968,17.000,6.03548
33,1.12419,17.000,6.03871
34,1.11935,17.000,6.03065
35,1.11774,17.000,6.03387
35,1.11452,17.000,6.03871
36,1.11129,17.000,6.03548
36,1.10806,17.000,6.03548
37,1.11774,17.000,6.03710
38,1.11935,17.000,6.03871
38,1.11452,17.000,6.03548
39,1.11290,17.000,6.03387
39,1.11452,17.000,6.03387
40,1.11290,17.000,6.03871
41,1.11290,17.000,6.03065
41,1.12097,17.000,6.03871
42,1.12258,17.000,6.03710
42,1.11774,17.000,6.03226
43,1.11290,17.000,6.03387
44,1.11290,17.000,6.03871
44,1.11452,17.000,6.03710
45,1.12097,17.000,6.03871
46,1.10806,17.000,6.03871
46,1.11452,17.000,6.02903
47,1.11452,17.000,6.03387
47,1.11935,17.000,6.03387
48,1.11129,17.000,6.03548
49,1.11613,17.000,6.03871
49,1.11774,17.000,6.03871
50,1.11290,17.000,6.03710
50,1.11129,17.000,6.03871
51,1.11129,17.000,6.03548
51,1.12097,17.000,6.03710
51,1.15806,17.000,6.03387
52,1.11290,17.000,6.04355
52,1.12097,17.000,6.03871
53,1.11774,17.000,6.04032
54,1.11613,17.000,6.04194
54,1.11613,17.000,6.04516
55,1.11613,17.000,6.03871
55,1.12258,17.000,6.03871
56,1.11774,17.000,6.03548
57,1.11452,17.000,6.02903
57,1.10968,17.000,6.03871
58,1.11774,17.000,6.03387
58,1.11290,17.000,6.03387
59,1.10161,17.000,6.03065
60,1.10968,17.000,6.03548
60,1.11774,17.000,6.04032
61,1.10323,17.000,6.03871
61,1.13065,17.000,6.03710
62,1.12097,17.000,6.04194
63,1.10968,17.000,6.03710
63,1.11290,17.000,6.03226
64,1.11935,17.000,6.03065
64,1.11774,17.000,6.03710
65,1.11774,17.000,6.03065
66,1.11613,17.000,6.03871
66,1.12097,17.000,6.03871
67,1.11613,17.000,6.03871
67,1.11613,17.000,6.04032
68,1.11935,17.000,6.03387
69,1.10968,17.000,6.03871
69,1.11774,17.000,6.03065
70,1.11774,17.000,6.04032
70,1.12258,17.000,6.04194
71,1.12258,17.000,6.04194
72,1.11452,17.000,6.04355
72,1.11129,17.000,6.04194
73,1.10806,17.000,6.04839
73,1.11129,17.000,6.03710
74,1.12258,17.000,6.04032
75,1.11290,17.000,6.04032
75,1.11290,17.000,6.04032
76,1.11613,17.000,6.03710
77,1.11613,17.000,6.04194
77,1.11290,17.000,6.04355
78,1.12258,17.000,6.03871
78,1.11613,17.000,6.03710
79,1.14194,17.000,6.03548
80,1.10968,17.000,6.04355
80,1.10968,17.000,6.03548
81,1.11774,17.000,6.04194
82,1.11452,17.000,6.03548
82,1.11452,17.000,6.04194
83,1.11290,17.000,6.03387
83,1.11774,17.000,6.03387
84,1.11774,17.000,6.03387
85,1.11613,17.000,6.04355
85,1.12258,17.000,6.04355
86,1.11613,17.000,6.04677
86,1.11935,17.000,6.03871
87,1.11290,17.000,6.03710
88,1.11774,17.000,6.04032
88,1.12419,17.000,6.04516
89,1.11452,17.000,6.03710
89,1.11774,17.000,6.03871
90,1.10968,17.000,6.03548
91,1.11613,17.000,6.04355
91,1.11290,17.000,6.03871
92,1.12097,17.000,6.03226
92,1.11129,17.000,6.04194
93,1.10806,17.000,6.04194
93,1.11452,17.000,6.04194
93,1.11290,17.000,6.03548
94,1.10000,17.000,6.03387
