timestamp,tds_v,tempC,ph_v
20,1.93548,16.500,6.03226
20,1.94194,16.500,6.02903
21,1.94355,16.500,6.03548
22,1.94516,16.500,6.03387
22,1.93710,16.500,6.04032
22,1.94032,16.500,6.03226
22,1.93226,16.500,6.03226
23,1.94355,16.500,6.02581
24,1.93548,16.500,6.02903
24,1.94355,16.500,6.04032
25,1.94516,16.500,6.03548
26,1.94677,16.500,6.03710
26,1.93871,16.500,6.04355
27,1.91774,16.500,6.03871
27,1.95000,16.500,6.03548
28,1.94677,16.500,6.03387
29,1.94355,16.500,6.03548
29,1.95000,16.500,6.03871
30,1.94194,16.500,6.03871
30,1.93710,16.500,6.04032
31,1.93065,16.500,6.03548
32,1.94032,16.500,6.03710
32,1.94194,16.500,6.03065
33,1.91935,16.500,6.03710
33,1.94355,16.500,6.04194
34,1.91774,16.500,6.04032
35,1.94355,16.500,6.03548
35,1.94677,16.500,6.03710
36,1.96129,16.500,6.04032
36,1.97742,16.500,6.04355
37,1.94677,16.500,6.03548
38,1.95323,16.500,6.04194
38,1.93548,16.500,6.04194
39,1.94516,16.500,6.04032
39,1.94032,16.500,6.03871
40,1.94355,16.500,6.03387
41,1.94355,16.500,6.03226
41,1.94194,16.500,6.02581
42,1.94677,16.500,6.04032
43,1.94677,16.500,6.04355
43,1.95806,16.500,6.03871
44,1.94194,16.500,6.03710
44,1.94032,16.500,6.03548
45,1.93871,16.500,6.04194
46,1.95484,16.500,6.03871
46,1.94032,16.500,6.03387
47,1.92742,16.500,6.03387
47,1.94194,16.500,6.04194
48,1.92903,16.500,6.02903
49,1.93710,16.500,6.03387
49,1.93871,16.500,6.03548
50,1.93387,16.500,6.03548
51,1.93871,16.500,6.03871
51,1.94194,16.500,6.03226
52,1.93548,16.500,6.03710
52,1.94677,16.500,6.04355
53,1.94677,16.500,6.03548
54,1.94032,16.500,6.03710
54,1.94194,16.500,6.03710
55,1.94194,16.500,6.03871
55,1.94355,16.500,6.03871
56,1.93548,16.500,6.04032
57,1.94032,16.500,6.03387
57,1.94677,16.500,6.03871
58,1.94194,16.500,6.04032
58,1.91452,16.500,6.03226
59,1.94194,16.500,6.03226
60,1.93871,16.500,6.03226
60,1.94194,16.500,6.03548
61,1.93871,16.500,6.03710
61,1.94194,16.500,6.03871
62,1.94194,16.500,6.03548
63,1.94516,16.500,6.03548
63,1.93871,16.500,6.03871
63,1.94677,16.500,6.03710
63,1.94194,16.500,6.03387
64,1.94032,16.500,6.03387
65,1.93871,16.500,6.03710
65,1.94032,16.500,6.02903
66,1.95000,16.500,6.03226
66,1.95484,16.500,6.03871
67,1.94194,16.500,6.03710
68,1.93548,16.500,6.04032
68,1.94839,16.500,6.03548
69,1.95161,16.500,6.04032
70,1.93226,16.500,6.03226
70,1.96129,16.500,6.04032
71,1.93387,16.500,6.03710
71,1.94194,16.500,6.04032
72,1.94194,16.500,6.03710
73,1.94355,16.500,6.03226
73,1.94355,16.500,6.02581
74,1.94194,16.500,6.04516
74,1.94355,16.500,6.03226
75,1.94677,16.500,6.03871
76,1.94194,16.500,6.04355
76,1.94355,16.500,6.03871
77,1.94516,16.500,6.04516
77,1.94032,16.500,6.03548
78,1.94194,16.500,6.03226
79,1.94355,16.500,6.04355
79,1.94516,16.500,6.04516
80,1.94516,16.500,6.04677
80,1.94516,16.500,6.03226
81,1.93871,16.500,6.03548
82,1.94677,16.500,6.03871
82,1.94516,16.500,6.04032
83,1.94032,16.500,6.03871
83,1.95161,16.500,6.03871
84,1.94194,16.500,6.03710
85,1.94516,16.500,6.03387
85,1.93871,16.500,6.03548
86,1.95323,16.500,6.03387
87,1.94032,16.500,6.03065
87,1.94194,16.500,6.03871
88,1.93710,16.500,6.03226
88,1.94516,16.500,6.03710
89,1.93710,16.500,6.04677
90,1.94355,16.500,6.04032
90,1.94516,16.500,6.03226
91,1.94032,16.500,6.03226
91,1.94032,16.500,6.04194
92,1.93871,16.500,6.04516
93,1.94032,16.500,6.03548
93,1.93871,16.500,6.04194
94,1.94516,16.500,6.03226
