timestamp,tds_v,tempC,ph_v
19,1.10806,17.000,6.03871
20,1.10968,17.000,6.03871
20,1.11774,17.000,6.04032
21,1.11774,17.000,6.03710
21,1.11935,17.000,6.03548
22,1.11774,17.000,6.03548
23,1.11452,17.000,6.03548
23,1.09839,17.000,6.03710
24,1.10968,17.000,6.03226
24,1.10484,17.000,6.02903
25,1.11613,17.000,6.03065
26,1.11774,17.000,6.03065
26,1.11774,17.000,6.03871
27,1.11452,17.000,6.03871
27,1.11613,17.000,6.04194
28,1.11452,17.000,6.03548
29,1.11129,17.000,6.04194
29,1.11613,17.000,6.03710
30,1.11935,17.000,6.03548
30,1.08871,17.000,6.03871
31,1.12419,17.000,6.04677
32,1.10968,17.000,6.03548
32,1.11935,17.000,6.03548
33,1.10968,17.000,6.04032
33,1.12097,17.000,6.04032
34,1.11774,17.000,6.03710
35,1.11290,17.000,6.03871
35,1.11774,17.000,6.04032
36,1.11129,17.000,6.03548
36,1.11774,17.000,6.04677
37,1.12097,17.000,6.04355
38,1.12258,17.000,6.04032
38,1.11935,17.000,6.04355
39,1.11290,17.000,6.03871
39,1.12097,17.000,6.04032
40,1.11290,17.000,6.03871
41,1.12097,17.000,6.03710
41,1.11935,17.000,6.04032
42,1.11613,17.000,6.03871
43,1.11452,17.000,6.03710
43,1.12258,17.000,6.03226
44,1.11935,17.000,6.03871
44,1.11935,17.000,6.04839
45,1.12258,17.000,6.03548
46,1.11290,17.000,6.03710
46,1.11290,17.000,6.04355
47,1.12419,17.000,6.03548
47,1.11290,17.000,6.03871
48,1.11452,17.000,6.03548
49,1.11613,17.000,6.03387
49,1.12097,17.000,6.03710
50,1.11774,17.000,6.03387
50,1.12258,17.000,6.03548
50,1.12419,17.000,6.03065
51,1.11452,17.000,6.03871
51,1.11935,17.000,6.03871
52,1.11774,17.000,6.04516
52,1.12258,17.000,6.04516
53,1.10806,17.000,6.03387
54,1.12419,17.000,6.03548
54,1.10323,17.000,6.03548
55,1.11452,17.000,6.03871
55,1.12419,17.000,6.04516
56,1.16129,17.000,6.03710
57,1.11935,17.000,6.03226
57,1.11774,17.000,6.02903
58,1.08065,17.000,6.04355
58,1.11452,17.000,6.03871
59,1.11129,17.000,6.03710
60,1.11452,17.000,6.03710
60,1.11613,17.000,6.03548
61,1.11129,17.000,6.03871
61,1.12258,17.000,6.04194
62,1.11613,17.000,6.03548
63,1.10968,17.000,6.03548
63,1.11613,17.000,6.04194
64,1.11613,17.000,6.04677
64,1.12419,17.000,6.03871
65,1.11774,17.000,6.03710
66,1.12258,17.000,6.03548
66,1.11935,17.000,6.03710
67,1.11774,17.000,6.03548
68,1.10645,17.000,6.04194
68,1.11129,17.000,6.03548
69,1.11290,17.000,6.04032
69,1.10968,17.000,6.04032
70,1.12097,17.000,6.03710
71,1.12258,17.000,6.04032
71,1.14516,17.000,6.04355
72,1.11290,17.000,6.02903
72,1.11774,17.000,6.04194
73,1.10968,17.000,6.04032
74,1.15161,17.000,6.03871
74,1.11935,17.000,6.03548
75,1.11613,17.000,6.03871
75,1.12258,17.000,6.03871
76,1.09839,17.000,6.04032
77,1.11129,17.000,6.03387
77,1.12419,17.000,6.04194
78,1.11935,17.000,6.03065
79,1.11774,17.000,6.04032
79,1.11452,17.000,6.03065
80,1.11613,17.000,6.03226
80,1.11290,17.000,6.04194
81,1.12258,17.000,6.04032
81,1.10968,17.000,6.03065
82,1.11613,17.000,6.03065
83,1.11613,17.000,6.04032
83,1.11935,17.000,6.03871
84,1.10806,17.000,6.04032
84,1.11774,17.000,6.04194
85,1.11935,17.000,6.03548
86,1.11935,17.000,6.03387
86,1.11452,17.000,6.03548
87,1.10806,17.000,6.04194
87,1.12097,17.000,6.04839
88,1.11452,17.000,6.03871
89,1.11290,17.000,6.03871
89,1.11613,17.000,6.03548
90,1.12258,17.000,6.03548
90,1.12258,17.000,6.05161
91,1.10968,17.000,6.03548
91,1.11290,17.000,6.03226
91,1.12581,17.000,6.03548
92,1.11935,17.000,6.03710
93,1.11774,17.000,6.03710
93,1.11129,17.000,6.03710
94,1.11613,17.000,6.03871
