timestamp,tds_v,tempC,ph_v
20,1.94032,16.500,6.04194
20,1.93871,16.500,6.03710
21,1.93548,16.500,6.04032
22,1.94032,16.500,6.03548
22,1.92742,16.500,6.05161
23,1.92903,16.500,6.04516
23,1.93710,16.500,6.04194
24,1.91774,16.500,6.03871
25,1.92903,16.500,6.03710
25,1.94355,16.500,6.03548
26,1.93710,16.500,6.03871
27,1.93548,16.500,6.03710
27,1.93871,16.500,6.03548
28,1.94032,16.500,6.04194
28,1.93387,16.500,6.04677
29,1.92581,16.500,6.04355
30,1.94194,16.500,6.04032
30,1.92903,16.500,6.03871
31,1.93226,16.500,6.03226
31,1.93871,16.500,6.04677
32,1.94032,16.500,6.04516
33,1.93710,16.500,6.03548
33,1.92903,16.500,6.04194
34,1.93226,16.500,6.04839
34,1.93387,16.500,6.05000
35,1.93710,16.500,6.04677
36,1.93871,16.500,6.04032
36,1.94032,16.500,6.03387
37,1.93065,16.500,6.04194
37,1.92903,16.500,6.04677
38,1.93871,16.500,6.04032
39,1.93710,16.500,6.03871
39,1.93548,16.500,6.04355
40,1.94032,16.500,6.04032
40,1.92581,16.500,6.04355
40,1.93387,16.500,6.04355
41,1.93710,16.500,6.03548
41,1.93065,16.500,6.04194
42,1.93226,16.500,6.04194
43,1.92903,16.500,6.05161
43,1.93710,16.500,6.03871
44,1.94032,16.500,6.03548
44,1.93387,16.500,6.04032
45,1.93226,16.500,6.04194
46,1.93065,16.500,6.04839
46,1.94032,16.500,6.04355
47,1.94355,16.500,6.04032
48,1.94516,16.500,6.03710
48,1.93387,16.500,6.03710
49,1.93871,16.500,6.05000
49,1.93065,16.500,6.04516
50,1.93226,16.500,6.04032
51,1.93871,16.500,6.03226
51,1.93387,16.500,6.04194
52,1.92742,16.500,6.05000
52,1.93387,16.500,6.04677
53,1.93387,16.500,6.04032
54,1.93548,16.500,6.03548
54,1.93871,16.500,6.03387
55,1.94355,16.500,6.04516
55,1.94194,16.500,6.04839
56,1.94194,16.500,6.04194
57,1.94677,16.500,6.04194
57,1.93710,16.500,6.04194
58,1.92581,16.500,6.04516
59,1.93871,16.500,6.04194
59,1.93710,16.500,6.03871
60,1.92903,16.500,6.04839
60,1.93387,16.500,6.03710
61,1.93387,16.500,6.03871
62,1.92742,16.500,6.04032
62,1.92419,16.500,6.04032
63,1.93548,16.500,6.04032
63,1.93065,16.500,6.04032
64,1.92903,16.500,6.04516
65,1.94839,16.500,6.04032
65,1.93710,16.500,6.03548
66,1.93710,16.500,6.04032
66,1.93387,16.500,6.04194
67,1.92742,16.500,6.04355
68,1.93387,16.500,6.04516
68,1.93387,16.500,6.03548
69,1.93387,16.500,6.03710
69,1.93871,16.500,6.03871
70,1.93548,16.500,6.03871
71,1.93226,16.500,6.04839
71,1.93226,16.500,6.04194
72,1.94194,16.500,6.03871
72,1.93226,16.500,6.03710
73,1.93548,16.500,6.04677
74,1.93065,16.500,6.04355
74,1.93226,16.500,6.04355
75,1.92742,16.500,6.03710
75,1.93226,16.500,6.04839
76,1.93226,16.500,6.03871
77,1.94194,16.500,6.04355
77,1.92419,16.500,6.04516
78,1.93710,16.500,6.03548
79,1.93065,16.500,6.04516
79,1.93871,16.500,6.04677
80,1.93387,16.500,6.03710
80,1.93226,16.500,6.03548
81,1.93387,16.500,6.04194
82,1.94355,16.500,6.04355
82,1.97903,16.500,6.04194
82,1.92742,16.500,6.04194
82,1.93871,16.500,6.04194
83,1.93548,16.500,6.03871
84,1.93548,16.500,6.04032
84,1.93871,16.500,6.04839
85,1.93548,16.500,6.04032
85,1.92903,16.500,6.04032
86,1.93710,16.500,6.03871
87,1.94194,16.500,6.04516
87,1.92419,16.500,6.04355
88,1.93226,16.500,6.03871
88,1.94032,16.500,6.04839
89,1.93226,16.500,6.04677
90,1.93065,16.500,6.04355
90,1.92581,16.500,6.05000
91,1.93548,16.500,6.03710
91,1.93226,16.500,6.04355
92,1.93387,16.500,6.03548
93,1.93065,16.500,6.03871
93,1.92419,16.500,6.04516
94,1.93226,16.500,6.04032
