timestamp,tds_v,tempC,ph_v
19,1.94839,16.500,6.03871
19,1.94355,16.500,6.04032
20,1.94355,16.500,6.03710
21,1.94355,16.500,6.03710
21,1.93871,16.500,6.03710
22,1.94516,16.500,6.04032
22,1.94839,16.500,6.03548
23,1.95484,16.500,6.03548
24,1.94516,16.500,6.05000
24,1.95161,16.500,6.02903
25,1.94194,16.500,6.04032
25,1.95000,16.500,6.03871
26,1.95000,16.500,6.04516
27,1.94839,16.500,6.03387
27,1.95161,16.500,6.03387
28,1.94839,16.500,6.03226
29,1.94839,16.500,6.03871
29,1.96129,16.500,6.03710
30,1.94677,16.500,6.03871
30,1.95000,16.500,6.03548
31,1.94677,16.500,6.04194
32,1.94839,16.500,6.03387
32,1.94516,16.500,6.04032
33,1.95161,16.500,6.05000
33,1.95161,16.500,6.03548
34,1.94839,16.500,6.03387
35,1.94355,16.500,6.03387
35,1.95323,16.500,6.04032
36,1.94516,16.500,6.04194
36,1.95484,16.500,6.02742
37,1.95161,16.500,6.03871
38,1.95323,16.500,6.03710
38,1.95000,16.500,6.04355
39,1.94516,16.500,6.04194
39,1.95000,16.500,6.03710
40,1.94839,16.500,6.03710
41,1.94032,16.500,6.03548
41,1.93065,16.500,6.04516
42,1.95161,16.500,6.03710
42,1.94677,16.500,6.03548
43,1.94677,16.500,6.03710
44,1.94355,16.500,6.04032
44,1.94516,16.500,6.04355
45,1.95161,16.500,6.04516
45,1.94516,16.500,6.04032
46,1.95000,16.500,6.04032
47,1.94839,16.500,6.04516
47,1.94516,16.500,6.04839
48,1.92581,16.500,6.04194
48,1.94516,16.500,6.04032
48,1.95323,16.500,6.04032
49,1.94839,16.500,6.04032
49,1.94032,16.500,6.04516
50,1.94194,16.500,6.03871
51,1.95000,16.500,6.04194
51,1.94839,16.500,6.04032
52,1.94355,16.500,6.03871
52,1.93387,16.500,6.04677
53,1.94516,16.500,6.03387
54,1.94194,16.500,6.03710
54,1.95000,16.500,6.04516
55,1.95323,16.500,6.03710
55,1.94032,16.500,6.04355
56,1.89839,16.500,6.04516
57,1.94194,16.500,6.04677
57,1.95323,16.500,6.04355
58,1.94839,16.500,6.03710
59,1.93871,16.500,6.03871
59,1.94839,16.500,6.04355
60,1.94516,16.500,6.03387
60,1.95000,16.500,6.03871
61,1.94839,16.500,6.03871
62,1.94355,16.500,6.04032
62,1.94032,16.500,6.03548
63,1.94839,16.500,6.03548
64,1.94677,16.500,6.03387
64,1.94355,16.500,6.03226
65,1.94032,16.500,6.04194
65,1.94677,16.500,6.03387
66,1.94839,16.500,6.04194
67,1.95161,16.500,6.03065
67,1.94677,16.500,6.03871
68,1.95000,16.500,6.03548
68,1.95000,16.500,6.04032
69,1.94839,16.500,6.03710
70,1.94839,16.500,6.03226
70,1.94516,16.500,6.03871
71,1.94839,16.500,6.04032
71,1.95000,16.500,6.03710
72,1.94355,16.500,6.04194
73,1.95161,16.500,6.04032
73,1.94355,16.500,6.03065
74,1.94677,16.500,6.04355
74,1.94677,16.500,6.04355
75,1.94677,16.500,6.04032
76,1.94194,16.500,6.04032
76,1.94516,16.500,6.04194
77,1.94677,16.500,6.03710
78,1.94839,16.500,6.03710
78,1.94677,16.500,6.03387
79,1.94355,16.500,6.04194
79,1.95000,16.500,6.04194
80,1.95161,16.500,6.04355
81,1.93710,16.500,6.03710
81,1.94194,16.500,6.04032
82,1.94516,16.500,6.03710
82,1.94677,16.500,6.03387
83,1.94194,16.500,6.04032
84,1.95323,16.500,6.04032
84,1.94677,16.500,6.03871
85,1.95000,16.500,6.03710
85,1.95161,16.500,6.03871
86,1.94194,16.500,6.04355
87,1.94677,16.500,6.04355
87,1.95000,16.500,6.04355
88,1.94516,16.500,6.03548
88,1.94677,16.500,6.04516
89,1.93548,16.500,6.04032
89,1.94677,16.500,6.03387
89,1.93871,16.500,6.04194
90,1.96613,16.500,6.03387
90,1.94194,16.500,6.04032
91,1.95161,16.500,6.04677
92,1.94516,16.500,6.04194
92,1.94194,16.500,6.03710
93,1.93387,16.500,6.04032
94,1.95161,16.500,6.03871
