timestamp,tds_v,tempC,ph_v
19,1.07742,17.000,6.03871
19,1.11129,17.000,6.03387
20,1.11774,17.000,6.03871
21,1.11774,17.000,6.03226
21,1.12258,17.000,6.04194
22,1.11129,17.000,6.03710
23,1.11290,17.000,6.04032
23,1.11774,17.000,6.03387
24,1.15323,17.000,6.03387
24,1.11290,17.000,6.04194
25,1.08548,17.000,6.03871
26,1.12419,17.000,6.04032
26,1.11613,17.000,6.03871
27,1.11774,17.000,6.04194
27,1.10806,17.000,6.03871
28,1.11935,17.000,6.04194
29,1.12097,17.000,6.03387
29,1.11935,17.000,6.03548
30,1.11613,17.000,6.04355
30,1.12097,17.000,6.03710
31,1.11452,17.000,6.03226
32,1.12097,17.000,6.03871
32,1.11774,17.000,6.03871
33,1.10968,17.000,6.03871
33,1.12742,17.000,6.04032
34,1.12581,17.000,6.03548
35,1.11452,17.000,6.04032
35,1.10645,17.000,6.03548
36,1.11774,17.000,6.03548
36,1.10806,17.000,6.04032
37,1.11613,17.000,6.03387
38,1.11452,17.000,6.03387
38,1.11290,17.000,6.04194
39,1.11613,17.000,6.03548
39,1.12419,17.000,6.03226
40,1.11774,17.000,6.03871
41,1.11935,17.000,6.03710
41,1.11452,17.000,6.04032
42,1.07419,17.000,6.03226
42,1.11613,17.000,6.03710
43,1.12097,17.000,6.04032
44,1.11935,17.000,6.04516
44,1.12097,17.000,6.04516
45,1.11129,17.000,6.04032
45,1.11935,17.000,6.03710
46,1.11452,17.000,6.03710
47,1.11935,17.000,6.04032
47,1.11613,17.000,6.03226
48,1.11935,17.000,6.03548
48,1.11452,17.000,6.03871
49,1.10968,17.000,6.03710
50,1.11935,17.000,6.04355
50,1.12581,17.000,6.03871
51,1.12097,17.000,6.04194
51,1.10806,17.000,6.04516
52,1.11613,17.000,6.03548
53,1.11452,17.000,6.04194
53,1.11935,17.000,6.04677
54,1.12581,17.000,6.03710
54,1.12097,17.000,6.03387
55,1.11935,17.000,6.04677
56,1.11935,17.000,6.03871
56,1.11452,17.000,6.04677
57,1.11935,17.000,6.03710
58,1.11613,17.000,6.03710
58,1.15000,17.000,6.03710
59,1.11774,17.000,6.03710
59,1.11613,17.000,6.04355
59,1.12903,17.000,6.03387
60,1.11129,17.000,6.04194
60,1.11290,17.000,6.04194
61,1.11935,17.000,6.03871
61,1.11774,17.000,6.04839
62,1.11613,17.000,6.04032
63,1.11452,17.000,6.03548
63,1.11774,17.000,6.03710
64,1.11935,17.000,6.03387
64,1.12419,17.000,6.04194
65,1.12419,17.000,6.03710
66,1.11129,17.000,6.03871
66,1.12097,17.000,6.03226
67,1.11774,17.000,6.03548
67,1.11935,17.000,6.04677
68,1.10806,17.000,6.04516
69,1.11290,17.000,6.03871
69,1.10806,17.000,6.03871
70,1.11290,17.000,6.03548
70,1.11935,17.000,6.03548
71,1.10645,17.000,6.03710
72,1.12903,17.000,6.04194
72,1.12097,17.000,6.04355
73,1.11129,17.000,6.03871
73,1.12097,17.000,6.04194
74,1.11774,17.000,6.04194
75,1.11935,17.000,6.03871
75,1.12258,17.000,6.03548
76,1.12258,17.000,6.03548
76,1.11774,17.000,6.03871
77,1.12097,17.000,6.04194
78,1.11613,17.000,6.04032
78,1.12903,17.000,6.04194
79,1.11613,17.000,6.04677
80,1.11613,17.000,6.04032
80,1.12097,17.000,6.03548
81,1.12258,17.000,6.04194
81,1.14194,17.000,6.04355
82,1.12097,17.000,6.04194
83,1.11935,17.000,6.03710
83,1.11613,17.000,6.03710
84,1.11290,17.000,6.03871
84,1.10645,17.000,6.03871
85,1.11774,17.000,6.03710
86,1.11613,17.000,6.04032
86,1.10645,17.000,6.03387
87,1.11613,17.000,6.03548
87,1.11452,17.000,6.03548
88,1.11935,17.000,6.04032
89,1.12419,17.000,6.03065
89,1.12258,17.000,6.04194
90,1.11935,17.000,6.04032
90,1.12903,17.000,6.03710
91,1.11774,17.000,6.03226
92,1.11613,17.000,6.03387
92,1.12903,17.000,6.03871
93,1.12097,17.000,6.03710
93,1.11935,17.000,6.04355
94,1.11613,17.000,6.03548
