timestamp,tds_v,tempC,ph_v
20,1.92097,16.500,6.03065
20,1.91774,16.500,6.03871
21,1.92581,16.500,6.03710
22,1.92742,16.500,6.03387
22,1.91613,16.500,6.04194
23,1.92258,16.500,6.03065
23,1.91613,16.500,6.03710
24,1.91774,16.500,6.03387
25,1.91129,16.500,6.03871
25,1.92258,16.500,6.04355
26,1.91935,16.500,6.04032
26,1.91935,16.500,6.03548
27,1.91774,16.500,6.04032
28,1.91774,16.500,6.04032
28,1.90645,16.500,6.04516
29,1.91774,16.500,6.04032
29,1.91774,16.500,6.04032
30,1.92581,16.500,6.04194
31,1.92258,16.500,6.03065
31,1.91290,16.500,6.04032
31,1.90161,16.500,6.04032
31,1.92419,16.500,6.03710
32,1.91290,16.500,6.04194
33,1.91774,16.500,6.03710
33,1.92258,16.500,6.03710
34,1.91935,16.500,6.03871
34,1.92097,16.500,6.04032
35,1.92097,16.500,6.04194
36,1.91452,16.500,6.03871
36,1.91129,16.500,6.03710
37,1.91613,16.500,6.03871
37,1.91613,16.500,6.03710
38,1.91935,16.500,6.04677
39,1.90645,16.500,6.03871
39,1.90968,16.500,6.03065
40,1.90806,16.500,6.03548
41,1.91452,16.500,6.04032
41,1.92097,16.500,6.04194
42,1.92258,16.500,6.04032
42,1.92419,16.500,6.04032
43,1.91774,16.500,6.04194
44,1.91774,16.500,6.04355
44,1.91774,16.500,6.04355
45,1.92581,16.500,6.04032
45,1.91613,16.500,6.03065
46,1.89677,16.500,6.04194
47,1.91935,16.500,6.03710
47,1.92258,16.500,6.04194
48,1.91935,16.500,6.04032
48,1.92097,16.500,6.03710
49,1.90000,16.500,6.03871
50,1.91935,16.500,6.03710
50,1.91129,16.500,6.03871
51,1.92419,16.500,6.04032
51,1.91452,16.500,6.04032
52,1.91613,16.500,6.03226
53,1.91774,16.500,6.03710
53,1.91129,16.500,6.04839
54,1.92097,16.500,6.03871
54,1.92258,16.500,6.03226
55,1.92097,16.500,6.03871
56,1.91452,16.500,6.03710
56,1.92097,16.500,6.04516
57,1.91935,16.500,6.04032
57,1.91452,16.500,6.04194
58,1.90645,16.500,6.03871
59,1.92258,16.500,6.04355
59,1.91613,16.500,6.03387
60,1.92097,16.500,6.03710
61,1.92097,16.500,6.03548
61,1.93226,16.500,6.04355
62,1.91774,16.500,6.03710
62,1.93226,16.500,6.04194
63,1.91613,16.500,6.04032
64,1.91774,16.500,6.04194
64,1.91774,16.500,6.03710
65,1.92742,16.500,6.03710
65,1.90806,16.500,6.04355
66,1.92258,16.500,6.02903
67,1.91935,16.500,6.02903
67,1.91290,16.500,6.03226
68,1.92419,16.500,6.04032
68,1.90323,16.500,6.04677
69,1.91935,16.500,6.03548
70,1.91935,16.500,6.03387
70,1.92258,16.500,6.04032
71,1.91613,16.500,6.03387
72,1.92258,16.500,6.04194
72,1.92258,16.500,6.04032
73,1.91774,16.500,6.03548
73,1.91290,16.500,6.03710
73,1.91613,16.500,6.04032
74,1.91129,16.500,6.04355
74,1.91129,16.500,6.03548
75,1.91774,16.500,6.04355
76,1.91935,16.500,6.03226
76,1.91129,16.500,6.04194
77,1.90323,16.500,6.04032
77,1.91935,16.500,6.04516
78,1.91935,16.500,6.03387
79,1.91774,16.500,6.04355
79,1.92258,16.500,6.04032
80,1.92581,16.500,6.03548
80,1.92258,16.500,6.03871
81,1.91935,16.500,6.03548
82,1.91935,16.500,6.03871
82,1.91613,16.500,6.04032
83,1.92419,16.500,6.04032
84,1.91452,16.500,6.03387
84,1.92097,16.500,6.03387
85,1.92419,16.500,6.04194
85,1.93226,16.500,6.03710
86,1.92097,16.500,6.03548
87,1.91774,16.500,6.03871
87,1.92097,16.500,6.03548
88,1.91774,16.500,6.03065
88,1.91613,16.500,6.03871
89,1.91452,16.500,6.05000
90,1.91774,16.500,6.03226
90,1.92097,16.500,6.03710
91,1.92097,16.500,6.03871
91,1.90806,16.500,6.04194
92,1.92097,16.500,6.04839
93,1.91935,16.500,6.03548
93,1.91935,16.500,6.03548
94,1.92258,16.500,6.04355
