timestamp,tds_v,tempC,ph_v
19,1.11290,17.000,6.03065
20,1.11613,17.000,6.03710
20,1.11613,17.000,6.04516
21,1.11613,17.000,6.03548
21,1.12581,17.000,6.03871
22,1.10806,17.000,6.03387
23,1.11290,17.000,6.03548
23,1.11613,17.000,6.03226
24,1.11129,17.000,6.03871
24,1.10000,17.000,6.03710
25,1.11935,17.000,6.02903
26,1.09194,17.000,6.03387
26,1.10484,17.000,6.03226
27,1.11290,17.000,6.03387
27,1.11774,17.000,6.04032
28,1.11452,17.000,6.03710
29,1.11613,17.000,6.04032
29,1.07419,17.000,6.03548
30,1.11774,17.000,6.03710
30,1.12581,17.000,6.03226
31,1.11290,17.000,6.03871
32,1.11935,17.000,6.04032
32,1.11613,17.000,6.03548
33,1.10968,17.000,6.04355
33,1.12097,17.000,6.03710
34,1.11935,17.000,6.03871
35,1.12419,17.000,6.03548
35,1.12097,17.000,6.04032
36,1.11129,17.000,6.03710
37,1.11613,17.000,6.03387
37,1.11290,17.000,6.02581
38,1.10645,17.000,6.03710
38,1.11774,17.000,6.03710
39,1.11613,17.000,6.03871
40,1.10484,17.000,6.03387
40,1.12258,17.000,6.03710
41,1.10806,17.000,6.03548
41,1.12097,17.000,6.04516
42,1.11129,17.000,6.03226
43,1.11452,17.000,6.03871
43,1.09032,17.000,6.04032
44,1.11290,17.000,6.03226
44,1.11290,17.000,6.04194
45,1.12581,17.000,6.03710
46,1.10806,17.000,6.03710
46,1.11935,17.000,6.04355
47,1.11613,17.000,6.02742
47,1.11935,17.000,6.03710
48,1.10806,17.000,6.04677
48,1.12097,17.000,6.03871
48,1.12097,17.000,6.04032
49,1.11129,17.000,6.04194
49,1.11452,17.000,6.04839
50,1.12258,17.000,6.03871
51,1.15000,17.000,6.03226
51,1.11774,17.000,6.04194
52,1.11129,17.000,6.03871
52,1.11129,17.000,6.04516
53,1.11452,17.000,6.04355
54,1.11290,17.000,6.03871
54,1.10968,17.000,6.04194
55,1.11935,17.000,6.04194
56,1.11452,17.000,6.03226
56,1.11290,17.000,6.04194
57,1.11452,17.000,6.04194
57,1.11935,17.000,6.04194
58,1.12258,17.000,6.04194
59,1.11452,17.000,6.04355
59,1.11774,17.000,6.03065
60,1.11290,17.000,6.04516
60,1.09355,17.000,6.03871
61,1.10968,17.000,6.03871
62,1.11452,17.000,6.03871
62,1.12258,17.000,6.03871
63,1.12097,17.000,6.03387
63,1.09677,17.000,6.03871
64,1.11452,17.000,6.03387
65,1.11774,17.000,6.04516
65,1.11452,17.000,6.03710
66,1.10645,17.000,6.04355
66,1.11290,17.000,6.03548
67,1.10161,17.000,6.03871
68,1.12258,17.000,6.04032
68,1.11613,17.000,6.03710
69,1.11613,17.000,6.03871
69,1.11774,17.000,6.03548
70,1.11290,17.000,6.04355
71,1.11774,17.000,6.04032
71,1.11290,17.000,6.03548
72,1.12419,17.000,6.03065
73,1.12097,17.000,6.04194
73,1.10968,17.000,6.03710
74,1.11290,17.000,6.04032
74,1.11613,17.000,6.04032
75,1.11290,17.000,6.03871
75,1.11774,17.000,6.03548
76,1.11290,17.000,6.03710
77,1.11774,17.000,6.03548
77,1.10968,17.000,6.03710
78,1.11290,17.000,6.03710
78,1.11935,17.000,6.04194
79,1.11935,17.000,6.03226
79,1.11129,17.000,6.04032
80,1.10806,17.000,6.03710
