timestamp,tds_v,tempC,ph_v
19,1.88871,16.500,6.03065
19,1.89194,16.500,6.03871
20,1.89677,16.500,6.03710
21,1.90484,16.500,6.03065
21,1.88387,16.500,6.04032
22,1.89839,16.500,6.03871
22,1.89355,16.500,6.03387
23,1.89839,16.500,6.03710
24,1.90645,16.500,6.04032
24,1.89516,16.500,6.03710
25,1.90806,16.500,6.03710
25,1.90000,16.500,6.03871
26,1.89677,16.500,6.03871
27,1.89355,16.500,6.03387
27,1.88710,16.500,6.04194
28,1.89677,16.500,6.03871
28,1.89516,16.500,6.02742
29,1.88226,16.500,6.03871
30,1.89516,16.500,6.04194
30,1.88710,16.500,6.03548
31,1.89355,16.500,6.03871
32,1.89355,16.500,6.03226
32,1.89516,16.500,6.03548
33,1.89677,16.500,6.04032
33,1.90484,16.500,6.04032
34,1.89839,16.500,6.03548
35,1.89677,16.500,6.04032
35,1.89677,16.500,6.03871
36,1.89355,16.500,6.04194
36,1.89516,16.500,6.03548
37,1.89677,16.500,6.04032
38,1.89032,16.500,6.03548
38,1.89839,16.500,6.03548
39,1.90000,16.500,6.03065
39,1.89355,16.500,6.03226
40,1.88871,16.500,6.03871
41,1.89194,16.500,6.03871
41,1.89677,16.500,6.03065
42,1.90323,16.500,6.03710
42,1.89839,16.500,6.04032
43,1.89516,16.500,6.03710
44,1.90000,16.500,6.03548
44,1.89355,16.500,6.03387
45,1.88710,16.500,6.02903
46,1.89032,16.500,6.04516
46,1.90000,16.500,6.03387
47,1.89355,16.500,6.04032
47,1.87742,16.500,6.04032
48,1.88710,16.500,6.03710
49,1.88710,16.500,6.04194
49,1.89677,16.500,6.04194
50,1.90161,16.500,6.03387
50,1.89194,16.500,6.03548
51,1.89355,16.500,6.04194
52,1.90000,16.500,6.04516
52,1.89839,16.500,6.04355
53,1.89516,16.500,6.03710
54,1.89355,16.500,6.03548
54,1.89677,16.500,6.04032
55,1.86452,16.500,6.04516
55,1.90161,16.500,6.03710
56,1.88548,16.500,6.03387
57,1.89677,16.500,6.03065
57,1.88387,16.500,6.03387
58,1.89516,16.500,6.04516
58,1.90968,16.500,6.03548
59,1.89355,16.500,6.03548
60,1.87581,16.500,6.04355
60,1.89839,16.500,6.04032
60,1.89355,16.500,6.04516
60,1.89677,16.500,6.04839
61,1.89677,16.500,6.03548
62,1.90161,16.500,6.03710
62,1.89516,16.500,6.04032
63,1.90000,16.500,6.04516
64,1.89032,16.500,6.03710
64,1.89355,16.500,6.04194
65,1.89194,16.500,6.03548
65,1.89516,16.500,6.03710
66,1.89355,16.500,6.04355
67,1.89677,16.500,6.03710
67,1.90161,16.500,6.03871
68,1.89839,16.500,6.04032
68,1.89355,16.500,6.03548
69,1.90161,16.500,6.04516
70,1.88871,16.500,6.03871
70,1.90323,16.500,6.03710
71,1.89194,16.500,6.03710
71,1.89677,16.500,6.03871
72,1.89355,16.500,6.05000
73,1.90000,16.500,6.03871
73,1.89677,16.500,6.03710
74,1.89032,16.500,6.03871
74,1.89516,16.500,6.04032
75,1.91129,16.500,6.04032
76,1.90323,16.500,6.04355
76,1.89516,16.500,6.03548
77,1.88065,16.500,6.03548
78,1.89839,16.500,6.03710
78,1.90000,16.500,6.04839
79,1.88710,16.500,6.03710
79,1.91290,16.500,6.03548
80,1.88871,16.500,6.04032
81,1.90000,16.500,6.04032
81,1.89839,16.500,6.04194
82,1.89839,16.500,6.03710
82,1.89355,16.500,6.04194
83,1.89516,16.500,6.02742
84,1.89839,16.500,6.04355
84,1.88387,16.500,6.04677
85,1.89194,16.500,6.03548
85,1.88710,16.500,6.03710
86,1.89677,16.500,6.03710
87,1.90000,16.500,6.03548
87,1.88871,16.500,6.04032
88,1.90323,16.500,6.03871
88,1.88226,16.500,6.04677
89,1.89677,16.500,6.03710
90,1.89194,16.500,6.03548
90,1.88387,16.500,6.04516
91,1.89194,16.500,6.04516
91,1.89194,16.500,6.04355
92,1.90968,16.500,6.04194
93,1.90000,16.500,6.04032
93,1.89839,16.500,6.03710
94,1.89839,16.500,6.04032
