timestamp,tds_v,tempC,ph_v
19,1.11774,17.000,6.03871
19,1.10806,17.000,6.03871
20,1.12097,17.000,6.03871
20,1.12903,17.000,6.03387
21,1.11935,17.000,6.03871
22,1.12419,17.000,6.04516
22,1.11774,17.000,6.04032
23,1.12742,17.000,6.04355
24,1.11613,17.000,6.04194
24,1.11935,17.000,6.04194
25,1.11613,17.000,6.03548
25,1.12097,17.000,6.04839
26,1.12903,17.000,6.04194
27,1.11774,17.000,6.04032
27,1.11935,17.000,6.04516
28,1.12258,17.000,6.04194
28,1.12581,17.000,6.04194
29,1.12258,17.000,6.04355
30,1.12742,17.000,6.04677
30,1.12581,17.000,6.04355
31,1.11290,17.000,6.03387
31,1.13065,17.000,6.04032
32,1.11774,17.000,6.04032
33,1.10968,17.000,6.04194
33,1.11452,17.000,6.04194
34,1.11935,17.000,6.03387
34,1.13871,17.000,6.04032
35,1.11613,17.000,6.03065
36,1.12258,17.000,6.03065
36,1.11935,17.000,6.03871
37,1.12581,17.000,6.03710
37,1.12097,17.000,6.03710
38,1.12258,17.000,6.03871
39,1.11774,17.000,6.03710
39,1.12097,17.000,6.04032
40,1.11774,17.000,6.03710
40,1.11290,17.000,6.03548
41,1.11129,17.000,6.03226
42,1.11774,17.000,6.02581
42,1.12419,17.000,6.03548
43,1.11774,17.000,6.03226
43,1.12742,17.000,6.03871
44,1.12097,17.000,6.03710
45,1.11935,17.000,6.03710
45,1.12581,17.000,6.04194
46,1.11452,17.000,6.03871
46,1.11129,17.000,6.03871
47,1.12742,17.000,6.04355
48,1.12097,17.000,6.04032
48,1.12742,17.000,6.04516
49,1.12097,17.000,6.03226
49,1.11290,17.000,6.04032
50,1.10323,17.000,6.03710
51,1.12258,17.000,6.03871
51,1.11613,17.000,6.03548
52,1.12419,17.000,6.03710
52,1.12419,17.000,6.04032
53,1.15161,17.000,6.04677
54,1.11774,17.000,6.04032
54,1.13065,17.000,6.04677
55,1.13065,17.000,6.04194
56,1.11774,17.000,6.03387
56,1.12742,17.000,6.03871
57,1.11935,17.000,6.03548
57,1.14677,17.000,6.04355
57,1.12097,17.000,6.04194
58,1.11774,17.000,6.03387
58,1.12097,17.000,6.04355
59,1.11935,17.000,6.03871
59,1.11613,17.000,6.03548
60,1.10968,17.000,6.03226
61,1.12258,17.000,6.03710
61,1.10968,17.000,6.03710
62,1.11452,17.000,6.03710
62,1.11935,17.000,6.04032
63,1.12581,17.000,6.03871
64,1.11935,17.000,6.04032
64,1.12742,17.000,6.03871
65,1.11129,17.000,6.03871
65,1.13065,17.000,6.03871
66,1.12258,17.000,6.03710
67,1.12742,17.000,6.03871
67,1.11613,17.000,6.04516
68,1.11774,17.000,6.03226
68,1.12097,17.000,6.04194
69,1.11613,17.000,6.03387
70,1.12903,17.000,6.03710
70,1.12742,17.000,6.04355
71,1.12097,17.000,6.04194
71,1.12419,17.000,6.03710
72,1.13226,17.000,6.04194
73,1.12258,17.000,6.03710
73,1.11452,17.000,6.04516
74,1.11613,17.000,6.03871
74,1.11935,17.000,6.03548
75,1.11935,17.000,6.03548
76,1.11774,17.000,6.03710
76,1.09677,17.000,6.04194
77,1.12581,17.000,6.04194
77,1.12903,17.000,6.03871
78,1.13065,17.000,6.04355
79,1.12097,17.000,6.03387
79,1.12097,17.000,6.04516
80,1.12742,17.000,6.04032
80,1.11129,17.000,6.03871
81,1.11935,17.000,6.04194
82,1.12742,17.000,6.03548
82,1.12903,17.000,6.04194
83,1.12903,17.000,6.04032
83,1.12419,17.000,6.04194
84,1.12581,17.000,6.04355
85,1.10161,17.000,6.04032
85,1.12258,17.000,6.03871
86,1.12258,17.000,6.04032
87,1.11613,17.000,6.04194
87,1.12419,17.000,6.04355
88,1.12742,17.000,6.04355
88,1.12258,17.000,6.04839
89,1.12258,17.000,6.04355
90,1.12419,17.000,6.03548
90,1.12097,17.000,6.04516
91,1.12419,17.000,6.04355
91,1.11613,17.000,6.04032
92,1.11774,17.000,6.02903
93,1.12419,17.000,6.02903
93,1.12581,17.000,6.03710
94,1.11935,17.000,6.03548
