timestamp,tds_v,tempC,ph_v
19,1.93387,16.500,6.03871
19,1.90968,16.500,6.03871
20,1.94032,16.500,6.04032
20,1.93710,16.500,6.04194
21,1.93871,16.500,6.04032
22,1.94032,16.500,6.03871
22,1.94194,16.500,6.03065
23,1.93871,16.500,6.03226
23,1.94355,16.500,6.03387
24,1.94032,16.500,6.04355
25,1.94194,16.500,6.05000
25,1.93548,16.500,6.03710
26,1.93548,16.500,6.03548
27,1.93871,16.500,6.03871
27,1.93871,16.500,6.04839
28,1.94355,16.500,6.03871
28,1.94194,16.500,6.03387
29,1.93710,16.500,6.03387
30,1.92581,16.500,6.03548
30,1.93710,16.500,6.04355
31,1.94355,16.500,6.03548
31,1.94677,16.500,6.04194
32,1.94032,16.500,6.04355
33,1.94194,16.500,6.04194
33,1.92742,16.500,6.04194
34,1.93548,16.500,6.03387
34,1.94677,16.500,6.03387
35,1.94194,16.500,6.03710
36,1.94032,16.500,6.04194
36,1.94839,16.500,6.04839
37,1.93710,16.500,6.04032
37,1.91935,16.500,6.03871
38,1.94355,16.500,6.03871
39,1.93387,16.500,6.03871
39,1.94032,16.500,6.04677
40,1.93710,16.500,6.03871
40,1.93871,16.500,6.04194
41,1.93710,16.500,6.04032
42,1.93226,16.500,6.04677
42,1.92742,16.500,6.04677
43,1.93710,16.500,6.03548
44,1.93226,16.500,6.03548
44,1.94194,16.500,6.03065
45,1.93871,16.500,6.04194
45,1.92903,16.500,6.04355
46,1.93871,16.500,6.03871
47,1.93226,16.500,6.04516
47,1.94194,16.500,6.04032
48,1.92419,16.500,6.03387
48,1.93226,16.500,6.04516
48,1.93871,16.500,6.03710
49,1.93871,16.500,6.03065
49,1.93710,16.500,6.03710
50,1.93065,16.500,6.03710
50,1.93065,16.500,6.04516
51,1.92742,16.500,6.04032
52,1.93871,16.500,6.03871
52,1.94355,16.500,6.03387
53,1.93710,16.500,6.03548
53,1.93387,16.500,6.04355
54,1.94032,16.500,6.04839
55,1.94032,16.500,6.03387
55,1.94355,16.500,6.04032
56,1.93387,16.500,6.03871
57,1.91935,16.500,6.04032
57,1.94355,16.500,6.04032
58,1.93871,16.500,6.03710
58,1.93710,16.500,6.04032
59,1.93065,16.500,6.03710
60,1.93387,16.500,6.03548
60,1.93710,16.500,6.04194
61,1.94355,16.500,6.03226
61,1.93871,16.500,6.03065
62,1.94032,16.500,6.03548
63,1.94194,16.500,6.04194
63,1.94194,16.500,6.03710
64,1.93548,16.500,6.04032
64,1.94355,16.500,6.03226
65,1.94194,16.500,6.03548
66,1.93387,16.500,6.04194
66,1.92742,16.500,6.03710
67,1.94355,16.500,6.03226
68,1.92742,16.500,6.02742
68,1.93710,16.500,6.03871
69,1.94677,16.500,6.03548
69,1.93710,16.500,6.03065
70,1.92258,16.500,6.03548
71,1.93387,16.500,6.03226
71,1.93871,16.500,6.03387
72,1.93226,16.500,6.04516
72,1.93871,16.500,6.03548
73,1.92903,16.500,6.04032
74,1.95484,16.500,6.03871
74,1.93548,16.500,6.03871
75,1.93710,16.500,6.03871
75,1.92097,16.500,6.04032
76,1.93387,16.500,6.04516
77,1.93871,16.500,6.03387
77,1.93548,16.500,6.03548
78,1.96613,16.500,6.04355
78,1.94032,16.500,6.04355
79,1.94194,16.500,6.03548
80,1.94032,16.500,6.03387
80,1.93871,16.500,6.03387
81,1.92903,16.500,6.03710
81,1.94194,16.500,6.04032
82,1.92903,16.500,6.04032
83,1.93710,16.500,6.03871
83,1.94355,16.500,6.03387
84,1.93710,16.500,6.04032
85,1.94032,16.500,6.03548
85,1.93710,16.500,6.03226
86,1.93065,16.500,6.03548
86,1.93548,16.500,6.03871
87,1.94032,16.500,6.03548
88,1.93710,16.500,6.03710
88,1.93548,16.500,6.02903
89,1.93548,16.500,6.04032
89,1.93710,16.500,6.04032
90,1.93226,16.500,6.03871
90,1.93065,16.500,6.04032
90,1.93871,16.500,6.03710
91,1.93871,16.500,6.03871
91,1.93871,16.500,6.04032
92,1.93871,16.500,6.03871
93,1.93548,16.500,6.03226
93,1.94194,16.500,6.04516
94,1.93871,16.500,6.03548
