timestamp,tds_v,tempC,ph_v
20,1.93710,16.500,6.03387
21,1.93871,16.500,6.04032
21,1.93871,16.500,6.03387
22,1.94032,16.500,6.03871
22,1.94516,16.500,6.03548
23,1.93387,16.500,6.03710
24,1.94194,16.500,6.03548
24,1.94194,16.500,6.03548
25,1.94516,16.500,6.03548
25,1.92903,16.500,6.04032
25,1.94194,16.500,6.03871
26,1.93871,16.500,6.03387
26,1.93710,16.500,6.03710
27,1.92742,16.500,6.04355
27,1.92742,16.500,6.04677
28,1.93710,16.500,6.03710
29,1.94194,16.500,6.04355
29,1.93710,16.500,6.04194
30,1.93710,16.500,6.04032
31,1.94677,16.500,6.03710
31,1.94516,16.500,6.03871
32,1.93871,16.500,6.03710
32,1.93226,16.500,6.03710
33,1.93710,16.500,6.03710
34,1.94677,16.500,6.03871
34,1.94194,16.500,6.03226
35,1.93871,16.500,6.03710
35,1.94032,16.500,6.03548
36,1.95484,16.500,6.04194
37,1.93065,16.500,6.04516
37,1.93710,16.500,6.03387
38,1.93548,16.500,6.03871
39,1.93387,16.500,6.03871
39,1.94032,16.500,6.03548
40,1.93226,16.500,6.04677
40,1.93548,16.500,6.03065
41,1.94032,16.500,6.04194
42,1.94194,16.500,6.04194
42,1.94032,16.500,6.03387
43,1.93387,16.500,6.04194
43,1.93065,16.500,6.03710
44,1.94194,16.500,6.03710
45,1.94032,16.500,6.03871
45,1.94032,16.500,6.03871
46,1.94032,16.500,6.03871
46,1.94677,16.500,6.04032
47,1.93548,16.500,6.04516
48,1.94194,16.500,6.03871
48,1.93871,16.500,6.03548
49,1.93871,16.500,6.05000
49,1.93710,16.500,6.04355
50,1.95484,16.500,6.04032
51,1.94355,16.500,6.03226
51,1.94032,16.500,6.03871
52,1.93871,16.500,6.03871
52,1.93387,16.500,6.04032
53,1.94355,16.500,6.04032
54,1.92419,16.500,6.04194
54,1.94194,16.500,6.04194
55,1.94032,16.500,6.03871
55,1.93387,16.500,6.03548
56,1.93387,16.500,6.03548
57,1.94355,16.500,6.03710
57,1.94032,16.500,6.04194
58,1.93226,16.500,6.04355
59,1.93871,16.500,6.04032
59,1.93065,16.500,6.03871
60,1.93871,16.500,6.04194
60,1.94355,16.500,6.04194
61,1.94032,16.500,6.04516
62,1.94032,16.500,6.03871
62,1.94839,16.500,6.04516
63,1.91452,16.500,6.03226
63,1.94032,16.500,6.04032
64,1.94355,16.500,6.04032
65,1.93871,16.500,6.04839
65,1.94032,16.500,6.04194
66,1.93548,16.500,6.03871
66,1.93871,16.500,6.03710
66,1.93387,16.500,6.04516
67,1.93710,16.500,6.03871
67,1.94032,16.500,6.03226
68,1.95161,16.500,6.04355
68,1.94516,16.500,6.04032
69,1.93871,16.500,6.03548
70,1.94355,16.500,6.04032
70,1.94839,16.500,6.04032
71,1.94032,16.500,6.03226
71,1.94032,16.500,6.03871
72,1.93548,16.500,6.03548
73,1.93226,16.500,6.04677
73,1.94032,16.500,6.03710
74,1.93710,16.500,6.04194
74,1.93548,16.500,6.04032
75,1.93871,16.500,6.04194
76,1.93065,16.500,6.04032
76,1.93548,16.500,6.03548
77,1.93871,16.500,6.04516
78,1.94194,16.500,6.04516
78,1.94516,16.500,6.03226
79,1.93387,16.500,6.04032
79,1.93871,16.500,6.02903
80,1.93710,16.500,6.03710
81,1.93710,16.500,6.03871
81,1.94032,16.500,6.04032
82,1.93226,16.500,6.03226
82,1.93065,16.500,6.03710
83,1.90968,16.500,6.04677
84,1.93226,16.500,6.03871
84,1.94194,16.500,6.03226
85,1.93871,16.500,6.03871
85,1.94194,16.500,6.03871
86,1.93548,16.500,6.04516
87,1.93226,16.500,6.03710
87,1.93871,16.500,6.04194
88,1.93871,16.500,6.03710
88,1.93548,16.500,6.04355
89,1.94194,16.500,6.03871
90,1.93710,16.500,6.03548
90,1.93548,16.500,6.03710
91,1.92903,16.500,6.03387
91,1.93710,16.500,6.03710
92,1.92581,16.500,6.04839
93,1.93871,16.500,6.03871
93,1.94194,16.500,6.03387
94,1.91935,16.500,6.04194
