timestamp,tds_v,tempC,ph_v
20,1.92903,16.500,6.03710
21,1.93710,16.500,6.04516
21,1.94032,16.500,6.04355
22,1.93226,16.500,6.03710
22,1.93226,16.500,6.04516
23,1.93710,16.500,6.04032
24,1.94839,16.500,6.03226
24,1.93871,16.500,6.03387
25,1.93710,16.500,6.04355
25,1.93387,16.500,6.03548
26,1.93871,16.500,6.03387
27,1.93710,16.500,6.03226
27,1.92903,16.500,6.03710
28,1.94032,16.500,6.04355
28,1.94032,16.500,6.03065
29,1.93065,16.500,6.03226
30,1.93226,16.500,6.03710
30,1.93548,16.500,6.03226
31,1.94355,16.500,6.03710
31,1.92903,16.500,6.03710
32,1.93548,16.500,6.03871
33,1.93871,16.500,6.03226
33,1.94032,16.500,6.03871
34,1.93065,16.500,6.03387
34,1.94032,16.500,6.04194
35,1.94194,16.500,6.03387
36,1.93548,16.500,6.03226
36,1.93387,16.500,6.03387
37,1.93387,16.500,6.03548
38,1.93226,16.500,6.03710
38,1.93226,16.500,6.03710
38,1.94032,16.500,6.03065
38,1.93065,16.500,6.03226
39,1.93226,16.500,6.03387
40,1.93065,16.500,6.04355
40,1.92903,16.500,6.02903
41,1.92742,16.500,6.03871
41,1.93548,16.500,6.04677
42,1.93871,16.500,6.03710
43,1.93387,16.500,6.04194
43,1.93226,16.500,6.03710
44,1.93710,16.500,6.03871
45,1.94194,16.500,6.03226
45,1.93871,16.500,6.03871
46,1.90000,16.500,6.04194
46,1.92258,16.500,6.03548
47,1.93226,16.500,6.03387
48,1.93387,16.500,6.03710
48,1.94677,16.500,6.04355
49,1.93548,16.500,6.03710
49,1.93871,16.500,6.03548
50,1.93710,16.500,6.03710
51,1.93710,16.500,6.03710
51,1.93387,16.500,6.03548
52,1.92581,16.500,6.04194
52,1.93226,16.500,6.04032
53,1.94194,16.500,6.04355
54,1.93710,16.500,6.03226
54,1.93871,16.500,6.04194
55,1.92903,16.500,6.04032
56,1.93065,16.500,6.04355
56,1.93710,16.500,6.03548
57,1.93548,16.500,6.03387
57,1.93065,16.500,6.03226
58,1.93387,16.500,6.05000
59,1.93387,16.500,6.03710
59,1.93065,16.500,6.04516
60,1.94839,16.500,6.04355
60,1.93871,16.500,6.04032
61,1.92903,16.500,6.04194
62,1.93548,16.500,6.03710
62,1.94194,16.500,6.03548
63,1.94032,16.500,6.03710
63,1.92581,16.500,6.04032
64,1.93065,16.500,6.04032
65,1.93710,16.500,6.03548
65,1.94194,16.500,6.04032
66,1.92903,16.500,6.03387
66,1.93387,16.500,6.03226
67,1.93871,16.500,6.03710
68,1.94194,16.500,6.03710
68,1.93065,16.500,6.03710
69,1.92903,16.500,6.03871
70,1.92903,16.500,6.03226
70,1.93710,16.500,6.03871
71,1.93548,16.500,6.03548
71,1.93226,16.500,6.04032
72,1.94032,16.500,6.03226
73,1.93065,16.500,6.03226
73,1.92903,16.500,6.04194
74,1.93871,16.500,6.04839
74,1.93387,16.500,6.05000
75,1.93871,16.500,6.03548
76,1.93871,16.500,6.03871
76,1.93871,16.500,6.03871
77,1.93548,16.500,6.03065
77,1.93548,16.500,6.03226
78,1.93710,16.500,6.03548
79,1.94677,16.500,6.03387
79,1.93548,16.500,6.04355
80,1.93710,16.500,6.03871
80,1.92742,16.500,6.03871
80,1.93871,16.500,6.03871
81,1.94194,16.500,6.03387
81,1.93871,16.500,6.04032
82,1.92419,16.500,6.04355
82,1.93387,16.500,6.03387
83,1.93226,16.500,6.03710
84,1.93871,16.500,6.03065
84,1.93226,16.500,6.03871
85,1.93387,16.500,6.03710
85,1.93710,16.500,6.03871
86,1.93710,16.500,6.04194
87,1.93226,16.500,6.03871
87,1.92581,16.500,6.04194
88,1.93548,16.500,6.03871
88,1.93387,16.500,6.02903
89,1.93226,16.500,6.03548
90,1.93548,16.500,6.04032
90,1.92742,16.500,6.04516
91,1.93387,16.500,6.03548
92,1.93387,16.500,6.04194
92,1.93710,16.500,6.03871
93,1.93548,16.500,6.03710
93,1.93387,16.500,6.03548
94,1.93710,16.500,6.04194
