timestamp,tds_v,tempC,ph_v
20,1.91290,16.500,6.03548
21,1.90806,16.500,6.03387
21,1.90806,16.500,6.03548
22,1.90323,16.500,6.03710
23,1.91290,16.500,6.04032
23,1.90968,16.500,6.03710
24,1.91290,16.500,6.03548
24,1.90968,16.500,6.04355
25,1.91290,16.500,6.03548
26,1.89839,16.500,6.04194
26,1.90161,16.500,6.03065
27,1.91290,16.500,6.02742
27,1.91129,16.500,6.03387
28,1.91290,16.500,6.03548
29,1.92097,16.500,6.04677
29,1.91129,16.500,6.03548
30,1.90645,16.500,6.03226
31,1.91452,16.500,6.04032
31,1.91290,16.500,6.03226
32,1.91613,16.500,6.03871
32,1.92419,16.500,6.03065
33,1.90645,16.500,6.03226
33,1.90645,16.500,6.03548
33,1.90645,16.500,6.04032
34,1.90645,16.500,6.03226
34,1.90323,16.500,6.03548
35,1.90323,16.500,6.03871
36,1.90968,16.500,6.03710
36,1.90968,16.500,6.03710
37,1.91129,16.500,6.04516
37,1.90645,16.500,6.03548
38,1.90968,16.500,6.03226
39,1.91290,16.500,6.02903
39,1.90645,16.500,6.04032
40,1.91290,16.500,6.04839
40,1.90968,16.500,6.03710
41,1.90484,16.500,6.03387
42,1.90323,16.500,6.04516
42,1.91613,16.500,6.04032
43,1.90484,16.500,6.04032
44,1.92742,16.500,6.03548
44,1.90645,16.500,6.03710
45,1.90645,16.500,6.03871
45,1.91290,16.500,6.03871
46,1.91613,16.500,6.04839
47,1.90806,16.500,6.03710
47,1.90806,16.500,6.04194
48,1.91290,16.500,6.03871
48,1.90161,16.500,6.03710
49,1.92258,16.500,6.04194
50,1.91129,16.500,6.04355
50,1.91290,16.500,6.04032
51,1.90968,16.500,6.04032
51,1.91935,16.500,6.03710
52,1.91613,16.500,6.03871
53,1.90806,16.500,6.03710
53,1.90161,16.500,6.04355
54,1.92742,16.500,6.04355
55,1.90968,16.500,6.03548
55,1.91613,16.500,6.04677
56,1.91290,16.500,6.04194
56,1.91613,16.500,6.04355
57,1.90968,16.500,6.03710
58,1.91129,16.500,6.03871
58,1.90484,16.500,6.04194
59,1.90968,16.500,6.03871
59,1.91452,16.500,6.04839
60,1.91613,16.500,6.03871
61,1.90968,16.500,6.03548
61,1.91613,16.500,6.04194
62,1.91290,16.500,6.03710
62,1.89032,16.500,6.04194
63,1.90806,16.500,6.03871
64,1.90645,16.500,6.04194
64,1.89516,16.500,6.04677
65,1.91774,16.500,6.03710
65,1.91129,16.500,6.03387
66,1.90968,16.500,6.03710
67,1.90968,16.500,6.03871
67,1.91774,16.500,6.03226
68,1.90806,16.500,6.04194
68,1.90968,16.500,6.03548
69,1.91452,16.500,6.03871
70,1.90161,16.500,6.03871
70,1.90968,16.500,6.03548
71,1.90645,16.500,6.03548
71,1.91129,16.500,6.03548
72,1.91290,16.500,6.03226
73,1.90645,16.500,6.03548
73,1.91290,16.500,6.04677
74,1.91613,16.500,6.04032
75,1.91935,16.500,6.04032
75,1.91290,16.500,6.03871
75,1.90806,16.500,6.03871
75,1.92419,16.500,6.04355
76,1.90806,16.500,6.03710
77,1.91129,16.500,6.03710
77,1.91290,16.500,6.03710
78,1.91129,16.500,6.04194
78,1.90645,16.500,6.03871
79,1.91290,16.500,6.03871
80,1.92097,16.500,6.03548
80,1.90000,16.500,6.03871
81,1.90645,16.500,6.04355
81,1.90968,16.500,6.04516
82,1.89839,16.500,6.03548
83,1.90968,16.500,6.04194
83,1.91613,16.500,6.03710
84,1.91452,16.500,6.04032
84,1.91613,16.500,6.04516
85,1.90323,16.500,6.04032
86,1.91290,16.500,6.04194
86,1.91129,16.500,6.03548
87,1.91129,16.500,6.03710
87,1.91129,16.500,6.04839
88,1.91935,16.500,6.03387
89,1.90968,16.500,6.03871
89,1.91452,16.500,6.04355
90,1.91129,16.500,6.04194
90,1.90968,16.500,6.04355
91,1.91129,16.500,6.03710
92,1.89677,16.500,6.03387
92,1.90645,16.500,6.03710
93,1.91613,16.500,6.03871
94,1.90806,16.500,6.04032
