timestamp,tds_v,tempC,ph_v
19,1.90000,16.500,6.03387
19,1.89839,16.500,6.03710
20,1.90323,16.500,6.04032
21,1.89839,16.500,6.03387
21,1.89355,16.500,6.03387
22,1.90000,16.500,6.03548
22,1.89839,16.500,6.03710
23,1.90484,16.500,6.03548
24,1.90161,16.500,6.03387
24,1.90000,16.500,6.03226
25,1.89355,16.500,6.03226
25,1.90000,16.500,6.03226
26,1.90484,16.500,6.03710
27,1.91613,16.500,6.03710
27,1.89839,16.500,6.03710
28,1.90161,16.500,6.03871
28,1.90161,16.500,6.04032
29,1.90806,16.500,6.04194
30,1.90323,16.500,6.03710
30,1.90000,16.500,6.04355
31,1.90323,16.500,6.03548
31,1.90000,16.500,6.03871
32,1.90000,16.500,6.02903
33,1.89516,16.500,6.03548
33,1.90000,16.500,6.04516
34,1.89194,16.500,6.03710
34,1.89677,16.500,6.03710
35,1.90968,16.500,6.03710
36,1.90806,16.500,6.03871
36,1.90161,16.500,6.04355
37,1.90000,16.500,6.03226
38,1.89839,16.500,6.04032
38,1.90323,16.500,6.03548
39,1.89839,16.500,6.03871
39,1.90161,16.500,6.03871
40,1.89839,16.500,6.03226
41,1.89839,16.500,6.03871
41,1.90000,16.500,6.03871
42,1.89516,16.500,6.03710
42,1.90323,16.500,6.03548
43,1.90323,16.500,6.04032
44,1.90161,16.500,6.04032
44,1.90484,16.500,6.03548
45,1.90323,16.500,6.03548
45,1.90000,16.500,6.03710
46,1.90000,16.500,6.03387
47,1.90161,16.500,6.04194
47,1.90000,16.500,6.03710
48,1.90323,16.500,6.03548
48,1.89516,16.500,6.04032
49,1.89194,16.500,6.03065
50,1.90000,16.500,6.03387
50,1.89516,16.500,6.03710
51,1.89516,16.500,6.03548
52,1.89839,16.500,6.04032
52,1.90161,16.500,6.03548
53,1.89516,16.500,6.03065
53,1.90000,16.500,6.03065
54,1.89677,16.500,6.03387
55,1.90000,16.500,6.03871
55,1.90000,16.500,6.03871
56,1.89839,16.500,6.03387
57,1.90000,16.500,6.04032
57,1.90000,16.500,6.03387
58,1.91452,16.500,6.03710
58,1.90484,16.500,6.03387
59,1.87419,16.500,6.03871
60,1.89839,16.500,6.03710
60,1.90000,16.500,6.03710
60,1.88548,16.500,6.04032
60,1.90000,16.500,6.04032
61,1.90161,16.500,6.03710
62,1.89677,16.500,6.03226
62,1.90323,16.500,6.03387
63,1.89355,16.500,6.03710
63,1.90806,16.500,6.03871
64,1.90484,16.500,6.03871
65,1.89839,16.500,6.03387
65,1.90161,16.500,6.03548
66,1.89839,16.500,6.05000
67,1.90484,16.500,6.03548
67,1.89677,16.500,6.03226
68,1.90000,16.500,6.04194
68,1.89516,16.500,6.03871
69,1.90645,16.500,6.04194
70,1.90645,16.500,6.04194
70,1.90645,16.500,6.03710
71,1.90161,16.500,6.03710
71,1.90323,16.500,6.03226
72,1.90000,16.500,6.03871
73,1.90000,16.500,6.03226
73,1.89194,16.500,6.03226
74,1.90161,16.500,6.03871
74,1.90484,16.500,6.03710
75,1.89032,16.500,6.04194
76,1.94194,16.500,6.03387
76,1.90484,16.500,6.03226
77,1.90645,16.500,6.03710
77,1.89677,16.500,6.02581
78,1.90161,16.500,6.04194
79,1.90484,16.500,6.03065
79,1.90645,16.500,6.03871
80,1.89355,16.500,6.03710
80,1.90645,16.500,6.03871
81,1.90161,16.500,6.04194
82,1.90484,16.500,6.03871
82,1.90323,16.500,6.03548
83,1.89516,16.500,6.04194
83,1.89677,16.500,6.04677
84,1.91129,16.500,6.03548
85,1.91774,16.500,6.04677
85,1.90645,16.500,6.03710
86,1.90161,16.500,6.03548
87,1.90161,16.500,6.04032
87,1.90806,16.500,6.04355
88,1.92581,16.500,6.04355
88,1.89677,16.500,6.04516
89,1.90000,16.500,6.04355
90,1.90645,16.500,6.04516
90,1.90161,16.500,6.04355
91,1.89839,16.500,6.04194
91,1.89516,16.500,6.04194
92,1.90323,16.500,6.03548
93,1.90000,16.500,6.03710
93,1.90161,16.500,6.04032
94,1.90323,16.500,6.04194
