timestamp,tds_v,tempC,ph_v
19,1.94677,16.500,6.04677
20,1.94839,16.500,6.04194
21,1.94677,16.500,6.03871
21,1.94516,16.500,6.03710
22,1.95000,16.500,6.04839
22,1.94516,16.500,6.03548
23,1.94355,16.500,6.03548
24,1.93387,16.500,6.03548
24,1.94516,16.500,6.03871
25,1.93548,16.500,6.03710
25,1.94839,16.500,6.03226
26,1.95484,16.500,6.03871
27,1.94355,16.500,6.03065
27,1.95161,16.500,6.04032
28,1.94355,16.500,6.04194
28,1.95323,16.500,6.04516
29,1.94839,16.500,6.03387
30,1.94355,16.500,6.04032
30,1.94839,16.500,6.02581
31,1.94516,16.500,6.04032
31,1.93548,16.500,6.03548
32,1.94355,16.500,6.03871
33,1.94032,16.500,6.03548
33,1.95000,16.500,6.03548
34,1.94194,16.500,6.03710
35,1.94355,16.500,6.03871
35,1.94194,16.500,6.03387
36,1.95968,16.500,6.04032
36,1.94355,16.500,6.03871
37,1.94032,16.500,6.04194
38,1.95161,16.500,6.03710
38,1.94839,16.500,6.02903
39,1.94839,16.500,6.03226
39,1.94839,16.500,6.04032
40,1.94194,16.500,6.03387
41,1.92581,16.500,6.03871
41,1.93548,16.500,6.03226
42,1.94355,16.500,6.03548
42,1.94516,16.500,6.03710
43,1.95161,16.500,6.03226
44,1.94355,16.500,6.03710
44,1.92097,16.500,6.04355
45,1.95000,16.500,6.04032
46,1.94839,16.500,6.03871
46,1.94194,16.500,6.04194
47,1.94355,16.500,6.03548
47,1.94194,16.500,6.04194
48,1.95000,16.500,6.04516
49,1.94355,16.500,6.03548
49,1.94516,16.500,6.04516
50,1.94677,16.500,6.04194
50,1.93710,16.500,6.03226
51,1.94516,16.500,6.03871
51,1.94355,16.500,6.03871
51,1.94839,16.500,6.04194
52,1.95161,16.500,6.04032
52,1.94516,16.500,6.04194
53,1.95000,16.500,6.04194
54,1.94839,16.500,6.03871
54,1.94194,16.500,6.04355
55,1.94355,16.500,6.04355
55,1.95806,16.500,6.04355
56,1.94194,16.500,6.03710
57,1.94355,16.500,6.03871
57,1.95161,16.500,6.03871
58,1.94839,16.500,6.04355
58,1.94516,16.500,6.04194
59,1.95161,16.500,6.04194
60,1.94677,16.500,6.04032
60,1.95000,16.500,6.04839
61,1.95323,16.500,6.04032
61,1.95000,16.500,6.03387
62,1.94677,16.500,6.03548
63,1.94839,16.500,6.04355
63,1.94839,16.500,6.03871
64,1.94677,16.500,6.03871
65,1.94839,16.500,6.02903
65,1.94516,16.500,6.03871
66,1.92581,16.500,6.03710
66,1.94677,16.500,6.03548
67,1.94355,16.500,6.03387
68,1.95806,16.500,6.03871
68,1.94516,16.500,6.03548
69,1.93548,16.500,6.04032
69,1.94516,16.500,6.04355
70,1.94355,16.500,6.04194
71,1.94516,16.500,6.03871
71,1.93387,16.500,6.04355
72,1.94516,16.500,6.03548
72,1.94032,16.500,6.04032
73,1.93871,16.500,6.04194
74,1.94194,16.500,6.04194
74,1.94516,16.500,6.04194
75,1.94677,16.500,6.03548
75,1.95323,16.500,6.04355
76,1.95645,16.500,6.03871
77,1.95484,16.500,6.03871
77,1.94839,16.500,6.03710
78,1.95323,16.500,6.03710
78,1.94677,16.500,6.04194
79,1.94839,16.500,6.03387
80,1.94355,16.500,6.03387
80,1.91774,16.500,6.04032
81,1.94677,16.500,6.03548
82,1.95323,16.500,6.03871
82,1.93710,16.500,6.04355
83,1.95806,16.500,6.03871
83,1.94355,16.500,6.03871
84,1.94516,16.500,6.04355
85,1.94839,16.500,6.03548
85,1.94516,16.500,6.03710
86,1.94839,16.500,6.03387
87,1.94516,16.500,6.04355
87,1.94194,16.500,6.03710
88,1.94355,16.500,6.03871
88,1.94355,16.500,6.03065
89,1.94355,16.500,6.03548
90,1.94839,16.500,6.03226
90,1.94355,16.500,6.04032
91,1.95161,16.500,6.03387
91,1.95161,16.500,6.03871
92,1.93548,16.500,6.03065
92,1.94032,16.500,6.04355
92,1.94839,16.500,6.03226
93,1.94194,16.500,6.04032
93,1.94194,16.500,6.03710
94,1.93710,16.500,6.04032
