timestamp,tds_v,tempC,ph_v
19,1.93387,16.500,6.02903
20,1.93710,16.500,6.03710
20,1.91290,16.500,6.03871
21,1.94194,16.500,6.03548
21,1.94194,16.500,6.03871
22,1.93871,16.500,6.03226
23,1.94194,16.500,6.03548
23,1.94194,16.500,6.04194
24,1.94032,16.500,6.03871
24,1.93226,16.500,6.03871
25,1.93871,16.500,6.03548
26,1.93387,16.500,6.04032
26,1.94516,16.500,6.03387
27,1.93387,16.500,6.03871
28,1.93871,16.500,6.04355
28,1.94032,16.500,6.04194
29,1.93871,16.500,6.03548
29,1.93871,16.500,6.03871
30,1.93710,16.500,6.03871
31,1.93710,16.500,6.03710
31,1.94355,16.500,6.03226
32,1.93226,16.500,6.03710
32,1.94032,16.500,6.03871
33,1.93548,16.500,6.03226
34,1.93226,16.500,6.03548
34,1.93387,16.500,6.03387
35,1.94032,16.500,6.04032
35,1.93710,16.500,6.03871
36,1.93871,16.500,6.03387
37,1.94516,16.500,6.03387
37,1.93226,16.500,6.03548
38,1.93226,16.500,6.03548
38,1.93710,16.500,6.04032
39,1.94032,16.500,6.03710
40,1.93387,16.500,6.03548
40,1.93710,16.500,6.03871
41,1.93387,16.500,6.04516
41,1.93710,16.500,6.04194
42,1.94839,16.500,6.03871
43,1.94032,16.500,6.03710
43,1.93871,16.500,6.03710
43,1.93871,16.500,6.03871
43,1.93871,16.500,6.03710
44,1.93065,16.500,6.03226
45,1.94032,16.500,6.04194
45,1.93710,16.500,6.03871
46,1.93387,16.500,6.04032
47,1.93226,16.500,6.04516
47,1.94194,16.500,6.03871
48,1.93387,16.500,6.04194
48,1.92903,16.500,6.03548
49,1.94516,16.500,6.04194
50,1.93871,16.500,6.04355
50,1.93710,16.500,6.04032
51,1.94032,16.500,6.03871
52,1.93871,16.500,6.04032
52,1.94032,16.500,6.04032
53,1.93871,16.500,6.04355
53,1.93871,16.500,6.03871
54,1.94032,16.500,6.03548
55,1.92742,16.500,6.03548
55,1.92742,16.500,6.03871
56,1.93548,16.500,6.04677
56,1.93871,16.500,6.04032
57,1.93871,16.500,6.04032
58,1.92742,16.500,6.04194
58,1.93710,16.500,6.04355
59,1.93065,16.500,6.04839
59,1.94032,16.500,6.04032
60,1.94677,16.500,6.04194
61,1.93548,16.500,6.04194
61,1.94355,16.500,6.03548
62,1.91774,16.500,6.04839
62,1.93548,16.500,6.03548
63,1.92903,16.500,6.03710
64,1.93710,16.500,6.03548
64,1.94032,16.500,6.03871
65,1.94355,16.500,6.03871
65,1.93710,16.500,6.04516
66,1.94194,16.500,6.03871
67,1.93065,16.500,6.04194
67,1.94032,16.500,6.03710
68,1.94194,16.500,6.04355
69,1.93710,16.500,6.03871
69,1.94355,16.500,6.04355
70,1.93387,16.500,6.03871
70,1.93548,16.500,6.03871
71,1.92742,16.500,6.04677
72,1.93710,16.500,6.03387
72,1.93710,16.500,6.04194
73,1.94355,16.500,6.03710
73,1.93387,16.500,6.04032
74,1.94516,16.500,6.04355
75,1.93387,16.500,6.05161
75,1.94839,16.500,6.03871
76,1.94355,16.500,6.03710
76,1.94194,16.500,6.04032
77,1.95000,16.500,6.04355
78,1.94032,16.500,6.03548
78,1.93065,16.500,6.03387
79,1.93871,16.500,6.04032
79,1.93548,16.500,6.03871
80,1.93387,16.500,6.04032
81,1.94194,16.500,6.04032
81,1.93871,16.500,6.04516
82,1.94355,16.500,6.03871
82,1.93871,16.500,6.04194
83,1.93710,16.500,6.03710
84,1.93548,16.500,6.04032
84,1.92903,16.500,6.05000
84,1.93871,16.500,6.04194
85,1.93548,16.500,6.04677
85,1.94194,16.500,6.05484
86,1.93548,16.500,6.04032
86,1.94355,16.500,6.03710
87,1.93871,16.500,6.03871
88,1.94032,16.500,6.04355
88,1.93387,16.500,6.04194
89,1.95323,16.500,6.04194
89,1.94032,16.500,6.04032
90,1.94194,16.500,6.04194
91,1.94032,16.500,6.04355
91,1.94194,16.500,6.04194
92,1.93871,16.500,6.04677
92,1.93710,16.500,6.04194
93,1.92903,16.500,6.04516
94,1.93548,16.500,6.03548
