timestamp,tds_v,tempC,ph_v
20,1.89677,16.500,6.03710
21,1.90806,16.500,6.03710
21,1.89677,16.500,6.03548
22,1.89839,16.500,6.04032
22,1.89516,16.500,6.04032
23,1.89355,16.500,6.03548
24,1.89032,16.500,6.03871
24,1.89355,16.500,6.04032
25,1.89355,16.500,6.03387
25,1.89355,16.500,6.04032
26,1.89516,16.500,6.04355
27,1.89516,16.500,6.03871
27,1.90000,16.500,6.03710
28,1.90323,16.500,6.03548
29,1.89677,16.500,6.04194
29,1.90323,16.500,6.03871
30,1.89355,16.500,6.04032
30,1.89677,16.500,6.04032
31,1.90000,16.500,6.03226
32,1.90323,16.500,6.04355
32,1.89355,16.500,6.03871
33,1.89839,16.500,6.03710
33,1.89032,16.500,6.03387
34,1.90161,16.500,6.04032
35,1.89839,16.500,6.04516
35,1.90323,16.500,6.03387
36,1.89839,16.500,6.04194
37,1.90323,16.500,6.03226
37,1.89677,16.500,6.03226
38,1.88871,16.500,6.04516
38,1.89516,16.500,6.03387
39,1.90000,16.500,6.03226
40,1.89516,16.500,6.03226
40,1.89839,16.500,6.04032
41,1.89677,16.500,6.04677
41,1.89516,16.500,6.03387
42,1.89516,16.500,6.04032
42,1.89516,16.500,6.04032
42,1.89194,16.500,6.03871
43,1.88226,16.500,6.04355
43,1.89677,16.500,6.03226
44,1.89355,16.500,6.03065
45,1.89839,16.500,6.04032
45,1.89194,16.500,6.03871
46,1.88871,16.500,6.04516
47,1.89677,16.500,6.03226
47,1.90000,16.500,6.03548
48,1.89516,16.500,6.03710
48,1.89355,16.500,6.03710
49,1.90161,16.500,6.04516
50,1.90000,16.500,6.03710
50,1.90323,16.500,6.04516
51,1.91129,16.500,6.04355
51,1.89677,16.500,6.04194
52,1.89194,16.500,6.04677
53,1.90645,16.500,6.03871
53,1.89355,16.500,6.03871
54,1.90000,16.500,6.03548
54,1.89355,16.500,6.03871
55,1.89677,16.500,6.04355
56,1.89677,16.500,6.03871
56,1.89516,16.500,6.03710
57,1.87742,16.500,6.04032
57,1.89677,16.500,6.02903
58,1.89677,16.500,6.04355
59,1.89355,16.500,6.03548
59,1.90323,16.500,6.03226
60,1.89677,16.500,6.03548
61,1.89677,16.500,6.03065
61,1.89677,16.500,6.03710
62,1.90000,16.500,6.04032
62,1.89839,16.500,6.03871
63,1.89677,16.500,6.04194
64,1.90645,16.500,6.03387
64,1.89677,16.500,6.04355
65,1.89194,16.500,6.03871
65,1.90000,16.500,6.03548
66,1.90000,16.500,6.03710
67,1.90000,16.500,6.03387
67,1.88387,16.500,6.03548
68,1.87742,16.500,6.03387
68,1.89516,16.500,6.02903
69,1.88871,16.500,6.03387
70,1.89355,16.500,6.03226
70,1.90645,16.500,6.02742
71,1.89194,16.500,6.03065
71,1.89194,16.500,6.03387
72,1.89677,16.500,6.03710
73,1.89677,16.500,6.03871
73,1.89194,16.500,6.03387
74,1.89355,16.500,6.03065
74,1.90161,16.500,6.04194
75,1.89839,16.500,6.03710
76,1.88871,16.500,6.03871
76,1.89355,16.500,6.04194
77,1.91613,16.500,6.03548
78,1.89677,16.500,6.03548
78,1.89516,16.500,6.03548
79,1.90161,16.500,6.03387
79,1.89677,16.500,6.04677
80,1.90000,16.500,6.03548
81,1.89839,16.500,6.04032
81,1.89839,16.500,6.03548
82,1.89516,16.500,6.03710
82,1.90161,16.500,6.03710
83,1.89516,16.500,6.04194
83,1.89516,16.500,6.03387
83,1.89032,16.500,6.03548
84,1.88710,16.500,6.03710
84,1.91290,16.500,6.04677
85,1.90323,16.500,6.03710
86,1.89677,16.500,6.03548
86,1.89839,16.500,6.03548
87,1.89516,16.500,6.04194
87,1.89355,16.500,6.03710
88,1.90000,16.500,6.03871
89,1.89516,16.500,6.03548
89,1.88548,16.500,6.03548
90,1.90484,16.500,6.03226
91,1.89355,16.500,6.03710
91,1.89839,16.500,6.04032
92,1.89677,16.500,6.03387
92,1.90000,16.500,6.03387
93,1.89677,16.500,6.04032
94,1.89677,16.500,6.04194
