timestamp,tds_v,tempC,ph_v
18,1.94355,16.500,6.03871
19,1.93065,16.500,6.03710
20,1.93226,16.500,6.03548
20,1.92742,16.500,6.03387
21,1.92097,16.500,6.04194
21,1.92903,16.500,6.03548
22,1.93387,16.500,6.03065
23,1.92581,16.500,6.04516
23,1.93065,16.500,6.03548
24,1.93065,16.500,6.04677
24,1.93387,16.500,6.03710
25,1.92581,16.500,6.04194
26,1.93548,16.500,6.03548
26,1.93065,16.500,6.03387
27,1.93065,16.500,6.04839
27,1.93548,16.500,6.04032
28,1.92903,16.500,6.03710
29,1.93065,16.500,6.04194
29,1.92742,16.500,6.04355
30,1.92742,16.500,6.04032
30,1.93226,16.500,6.04194
31,1.92742,16.500,6.04355
32,1.93871,16.500,6.04194
32,1.92581,16.500,6.03548
33,1.93226,16.500,6.03871
33,1.93387,16.500,6.04194
34,1.93226,16.500,6.04032
35,1.93871,16.500,6.03871
35,1.92419,16.500,6.04516
36,1.94032,16.500,6.03710
37,1.92903,16.500,6.03871
37,1.93548,16.500,6.03548
38,1.92419,16.500,6.03548
38,1.93065,16.500,6.04032
39,1.91774,16.500,6.04516
40,1.93387,16.500,6.03710
40,1.93387,16.500,6.03226
41,1.94194,16.500,6.03548
41,1.92903,16.500,6.03387
42,1.93226,16.500,6.04194
43,1.92903,16.500,6.03710
43,1.93065,16.500,6.03226
44,1.92419,16.500,6.04032
44,1.93387,16.500,6.04194
45,1.93065,16.500,6.03710
46,1.93387,16.500,6.04032
46,1.94516,16.500,6.03065
47,1.93065,16.500,6.03871
47,1.92419,16.500,6.03871
48,1.92258,16.500,6.04032
48,1.93548,16.500,6.03871
48,1.93387,16.500,6.04032
49,1.92903,16.500,6.03871
49,1.93065,16.500,6.04032
50,1.93710,16.500,6.03065
51,1.92419,16.500,6.03710
51,1.93065,16.500,6.03710
52,1.93226,16.500,6.03710
53,1.93065,16.500,6.03871
53,1.97742,16.500,6.03871
54,1.93548,16.500,6.04032
54,1.92581,16.500,6.03871
55,1.91290,16.500,6.04194
56,1.93065,16.500,6.03871
56,1.93548,16.500,6.03710
57,1.92903,16.500,6.03871
57,1.92742,16.500,6.03548
58,1.93065,16.500,6.04032
59,1.93387,16.500,6.04194
59,1.93871,16.500,6.03710
60,1.93871,16.500,6.04032
60,1.93226,16.500,6.03871
61,1.91129,16.500,6.04839
62,1.93871,16.500,6.04355
62,1.93710,16.500,6.04516
63,1.93065,16.500,6.04032
63,1.93065,16.500,6.03710
64,1.92097,16.500,6.04677
65,1.93387,16.500,6.03871
65,1.93710,16.500,6.04032
66,1.93387,16.500,6.03871
66,1.93387,16.500,6.03710
67,1.93387,16.500,6.04032
68,1.93226,16.500,6.04032
68,1.94677,16.500,6.03871
69,1.93226,16.500,6.03710
69,1.92903,16.500,6.03226
70,1.92419,16.500,6.04194
71,1.95000,16.500,6.03871
71,1.92903,16.500,6.04516
72,1.93387,16.500,6.04677
73,1.93226,16.500,6.04032
73,1.93226,16.500,6.03710
74,1.93065,16.500,6.03548
74,1.93226,16.500,6.03871
75,1.93387,16.500,6.04032
76,1.93226,16.500,6.03387
76,1.92903,16.500,6.03387
77,1.93387,16.500,6.03387
77,1.92742,16.500,6.03871
78,1.92581,16.500,6.03387
79,1.93871,16.500,6.03871
79,1.92903,16.500,6.04677
80,1.92419,16.500,6.03387
80,1.90645,16.500,6.05161
81,1.92419,16.500,6.04032
82,1.93065,16.500,6.03710
82,1.93710,16.500,6.04839
83,1.92903,16.500,6.04032
84,1.93065,16.500,6.03710
84,1.92419,16.500,6.03387
85,1.93548,16.500,6.04032
85,1.93065,16.500,6.04677
86,1.93065,16.500,6.03710
87,1.93226,16.500,6.04194
87,1.92742,16.500,6.03710
88,1.93387,16.500,6.03871
88,1.93226,16.500,6.05323
89,1.92903,16.500,6.04516
89,1.93065,16.500,6.04032
89,1.93226,16.500,6.03226
90,1.93065,16.500,6.04677
90,1.93710,16.500,6.04194
91,1.93871,16.500,6.04677
92,1.92903,16.500,6.04355
92,1.93548,16.500,6.03871
93,1.92903,16.500,6.04355
93,1.93387,16.500,6.03548
94,1.93065,16.500,6.03548
