timestamp,tds_v,tempC,ph_v
18,1.12419,17.000,6.03387
19,1.11129,17.000,6.03548
20,1.11935,17.000,6.04032
20,1.12903,17.000,6.03871
21,1.13065,17.000,6.04194
21,1.11613,17.000,6.04355
22,1.12258,17.000,6.03548
23,1.11290,17.000,6.04355
23,1.11452,17.000,6.03710
24,1.12258,17.000,6.03387
24,1.11452,17.000,6.03710
25,1.11774,17.000,6.03548
26,1.12581,17.000,6.03387
26,1.12258,17.000,6.03387
27,1.12419,17.000,6.04355
27,1.12097,17.000,6.03548
28,1.11452,17.000,6.04032
29,1.12419,17.000,6.03710
29,1.12097,17.000,6.03710
30,1.11935,17.000,6.03871
30,1.12419,17.000,6.03548
31,1.11613,17.000,6.02903
32,1.11452,17.000,6.04516
32,1.12581,17.000,6.04032
33,1.11935,17.000,6.04355
33,1.11613,17.000,6.03710
34,1.12419,17.000,6.03871
35,1.12581,17.000,6.04355
35,1.12097,17.000,6.03387
36,1.12097,17.000,6.03710
36,1.11452,17.000,6.03387
37,1.11452,17.000,6.03548
38,1.12419,17.000,6.03226
38,1.12581,17.000,6.03065
39,1.13548,17.000,6.03871
39,1.12097,17.000,6.03387
40,1.12097,17.000,6.03710
41,1.12097,17.000,6.03548
41,1.12581,17.000,6.03387
42,1.11774,17.000,6.03710
42,1.12097,17.000,6.03548
43,1.12258,17.000,6.03710
44,1.11290,17.000,6.03548
44,1.11613,17.000,6.03226
45,1.12258,17.000,6.03548
46,1.11935,17.000,6.03226
46,1.12258,17.000,6.03387
47,1.13226,17.000,6.04194
47,1.11935,17.000,6.04032
48,1.11774,17.000,6.04516
49,1.11452,17.000,6.03065
49,1.12742,17.000,6.03710
49,1.12419,17.000,6.03871
49,1.12742,17.000,6.03226
50,1.11613,17.000,6.03387
51,1.12581,17.000,6.03226
51,1.12258,17.000,6.03710
52,1.12097,17.000,6.03871
52,1.12742,17.000,6.04677
53,1.12258,17.000,6.03710
54,1.12419,17.000,6.03226
54,1.11935,17.000,6.03710
55,1.15000,17.000,6.03548
55,1.11774,17.000,6.03871
56,1.12581,17.000,6.03710
57,1.11452,17.000,6.03226
57,1.12097,17.000,6.04355
58,1.12097,17.000,6.03387
58,1.12258,17.000,6.03710
59,1.12742,17.000,6.03871
60,1.10806,17.000,6.03065
60,1.11290,17.000,6.03548
61,1.11935,17.000,6.03226
61,1.12097,17.000,6.03548
62,1.12097,17.000,6.04516
63,1.12419,17.000,6.04032
63,1.11613,17.000,6.04032
64,1.12097,17.000,6.04032
64,1.11290,17.000,6.03871
65,1.12742,17.000,6.03548
66,1.12258,17.000,6.03710
66,1.12258,17.000,6.03710
67,1.11935,17.000,6.03387
67,1.11935,17.000,6.03871
68,1.13065,17.000,6.04032
69,1.12258,17.000,6.04032
69,1.11935,17.000,6.03871
70,1.12903,17.000,6.03710
70,1.12419,17.000,6.03226
71,1.15161,17.000,6.03548
72,1.12581,17.000,6.03387
72,1.12903,17.000,6.03710
73,1.12903,17.000,6.03871
74,1.12097,17.000,6.03226
74,1.11935,17.000,6.03387
75,1.11613,17.000,6.03548
75,1.12097,17.000,6.03710
76,1.11613,17.000,6.02903
77,1.11935,17.000,6.03226
77,1.12258,17.000,6.03226
78,1.11452,17.000,6.02903
78,1.11613,17.000,6.02742
79,1.12258,17.000,6.03387
80,1.13065,17.000,6.03548
80,1.12742,17.000,6.03065
81,1.11935,17.000,6.03548
81,1.12903,17.000,6.03226
82,1.10323,17.000,6.03387
83,1.12258,17.000,6.03710
83,1.11290,17.000,6.03065
84,1.13871,17.000,6.04355
84,1.12742,17.000,6.03387
85,1.10806,17.000,6.04194
86,1.12419,17.000,6.03710
86,1.11774,17.000,6.03710
87,1.11774,17.000,6.03548
87,1.11613,17.000,6.03226
88,1.11774,17.000,6.03548
89,1.12742,17.000,6.03871
89,1.12581,17.000,6.02742
90,1.11613,17.000,6.03065
90,1.12742,17.000,6.03871
91,1.13065,17.000,6.03871
91,1.12419,17.000,6.04032
91,1.10323,17.000,6.04516
92,1.11935,17.000,6.03548
92,1.12742,17.000,6.03065
93,1.11935,17.000,6.03710
94,1.11452,17.000,6.03226
