timestamp,tds_v,tempC,ph_v
18,1.90323,16.500,6.04032
19,1.90000,16.500,6.03548
20,1.90161,16.500,6.04677
20,1.89677,16.500,6.03710
21,1.88548,16.500,6.03871
21,1.90968,16.500,6.03871
22,1.91452,16.500,6.03710
23,1.90323,16.500,6.04032
23,1.90645,16.500,6.04516
24,1.90323,16.500,6.03871
24,1.89839,16.500,6.03871
25,1.90161,16.500,6.04194
26,1.90323,16.500,6.03226
26,1.90161,16.500,6.03387
27,1.90000,16.500,6.04516
27,1.90484,16.500,6.03387
28,1.91935,16.500,6.04677
29,1.90323,16.500,6.04032
29,1.90484,16.500,6.03548
30,1.90161,16.500,6.04032
30,1.90000,16.500,6.04032
31,1.90323,16.500,6.04032
32,1.89677,16.500,6.03710
32,1.90161,16.500,6.03548
33,1.90161,16.500,6.03710
33,1.90161,16.500,6.03871
34,1.90484,16.500,6.04032
35,1.90323,16.500,6.04032
35,1.90323,16.500,6.04194
36,1.90484,16.500,6.04194
37,1.90000,16.500,6.03871
37,1.90000,16.500,6.04032
38,1.90484,16.500,6.04194
38,1.90484,16.500,6.03710
39,1.90806,16.500,6.04516
40,1.90000,16.500,6.04516
40,1.90161,16.500,6.03871
41,1.89839,16.500,6.04194
41,1.89677,16.500,6.04194
42,1.90000,16.500,6.03871
42,1.90161,16.500,6.04355
42,1.90000,16.500,6.03387
43,1.90000,16.500,6.04032
43,1.89194,16.500,6.04355
44,1.90000,16.500,6.05000
45,1.90161,16.500,6.04677
45,1.90968,16.500,6.03871
46,1.89355,16.500,6.04516
46,1.90161,16.500,6.03387
47,1.90323,16.500,6.04032
48,1.90323,16.500,6.04032
48,1.90484,16.500,6.03387
49,1.89839,16.500,6.03387
49,1.90323,16.500,6.03871
50,1.90484,16.500,6.04516
51,1.89677,16.500,6.03065
51,1.90645,16.500,6.04032
52,1.90323,16.500,6.03065
53,1.90645,16.500,6.04032
53,1.89839,16.500,6.04032
54,1.90161,16.500,6.04032
54,1.91129,16.500,6.04194
55,1.90484,16.500,6.03871
56,1.90323,16.500,6.04677
56,1.90484,16.500,6.04516
57,1.90484,16.500,6.03548
57,1.90645,16.500,6.03387
58,1.90645,16.500,6.04032
59,1.90323,16.500,6.03548
59,1.88226,16.500,6.04032
60,1.90161,16.500,6.03871
60,1.88548,16.500,6.04194
61,1.89032,16.500,6.03710
62,1.86129,16.500,6.03387
62,1.90161,16.500,6.04032
63,1.90000,16.500,6.04194
63,1.90484,16.500,6.03548
64,1.90161,16.500,6.04355
65,1.90161,16.500,6.04194
65,1.90161,16.500,6.04516
66,1.90645,16.500,6.04516
66,1.90968,16.500,6.04516
67,1.90484,16.500,6.03710
68,1.90000,16.500,6.03226
68,1.89032,16.500,6.04355
69,1.89516,16.500,6.04194
70,1.89677,16.500,6.03548
70,1.90000,16.500,6.03710
71,1.90323,16.500,6.03387
71,1.89677,16.500,6.04355
72,1.88871,16.500,6.03710
73,1.90484,16.500,6.03226
73,1.90323,16.500,6.04032
74,1.90161,16.500,6.04194
74,1.89516,16.500,6.04355
75,1.90484,16.500,6.03710
76,1.90645,16.500,6.03548
76,1.90323,16.500,6.04032
77,1.92258,16.500,6.04194
77,1.89516,16.500,6.03548
78,1.90323,16.500,6.03548
79,1.90000,16.500,6.04355
79,1.89839,16.500,6.04194
80,1.89839,16.500,6.04032
81,1.89516,16.500,6.04194
81,1.90484,16.500,6.03387
82,1.90161,16.500,6.03387
82,1.90323,16.500,6.03387
83,1.89516,16.500,6.03548
84,1.89839,16.500,6.04839
84,1.90161,16.500,6.04032
84,1.90484,16.500,6.03710
85,1.89839,16.500,6.03226
85,1.90484,16.500,6.03871
86,1.90323,16.500,6.03710
86,1.89516,16.500,6.03387
87,1.89839,16.500,6.03710
88,1.90000,16.500,6.03548
88,1.90484,16.500,6.04194
89,1.88710,16.500,6.04032
89,1.90000,16.500,6.03548
90,1.90645,16.500,6.04032
91,1.90323,16.500,6.03548
91,1.89839,16.500,6.03387
92,1.89839,16.500,6.04839
92,1.90806,16.500,6.03710
93,1.90323,16.500,6.03871
94,1.90323,16.500,6.03065
