timestamp,tds_v,tempC,ph_v
20,1.11935,17.000,6.04032
20,1.11452,17.000,6.03710
21,1.12097,17.000,6.04032
22,1.11129,17.000,6.03387
22,1.12258,17.000,6.04032
23,1.12097,17.000,6.03548
23,1.11613,17.000,6.03871
24,1.12581,17.000,6.03387
25,1.12258,17.000,6.03548
25,1.11129,17.000,6.03871
26,1.12742,17.000,6.03226
26,1.12258,17.000,6.03548
27,1.12419,17.000,6.03548
28,1.11613,17.000,6.03548
28,1.12097,17.000,6.04194
29,1.11774,17.000,6.04032
29,1.11129,17.000,6.03387
30,1.11935,17.000,6.03387
31,1.11935,17.000,6.03710
31,1.12097,17.000,6.04194
32,1.13226,17.000,6.03710
33,1.11935,17.000,6.04032
33,1.12581,17.000,6.03710
34,1.12258,17.000,6.03871
34,1.12258,17.000,6.04516
35,1.10484,17.000,6.04194
36,1.12097,17.000,6.04355
36,1.11774,17.000,6.03226
37,1.11290,17.000,6.03548
37,1.13226,17.000,6.03871
38,1.12581,17.000,6.03710
39,1.11774,17.000,6.03548
39,1.11452,17.000,6.04355
40,1.11613,17.000,6.03548
40,1.11774,17.000,6.03871
41,1.13226,17.000,6.04032
41,1.15161,17.000,6.04032
41,1.11290,17.000,6.04194
42,1.11613,17.000,6.03871
42,1.12258,17.000,6.04032
43,1.11613,17.000,6.03548
44,1.12581,17.000,6.03871
44,1.11774,17.000,6.03548
45,1.12419,17.000,6.03548
45,1.11774,17.000,6.03548
46,1.11290,17.000,6.04194
47,1.11774,17.000,6.03548
47,1.11290,17.000,6.03387
48,1.12419,17.000,6.03387
48,1.11935,17.000,6.04194
49,1.08226,17.000,6.03871
50,1.12903,17.000,6.04194
50,1.13387,17.000,6.03871
51,1.12419,17.000,6.04032
51,1.12581,17.000,6.04839
52,1.12581,17.000,6.03871
53,1.11452,17.000,6.04355
53,1.12742,17.000,6.04194
54,1.11613,17.000,6.04516
54,1.12258,17.000,6.04194
55,1.12581,17.000,6.04194
56,1.11452,17.000,6.03387
56,1.11774,17.000,6.04839
57,1.12258,17.000,6.03548
57,1.11613,17.000,6.04032
58,1.11452,17.000,6.04194
59,1.12097,17.000,6.04032
59,1.12419,17.000,6.04194
60,1.12258,17.000,6.04032
61,1.12581,17.000,6.03387
61,1.11290,17.000,6.04194
62,1.12419,17.000,6.04677
62,1.11935,17.000,6.04194
63,1.12258,17.000,6.04516
64,1.11935,17.000,6.04677
64,1.12258,17.000,6.04194
65,1.11935,17.000,6.03065
65,1.12419,17.000,6.04194
66,1.12097,17.000,6.04032
67,1.12419,17.000,6.03710
67,1.12903,17.000,6.04194
68,1.12097,17.000,6.04032
68,1.12581,17.000,6.04194
69,1.11613,17.000,6.03871
70,1.11935,17.000,6.03871
70,1.11774,17.000,6.04516
71,1.11935,17.000,6.04032
71,1.12258,17.000,6.04677
72,1.11935,17.000,6.04516
73,1.12419,17.000,6.04194
73,1.12097,17.000,6.04032
74,1.12258,17.000,6.04355
74,1.13226,17.000,6.04355
75,1.13065,17.000,6.05645
76,1.12097,17.000,6.04355
76,1.11774,17.000,6.04677
77,1.11290,17.000,6.03710
78,1.12258,17.000,6.04355
78,1.11935,17.000,6.03871
79,1.12419,17.000,6.04032
79,1.12581,17.000,6.04194
80,1.12581,17.000,6.03710
81,1.12097,17.000,6.04516
81,1.11613,17.000,6.03710
82,1.14677,17.000,6.04516
82,1.11613,17.000,6.04194
83,1.12097,17.000,6.03871
83,1.11774,17.000,6.04355
83,1.13226,17.000,6.04355
84,1.11774,17.000,6.03871
84,1.12097,17.000,6.04355
85,1.11774,17.000,6.03871
86,1.11935,17.000,6.04839
86,1.11613,17.000,6.04355
87,1.11935,17.000,6.04194
87,1.11774,17.000,6.03871
88,1.11774,17.000,6.04677
89,1.12258,17.000,6.03871
89,1.13065,17.000,6.04677
90,1.12258,17.000,6.05000
91,1.11774,17.000,6.04677
91,1.12097,17.000,6.04194
92,1.11452,17.000,6.04194
92,1.12419,17.000,6.03710
93,1.11129,17.000,6.03387
94,1.12581,17.000,6.04839
