timestamp,tds_v,tempC,ph_v
19,1.88710,16.500,6.04032
20,1.88387,16.500,6.04355
20,1.88065,16.500,6.03710
21,1.89355,16.500,6.03548
21,1.88387,16.500,6.04194
22,1.87903,16.500,6.03387
23,1.88065,16.500,6.03387
23,1.88065,16.500,6.03548
24,1.88548,16.500,6.03548
24,1.87903,16.500,6.04032
25,1.88710,16.500,6.04032
26,1.89355,16.500,6.03548
26,1.88226,16.500,6.04032
27,1.89355,16.500,6.04032
27,1.87742,16.500,6.04516
28,1.88710,16.500,6.03387
29,1.88387,16.500,6.03226
29,1.88226,16.500,6.04355
30,1.88548,16.500,6.03226
30,1.88710,16.500,6.03710
31,1.88387,16.500,6.04032
32,1.88871,16.500,6.03710
32,1.89194,16.500,6.03871
33,1.89194,16.500,6.03871
34,1.88548,16.500,6.04355
34,1.89032,16.500,6.02742
35,1.89032,16.500,6.03387
35,1.89355,16.500,6.03710
36,1.87903,16.500,6.03710
37,1.88548,16.500,6.04032
37,1.88226,16.500,6.04032
38,1.88871,16.500,6.02903
38,1.88548,16.500,6.03548
39,1.89677,16.500,6.04194
40,1.88548,16.500,6.04194
40,1.88710,16.500,6.04194
41,1.88710,16.500,6.03387
42,1.87581,16.500,6.03710
42,1.88871,16.500,6.04194
43,1.91290,16.500,6.04839
43,1.88871,16.500,6.03548
44,1.89032,16.500,6.03871
45,1.88871,16.500,6.03710
45,1.89032,16.500,6.03710
46,1.88387,16.500,6.03548
46,1.91613,16.500,6.03548
47,1.88226,16.500,6.03871
48,1.87581,16.500,6.03871
48,1.89032,16.500,6.03710
49,1.88548,16.500,6.04516
49,1.88548,16.500,6.04032
50,1.88548,16.500,6.03871
50,1.88387,16.500,6.03387
50,1.89677,16.500,6.04516
51,1.88548,16.500,6.03871
51,1.88226,16.500,6.04194
52,1.89032,16.500,6.03387
53,1.88710,16.500,6.03387
53,1.85968,16.500,6.03710
54,1.88387,16.500,6.04677
54,1.89194,16.500,6.04516
55,1.89355,16.500,6.03710
56,1.88710,16.500,6.04355
56,1.88710,16.500,6.04516
57,1.88548,16.500,6.04194
58,1.88710,16.500,6.03871
58,1.88710,16.500,6.03710
59,1.88871,16.500,6.03710
59,1.88710,16.500,6.03871
60,1.88065,16.500,6.04194
61,1.89355,16.500,6.03710
61,1.89032,16.500,6.04355
62,1.89032,16.500,6.03387
62,1.88710,16.500,6.04032
63,1.88548,16.500,6.04839
64,1.88871,16.500,6.04355
64,1.89032,16.500,6.03710
65,1.89355,16.500,6.03548
65,1.87742,16.500,6.04032
66,1.89839,16.500,6.03871
67,1.89194,16.500,6.04032
67,1.88387,16.500,6.03548
68,1.89355,16.500,6.03871
68,1.88548,16.500,6.03710
69,1.88548,16.500,6.04677
70,1.88871,16.500,6.04032
70,1.89032,16.500,6.04032
71,1.89032,16.500,6.03710
71,1.89355,16.500,6.03387
72,1.89032,16.500,6.04516
73,1.89194,16.500,6.04194
73,1.89194,16.500,6.04194
74,1.89032,16.500,6.04516
75,1.88548,16.500,6.04516
75,1.88710,16.500,6.04194
76,1.88387,16.500,6.03710
76,1.88065,16.500,6.02742
77,1.88548,16.500,6.03710
78,1.87097,16.500,6.03548
78,1.89355,16.500,6.03710
79,1.88548,16.500,6.03548
79,1.87903,16.500,6.04355
80,1.89194,16.500,6.03871
81,1.88548,16.500,6.04032
81,1.88226,16.500,6.04032
82,1.88710,16.500,6.02903
82,1.88226,16.500,6.04032
83,1.88710,16.500,6.03871
84,1.88548,16.500,6.04032
84,1.88065,16.500,6.03548
85,1.88710,16.500,6.03548
85,1.88871,16.500,6.03871
86,1.88871,16.500,6.03871
87,1.89355,16.500,6.03871
87,1.88226,16.500,6.04516
88,1.88548,16.500,6.03710
88,1.88710,16.500,6.04194
89,1.85323,16.500,6.04677
90,1.88871,16.500,6.03387
90,1.88548,16.500,6.03548
91,1.88226,16.500,6.03710
91,1.88710,16.500,6.03226
92,1.87742,16.500,6.04355
92,1.88710,16.500,6.03710
92,1.88548,16.500,6.04032
93,1.88226,16.500,6.04032
94,1.89516,16.500,6.03387
