timestamp,tds_v,tempC,ph_v
20,1.12258,17.000,6.03387
21,1.11613,17.000,6.04032
21,1.10968,17.000,6.03065
22,1.12258,17.000,6.03548
22,1.12419,17.000,6.03710
23,1.11935,17.000,6.03226
24,1.11935,17.000,6.03710
24,1.11774,17.000,6.03548
25,1.11452,17.000,6.03871
25,1.10968,17.000,6.04355
26,1.12097,17.000,6.03710
27,1.11452,17.000,6.03387
27,1.11452,17.000,6.03871
28,1.10645,17.000,6.04032
28,1.12258,17.000,6.04032
29,1.11613,17.000,6.03710
30,1.11452,17.000,6.04032
30,1.11935,17.000,6.04032
30,1.12581,17.000,6.03548
30,1.12742,17.000,6.03871
31,1.11129,17.000,6.04032
32,1.11774,17.000,6.03710
32,1.11935,17.000,6.03387
33,1.11452,17.000,6.03710
33,1.11613,17.000,6.03871
34,1.11613,17.000,6.03710
35,1.11613,17.000,6.04032
35,1.11129,17.000,6.03548
36,1.12419,17.000,6.02903
36,1.12097,17.000,6.03871
37,1.11452,17.000,6.03387
38,1.12903,17.000,6.03710
38,1.11774,17.000,6.04194
39,1.11129,17.000,6.03548
39,1.12097,17.000,6.04032
40,1.11613,17.000,6.04032
41,1.12419,17.000,6.04355
41,1.12581,17.000,6.04516
42,1.14194,17.000,6.03548
42,1.11935,17.000,6.03710
43,1.11935,17.000,6.03387
44,1.12581,17.000,6.04194
44,1.12097,17.000,6.03710
45,1.12419,17.000,6.04032
46,1.11935,17.000,6.03548
46,1.11935,17.000,6.03226
47,1.11452,17.000,6.04032
47,1.11935,17.000,6.03710
48,1.11613,17.000,6.03387
49,1.12581,17.000,6.03065
49,1.11935,17.000,6.04355
50,1.11935,17.000,6.04355
50,1.11774,17.000,6.03871
51,1.11935,17.000,6.03226
52,1.12419,17.000,6.02419
52,1.12097,17.000,6.03871
53,1.12097,17.000,6.04032
53,1.11129,17.000,6.04194
54,1.12419,17.000,6.04032
55,1.11290,17.000,6.03387
55,1.11613,17.000,6.03548
56,1.11935,17.000,6.04032
56,1.12419,17.000,6.04355
57,1.11613,17.000,6.03387
58,1.11613,17.000,6.03548
58,1.12419,17.000,6.03871
59,1.11613,17.000,6.02903
59,1.13065,17.000,6.05000
60,1.12258,17.000,6.03387
61,1.10968,17.000,6.04516
61,1.11452,17.000,6.03387
62,1.12258,17.000,6.03871
62,1.10645,17.000,6.04839
63,1.11452,17.000,6.03548
64,1.11774,17.000,6.04032
64,1.11452,17.000,6.03710
65,1.11935,17.000,6.03871
65,1.11774,17.000,6.04032
66,1.12097,17.000,6.04194
67,1.11452,17.000,6.03710
67,1.11290,17.000,6.03226
68,1.12097,17.000,6.04194
68,1.12097,17.000,6.05161
69,1.11935,17.000,6.04194
70,1.11774,17.000,6.03387
70,1.12419,17.000,6.04194
71,1.11935,17.000,6.04355
72,1.11290,17.000,6.03387
72,1.12097,17.000,6.04194
72,1.12903,17.000,6.03710
72,1.11290,17.000,6.03871
73,1.11774,17.000,6.03710
74,1.13065,17.000,6.04516
74,1.12258,17.000,6.03387
75,1.09355,17.000,6.03710
75,1.11452,17.000,6.03065
76,1.11774,17.000,6.04032
77,1.11935,17.000,6.03871
77,1.11774,17.000,6.03548
78,1.11613,17.000,6.03710
78,1.12097,17.000,6.03226
79,1.11613,17.000,6.03065
80,1.11774,17.000,6.04032
80,1.11129,17.000,6.04032
81,1.12742,17.000,6.03871
81,1.12742,17.000,6.03710
82,1.12742,17.000,6.03387
83,1.11613,17.000,6.03871
83,1.11935,17.000,6.03226
84,1.12258,17.000,6.03387
85,1.12903,17.000,6.03710
85,1.13065,17.000,6.03387
86,1.11452,17.000,6.03871
86,1.11774,17.000,6.03548
87,1.11613,17.000,6.04032
88,1.11452,17.000,6.03065
88,1.11613,17.000,6.03871
89,1.11452,17.000,6.03871
89,1.11774,17.000,6.03548
90,1.11613,17.000,6.04516
91,1.11452,17.000,6.05000
91,1.11452,17.000,6.03548
92,1.11129,17.000,6.03871
92,1.11774,17.000,6.03548
93,1.11290,17.000,6.03548
94,1.11935,17.000,6.03871
