timestamp,tds_v,tempC,ph_v
20,1.90161,16.500,6.04032
20,1.89677,16.500,6.03710
21,1.90484,16.500,6.03387
22,1.89677,16.500,6.03387
22,1.89355,16.500,6.04194
23,1.90484,16.500,6.03548
24,1.90645,16.500,6.04194
24,1.90000,16.500,6.04355
25,1.90000,16.500,6.04032
25,1.90484,16.500,6.03710
26,1.91290,16.500,6.03710
27,1.90323,16.500,6.04194
27,1.89677,16.500,6.04032
28,1.90645,16.500,6.03226
28,1.89839,16.500,6.03871
29,1.90161,16.500,6.03387
30,1.90806,16.500,6.03065
30,1.90645,16.500,6.03871
31,1.90323,16.500,6.03548
31,1.90645,16.500,6.04032
31,1.90000,16.500,6.03548
32,1.90484,16.500,6.03710
32,1.90323,16.500,6.03710
33,1.88710,16.500,6.03871
33,1.89355,16.500,6.04355
34,1.91129,16.500,6.03710
35,1.90806,16.500,6.04032
35,1.90161,16.500,6.03548
36,1.90806,16.500,6.03548
37,1.90323,16.500,6.04677
37,1.90645,16.500,6.03710
38,1.90484,16.500,6.03871
38,1.90645,16.500,6.03871
39,1.90484,16.500,6.03710
40,1.90806,16.500,6.04355
40,1.90484,16.500,6.04194
41,1.90323,16.500,6.03710
41,1.91613,16.500,6.04032
42,1.90645,16.500,6.03710
43,1.90161,16.500,6.04032
43,1.90968,16.500,6.03710
44,1.90000,16.500,6.04355
44,1.89839,16.500,6.03710
45,1.90806,16.500,6.04032
46,1.89677,16.500,6.05000
46,1.90484,16.500,6.03548
47,1.89839,16.500,6.04194
48,1.90323,16.500,6.03710
48,1.89677,16.500,6.04032
49,1.90323,16.500,6.03548
49,1.90000,16.500,6.04032
50,1.92097,16.500,6.04355
51,1.91129,16.500,6.04355
51,1.90968,16.500,6.03871
52,1.88710,16.500,6.02903
52,1.87581,16.500,6.02903
53,1.90806,16.500,6.04194
54,1.90323,16.500,6.03387
54,1.92419,16.500,6.03387
55,1.90484,16.500,6.03871
55,1.90484,16.500,6.03871
56,1.90806,16.500,6.04032
56,1.90968,16.500,6.04032
57,1.89677,16.500,6.03871
58,1.90323,16.500,6.03871
58,1.87903,16.500,6.03871
59,1.90645,16.500,6.04032
60,1.91290,16.500,6.03226
60,1.90323,16.500,6.03226
61,1.90645,16.500,6.03871
61,1.91129,16.500,6.03871
62,1.90000,16.500,6.04677
63,1.91129,16.500,6.04355
63,1.90645,16.500,6.03710
64,1.90161,16.500,6.04032
64,1.90645,16.500,6.03710
65,1.90806,16.500,6.03548
66,1.90323,16.500,6.04516
66,1.91452,16.500,6.04032
67,1.90323,16.500,6.03226
68,1.90161,16.500,6.03226
68,1.90000,16.500,6.03871
69,1.89677,16.500,6.03226
69,1.90484,16.500,6.04194
70,1.90484,16.500,6.03871
71,1.90161,16.500,6.04032
71,1.91129,16.500,6.04516
72,1.89194,16.500,6.04355
72,1.94839,16.500,6.03871
73,1.90806,16.500,6.03387
73,1.90968,16.500,6.04032
73,1.90484,16.500,6.04032
74,1.90484,16.500,6.04194
74,1.90484,16.500,6.03226
75,1.90323,16.500,6.03226
76,1.89516,16.500,6.03710
76,1.90806,16.500,6.04032
77,1.90000,16.500,6.04516
77,1.90806,16.500,6.03548
78,1.90161,16.500,6.03871
79,1.90484,16.500,6.04677
79,1.91774,16.500,6.03710
80,1.90484,16.500,6.04839
81,1.90645,16.500,6.03871
81,1.91129,16.500,6.03226
82,1.90323,16.500,6.02581
82,1.90000,16.500,6.03548
83,1.90968,16.500,6.04032
84,1.90968,16.500,6.03548
84,1.90645,16.500,6.04032
85,1.90484,16.500,6.04194
85,1.90806,16.500,6.04516
86,1.89677,16.500,6.04516
87,1.89032,16.500,6.04355
87,1.90806,16.500,6.04032
88,1.90484,16.500,6.03871
88,1.88871,16.500,6.04516
89,1.91290,16.500,6.04516
90,1.90645,16.500,6.04355
90,1.90645,16.500,6.04194
91,1.90323,16.500,6.04032
91,1.90323,16.500,6.03710
92,1.90806,16.500,6.04032
93,1.90323,16.500,6.04032
93,1.92419,16.500,6.03871
94,1.90161,16.500,6.03871
