timestamp,tds_v,tempC,ph_v
19,1.95806,16.500,6.03548
20,1.93871,16.500,6.03387
20,1.94516,16.500,6.02903
21,1.94194,16.500,6.03548
21,1.94194,16.500,6.03710
22,1.93871,16.500,6.03871
23,1.93871,16.500,6.02742
23,1.93710,16.500,6.03710
24,1.94194,16.500,6.02903
24,1.94032,16.500,6.04032
25,1.93871,16.500,6.03387
26,1.92742,16.500,6.03065
26,1.92742,16.500,6.03387
27,1.95161,16.500,6.03387
28,1.93710,16.500,6.03710
28,1.94355,16.500,6.03065
29,1.93548,16.500,6.02742
29,1.94032,16.500,6.03548
30,1.93548,16.500,6.03548
31,1.93710,16.500,6.03871
31,1.94355,16.500,6.03387
32,1.93065,16.500,6.04194
32,1.94194,16.500,6.03710
33,1.94194,16.500,6.03387
34,1.92903,16.500,6.04194
34,1.94194,16.500,6.02903
35,1.94839,16.500,6.04355
36,1.94194,16.500,6.03548
36,1.94032,16.500,6.04032
37,1.93871,16.500,6.03871
37,1.94032,16.500,6.03387
38,1.94032,16.500,6.03548
39,1.94032,16.500,6.03710
39,1.94032,16.500,6.02742
40,1.93226,16.500,6.03226
40,1.94032,16.500,6.03548
41,1.91452,16.500,6.04355
42,1.94355,16.500,6.03548
42,1.94677,16.500,6.04516
43,1.94032,16.500,6.03226
43,1.94032,16.500,6.03710
44,1.94194,16.500,6.03065
45,1.94355,16.500,6.02742
45,1.94677,16.500,6.03871
46,1.94355,16.500,6.03226
46,1.94032,16.500,6.03387
47,1.93548,16.500,6.03065
48,1.94677,16.500,6.03871
48,1.93871,16.500,6.03387
49,1.93387,16.500,6.03871
49,1.93710,16.500,6.04032
50,1.93710,16.500,6.02903
51,1.93871,16.500,6.03226
51,1.93387,16.500,6.03710
52,1.94355,16.500,6.03387
53,1.93387,16.500,6.03387
53,1.94839,16.500,6.03871
54,1.94516,16.500,6.03710
54,1.93871,16.500,6.03387
54,1.93710,16.500,6.04032
55,1.95645,16.500,6.03871
55,1.94194,16.500,6.03387
56,1.94516,16.500,6.03387
56,1.94516,16.500,6.03226
57,1.94839,16.500,6.03548
58,1.94516,16.500,6.02903
58,1.94032,16.500,6.02581
59,1.94516,16.500,6.03710
59,1.94839,16.500,6.03226
60,1.94516,16.500,6.03226
61,1.94355,16.500,6.03548
61,1.94194,16.500,6.04032
62,1.94194,16.500,6.03871
62,1.94194,16.500,6.04355
63,1.92742,16.500,6.03226
64,1.94677,16.500,6.04032
64,1.93710,16.500,6.04355
65,1.94194,16.500,6.04355
65,1.93710,16.500,6.04194
66,1.93065,16.500,6.03871
67,1.94194,16.500,6.03387
67,1.94355,16.500,6.03871
68,1.94355,16.500,6.04194
68,1.93710,16.500,6.03387
69,1.94355,16.500,6.04032
70,1.94516,16.500,6.04032
70,1.94355,16.500,6.04032
71,1.93065,16.500,6.04194
72,1.94355,16.500,6.03548
72,1.94032,16.500,6.03871
73,1.95645,16.500,6.03548
73,1.94516,16.500,6.03710
74,1.94032,16.500,6.04516
75,1.94355,16.500,6.03387
75,1.94516,16.500,6.03871
76,1.94032,16.500,6.03871
76,1.95000,16.500,6.03710
77,1.94194,16.500,6.04839
78,1.94032,16.500,6.04032
78,1.94194,16.500,6.03710
79,1.94516,16.500,6.03065
79,1.94032,16.500,6.04032
80,1.94677,16.500,6.05000
81,1.94032,16.500,6.03548
81,1.93871,16.500,6.03226
82,1.94194,16.500,6.03710
82,1.94355,16.500,6.03871
83,1.94355,16.500,6.04839
84,1.94677,16.500,6.04032
84,1.94677,16.500,6.03871
85,1.94032,16.500,6.03065
86,1.94032,16.500,6.03710
86,1.91290,16.500,6.05000
87,1.92903,16.500,6.03871
87,1.94516,16.500,6.03871
88,1.93871,16.500,6.04032
89,1.95161,16.500,6.03710
89,1.93710,16.500,6.04355
90,1.94032,16.500,6.04032
90,1.94032,16.500,6.03871
91,1.94516,16.500,6.03871
92,1.96452,16.500,6.04355
92,1.94677,16.500,6.04677
93,1.92419,16.500,6.03871
93,1.93871,16.500,6.04032
94,1.94032,16.500,6.04194
