timestamp,tds_v,tempC,ph_v
19,1.11774,17.000,6.03387
20,1.11613,17.000,6.03387
20,1.11452,17.000,6.04032
21,1.12581,17.000,6.03387
21,1.12419,17.000,6.04516
22,1.12581,17.000,6.03871
23,1.10000,17.000,6.03871
23,1.11774,17.000,6.03548
24,1.11774,17.000,6.03065
24,1.13710,17.000,6.04839
25,1.13226,17.000,6.04032
26,1.12581,17.000,6.03710
26,1.12742,17.000,6.03387
27,1.12097,17.000,6.03065
27,1.12097,17.000,6.03871
28,1.12097,17.000,6.03710
29,1.12097,17.000,6.03387
29,1.12742,17.000,6.03710
30,1.12742,17.000,6.03710
30,1.11129,17.000,6.03710
31,1.12581,17.000,6.03871
32,1.11613,17.000,6.03548
32,1.11613,17.000,6.04194
33,1.11290,17.000,6.04032
33,1.12581,17.000,6.03871
34,1.12097,17.000,6.03387
35,1.11452,17.000,6.03871
35,1.11774,17.000,6.04032
36,1.12419,17.000,6.03387
37,1.11774,17.000,6.04355
37,1.12097,17.000,6.04194
38,1.11935,17.000,6.04032
38,1.11935,17.000,6.04355
39,1.10484,17.000,6.03548
40,1.12419,17.000,6.04194
40,1.11935,17.000,6.03548
41,1.11452,17.000,6.03710
41,1.12097,17.000,6.04032
42,1.11774,17.000,6.03710
43,1.11935,17.000,6.04516
43,1.11452,17.000,6.03548
44,1.12258,17.000,6.03387
44,1.12419,17.000,6.03710
44,1.12258,17.000,6.03710
45,1.11774,17.000,6.03387
45,1.11935,17.000,6.04516
46,1.11774,17.000,6.03710
47,1.11774,17.000,6.04032
47,1.11290,17.000,6.03548
48,1.11935,17.000,6.03548
48,1.10645,17.000,6.03548
49,1.11774,17.000,6.03871
50,1.12742,17.000,6.03871
50,1.13226,17.000,6.03548
51,1.12097,17.000,6.03226
51,1.11129,17.000,6.03548
52,1.12097,17.000,6.04032
53,1.11774,17.000,6.04194
53,1.11935,17.000,6.04194
54,1.11935,17.000,6.03548
54,1.10161,17.000,6.03871
55,1.12903,17.000,6.03226
56,1.11935,17.000,6.04355
56,1.13226,17.000,6.03871
57,1.11774,17.000,6.03710
57,1.12258,17.000,6.03548
58,1.11290,17.000,6.03065
59,1.12258,17.000,6.03065
59,1.12097,17.000,6.03710
60,1.11935,17.000,6.03548
60,1.13065,17.000,6.03871
61,1.11613,17.000,6.03710
62,1.12419,17.000,6.03387
62,1.12419,17.000,6.04194
63,1.11935,17.000,6.04032
63,1.12419,17.000,6.03710
64,1.12419,17.000,6.04355
65,1.12903,17.000,6.03548
65,1.12097,17.000,6.03710
66,1.12419,17.000,6.03548
66,1.12258,17.000,6.03387
67,1.11935,17.000,6.03548
68,1.12419,17.000,6.03548
68,1.11935,17.000,6.03871
69,1.11613,17.000,6.03548
70,1.11290,17.000,6.03226
70,1.12097,17.000,6.03226
71,1.12258,17.000,6.03387
71,1.12742,17.000,6.03710
72,1.11935,17.000,6.03387
73,1.11774,17.000,6.03871
73,1.11452,17.000,6.03065
74,1.11613,17.000,6.04194
74,1.11452,17.000,6.03226
75,1.12419,17.000,6.03710
76,1.12419,17.000,6.03226
76,1.12419,17.000,6.03065
77,1.12097,17.000,6.04355
77,1.15484,17.000,6.03710
78,1.14839,17.000,6.04194
79,1.12097,17.000,6.03226
79,1.11774,17.000,6.04355
80,1.12742,17.000,6.04516
80,1.11613,17.000,6.03871
81,1.12419,17.000,6.03548
82,1.12097,17.000,6.03871
82,1.14355,17.000,6.03387
83,1.12419,17.000,6.04355
83,1.12742,17.000,6.04194
84,1.12258,17.000,6.04516
85,1.11290,17.000,6.04677
85,1.11935,17.000,6.04032
86,1.10968,17.000,6.03548
86,1.11935,17.000,6.03871
86,1.12903,17.000,6.03710
87,1.11452,17.000,6.03065
87,1.10323,17.000,6.04194
88,1.12581,17.000,6.04194
88,1.10645,17.000,6.03387
89,1.12419,17.000,6.03871
90,1.11774,17.000,6.03548
90,1.12097,17.000,6.03710
91,1.11452,17.000,6.04032
91,1.11935,17.000,6.03548
92,1.11613,17.000,6.03548
93,1.12097,17.000,6.04194
93,1.12258,17.000,6.03548
94,1.11935,17.000,6.04032
