timestamp,tds_v,tempC,ph_v
18,1.91452,16.500,6.03871
19,1.91613,16.500,6.04355
19,1.92258,16.500,6.03871
20,1.90806,16.500,6.03710
21,1.92097,16.500,6.04194
21,1.92097,16.500,6.03710
22,1.91935,16.500,6.04032
23,1.91935,16.500,6.03871
23,1.89516,16.500,6.03710
24,1.91129,16.500,6.04032
24,1.90000,16.500,6.03387
25,1.92258,16.500,6.04032
26,1.91935,16.500,6.03710
26,1.91613,16.500,6.04516
27,1.92742,16.500,6.04839
27,1.90645,16.500,6.03548
28,1.92097,16.500,6.03548
29,1.91613,16.500,6.04194
29,1.91774,16.500,6.04516
30,1.91129,16.500,6.04032
30,1.92097,16.500,6.03226
31,1.92419,16.500,6.03710
32,1.92258,16.500,6.04355
32,1.92419,16.500,6.04194
33,1.90323,16.500,6.04032
33,1.91129,16.500,6.04355
34,1.91290,16.500,6.03710
35,1.91613,16.500,6.03387
35,1.91935,16.500,6.03710
36,1.92097,16.500,6.03871
36,1.91613,16.500,6.03871
37,1.91935,16.500,6.04355
38,1.92419,16.500,6.03548
38,1.93387,16.500,6.03710
39,1.91452,16.500,6.03871
40,1.92097,16.500,6.03710
40,1.92419,16.500,6.03387
41,1.91452,16.500,6.03387
41,1.92742,16.500,6.04516
42,1.92258,16.500,6.04516
43,1.92419,16.500,6.03548
43,1.92097,16.500,6.03710
44,1.90968,16.500,6.04032
44,1.92258,16.500,6.03226
45,1.91452,16.500,6.04355
46,1.92742,16.500,6.03710
46,1.91613,16.500,6.03710
47,1.92258,16.500,6.04194
47,1.92258,16.500,6.03548
48,1.92097,16.500,6.04516
49,1.91935,16.500,6.03871
49,1.92581,16.500,6.03871
50,1.92258,16.500,6.04194
50,1.91290,16.500,6.03226
51,1.91129,16.500,6.04194
52,1.92742,16.500,6.04355
52,1.91774,16.500,6.03710
53,1.92097,16.500,6.03226
53,1.90161,16.500,6.04355
54,1.91935,16.500,6.02903
54,1.91452,16.500,6.04355
54,1.91613,16.500,6.03387
55,1.92097,16.500,6.03548
56,1.91613,16.500,6.03871
56,1.91290,16.500,6.04516
57,1.91452,16.500,6.03710
57,1.91613,16.500,6.03226
58,1.92419,16.500,6.02742
59,1.91774,16.500,6.03548
59,1.92097,16.500,6.03710
60,1.91774,16.500,6.04355
60,1.91774,16.500,6.04355
61,1.90968,16.500,6.04032
62,1.91613,16.500,6.03548
62,1.90806,16.500,6.04516
63,1.91290,16.500,6.03226
63,1.91129,16.500,6.04355
64,1.91935,16.500,6.03065
65,1.91935,16.500,6.04032
65,1.91290,16.500,6.04677
66,1.91452,16.500,6.03387
67,1.91452,16.500,6.03226
67,1.92097,16.500,6.03065
68,1.91613,16.500,6.03710
68,1.92097,16.500,6.04032
69,1.93871,16.500,6.03710
70,1.91935,16.500,6.03871
70,1.92097,16.500,6.04032
71,1.92258,16.500,6.03871
72,1.92742,16.500,6.03548
72,1.91290,16.500,6.03710
73,1.95323,16.500,6.03710
73,1.92097,16.500,6.03871
74,1.91613,16.500,6.03387
75,1.91935,16.500,6.03548
75,1.91613,16.500,6.03548
76,1.92419,16.500,6.04032
77,1.92419,16.500,6.04032
77,1.91774,16.500,6.03548
78,1.91774,16.500,6.03226
78,1.92419,16.500,6.03387
79,1.90000,16.500,6.03548
80,1.94032,16.500,6.04194
80,1.87419,16.500,6.04032
81,1.92097,16.500,6.03710
81,1.91935,16.500,6.03710
82,1.92742,16.500,6.03548
83,1.91290,16.500,6.03548
83,1.91613,16.500,6.03710
84,1.90806,16.500,6.03226
84,1.92258,16.500,6.04032
85,1.91290,16.500,6.03387
86,1.93710,16.500,6.04032
86,1.92258,16.500,6.03226
87,1.91935,16.500,6.03548
87,1.91935,16.500,6.03387
88,1.92097,16.500,6.04355
89,1.92419,16.500,6.04032
89,1.92097,16.500,6.03710
90,1.92258,16.500,6.03710
91,1.92258,16.500,6.03387
91,1.91452,16.500,6.03548
92,1.92258,16.500,6.04839
92,1.92097,16.500,6.03871
93,1.91452,16.500,6.03387
94,1.92097,16.500,6.03871
