timestamp,tds_v,tempC,ph_v
20,1.10968,17.000,6.03065
21,1.12903,17.000,6.03226
21,1.11774,17.000,6.03548
22,1.11774,17.000,6.03065
22,1.12419,17.000,6.03548
23,1.11290,17.000,6.03871
24,1.11935,17.000,6.03548
24,1.11613,17.000,6.03710
25,1.11935,17.000,6.03387
25,1.11774,17.000,6.04355
26,1.12419,17.000,6.03710
27,1.11290,17.000,6.03710
27,1.11129,17.000,6.03387
28,1.11613,17.000,6.03065
28,1.11935,17.000,6.03710
29,1.11452,17.000,6.03710
30,1.11935,17.000,6.04355
30,1.11452,17.000,6.03871
31,1.12419,17.000,6.03065
31,1.12419,17.000,6.03871
32,1.11452,17.000,6.03387
33,1.10806,17.000,6.04032
33,1.11129,17.000,6.04355
34,1.11290,17.000,6.03387
35,1.12258,17.000,6.05323
35,1.13065,17.000,6.03871
36,1.14839,17.000,6.04194
36,1.11935,17.000,6.03871
37,1.12258,17.000,6.04839
38,1.11452,17.000,6.04032
38,1.11290,17.000,6.03710
39,1.10645,17.000,6.04032
39,1.10968,17.000,6.03710
39,1.12258,17.000,6.04516
40,1.10968,17.000,6.04194
40,1.11935,17.000,6.03871
41,1.12419,17.000,6.04194
41,1.12419,17.000,6.04355
42,1.11129,17.000,6.03871
43,1.11935,17.000,6.04839
43,1.12258,17.000,6.03548
44,1.12258,17.000,6.04032
45,1.11613,17.000,6.04032
45,1.11935,17.000,6.03710
46,1.12581,17.000,6.04355
46,1.11774,17.000,6.04677
47,1.12258,17.000,6.03548
48,1.11129,17.000,6.04355
48,1.11129,17.000,6.03710
49,1.12097,17.000,6.03871
49,1.12097,17.000,6.04194
50,1.12258,17.000,6.04516
51,1.11452,17.000,6.04194
51,1.11290,17.000,6.03710
52,1.12419,17.000,6.04194
52,1.11935,17.000,6.04194
53,1.11613,17.000,6.04032
54,1.11452,17.000,6.04032
54,1.12581,17.000,6.04032
55,1.12258,17.000,6.04516
55,1.11935,17.000,6.03710
56,1.12097,17.000,6.04194
57,1.11613,17.000,6.04032
57,1.11613,17.000,6.03710
58,1.12419,17.000,6.04355
58,1.11290,17.000,6.04194
59,1.11452,17.000,6.03226
60,1.11452,17.000,6.03710
60,1.12097,17.000,6.03710
61,1.11774,17.000,6.05000
61,1.11613,17.000,6.04355
62,1.12258,17.000,6.04194
63,1.11290,17.000,6.04032
63,1.11613,17.000,6.04032
64,1.11613,17.000,6.04194
64,1.11129,17.000,6.03710
65,1.11613,17.000,6.04032
66,1.12097,17.000,6.04677
66,1.11774,17.000,6.04194
67,1.11774,17.000,6.04032
67,1.10968,17.000,6.04032
68,1.12742,17.000,6.03871
69,1.11774,17.000,6.04032
69,1.11774,17.000,6.04194
70,1.11774,17.000,6.03710
70,1.12258,17.000,6.03065
71,1.12258,17.000,6.03387
72,1.11774,17.000,6.03871
72,1.11452,17.000,6.03387
73,1.11935,17.000,6.03871
74,1.11613,17.000,6.04516
74,1.11935,17.000,6.03548
75,1.11774,17.000,6.04355
75,1.11613,17.000,6.03710
76,1.10968,17.000,6.04194
77,1.11452,17.000,6.04194
77,1.12097,17.000,6.04194
78,1.11774,17.000,6.04355
78,1.12097,17.000,6.04839
79,1.11613,17.000,6.03548
80,1.12097,17.000,6.03871
80,1.11290,17.000,6.03710
80,1.11613,17.000,6.04194
80,1.11935,17.000,6.03548
81,1.12419,17.000,6.04194
82,1.10968,17.000,6.03548
82,1.11290,17.000,6.03226
83,1.11452,17.000,6.04516
83,1.12419,17.000,6.04355
84,1.12097,17.000,6.04032
85,1.11774,17.000,6.03871
85,1.11774,17.000,6.03710
86,1.11613,17.000,6.04839
86,1.11613,17.000,6.03548
87,1.11290,17.000,6.04355
88,1.11613,17.000,6.04516
88,1.11613,17.000,6.03871
89,1.11935,17.000,6.03548
89,1.11613,17.000,6.04355
90,1.11613,17.000,6.03871
91,1.11613,17.000,6.03871
91,1.11774,17.000,6.03226
92,1.10645,17.000,6.04516
92,1.11935,17.000,6.04677
93,1.11935,17.000,6.04194
94,1.11935,17.000,6.04516
