timestamp,tds_v,tempC,ph_v
20,1.11290,25.000,6.03871
20,1.11452,25.000,6.03226
21,1.11129,25.000,6.03710
22,1.11452,25.000,6.04194
22,1.12419,25.000,6.03710
23,1.12258,25.000,6.03871
23,1.11290,25.000,6.03710
24,1.11452,25.000,6.03387
25,1.11129,25.000,6.03710
25,1.11613,25.000,6.05000
26,1.11129,25.000,6.04355
26,1.11290,25.000,6.03387
27,1.11452,25.000,6.03710
28,1.12258,25.000,6.03226
28,1.12097,25.000,6.04194
29,1.10806,25.000,6.03710
29,1.11452,25.000,6.04032
30,1.11613,25.000,6.03065
31,1.11452,25.000,6.04032
31,1.11290,25.000,6.04516
32,1.11290,25.000,6.04839
32,1.12419,25.000,6.04032
33,1.11290,25.000,6.03548
33,1.12419,25.000,6.03871
34,1.10968,25.000,6.03871
35,1.11290,25.000,6.04032
35,1.11452,25.000,6.04194
36,1.11452,25.000,6.03710
36,1.10806,25.000,6.04032
37,1.11935,25.000,6.04032
38,1.11452,25.000,6.04516
38,1.11290,25.000,6.03387
39,1.11290,25.000,6.04194
39,1.11129,25.000,6.03548
40,1.11129,25.000,6.04032
41,1.10323,25.000,6.03548
41,1.11129,25.000,6.04194
41,1.11290,25.000,6.04194
41,1.11935,25.000,6.03710
42,1.12419,25.000,6.04355
43,1.11129,25.000,6.03710
43,1.11129,25.000,6.03710
44,1.10968,25.000,6.03387
44,1.11452,25.000,6.03548
45,1.11935,25.000,6.04194
46,1.11774,25.000,6.03871
46,1.11452,25.000,6.03548
47,1.10645,25.000,6.04032
47,1.10968,25.000,6.04355
48,1.10484,25.000,6.03387
49,1.10968,25.000,6.03548
49,1.11290,25.000,6.04194
50,1.11935,25.000,6.03871
50,1.11774,25.000,6.04194
51,1.11290,25.000,6.04194
52,1.11774,25.000,6.04194
52,1.10968,25.000,6.04194
53,1.10968,25.000,6.04032
53,1.10968,25.000,6.03871
54,1.11452,25.000,6.04355
55,1.11290,25.000,6.03387
55,1.11774,25.000,6.03548
56,1.12258,25.000,6.03871
56,1.11935,25.000,6.03387
57,1.13226,25.000,6.04677
58,1.10645,25.000,6.03710
58,1.11290,25.000,6.03548
59,1.11290,25.000,6.03548
59,1.11290,25.000,6.04032
60,1.11129,25.000,6.03871
61,1.11613,25.000,6.04355
61,1.10645,25.000,6.03065
62,1.11613,25.000,6.03548
62,1.10806,25.000,6.03871
63,1.11129,25.000,6.04032
64,1.10484,25.000,6.03548
64,1.10161,25.000,6.03871
65,1.11452,25.000,6.03710
65,1.12419,25.000,6.03871
66,1.13065,25.000,6.04839
66,1.11290,25.000,6.03548
67,1.11774,25.000,6.03710
68,1.14355,25.000,6.03548
68,1.14839,25.000,6.04032
69,1.10968,25.000,6.04516
69,1.12419,25.000,6.04032
70,1.11774,25.000,6.04516
71,1.10968,25.000,6.04032
71,1.11613,25.000,6.04032
72,1.10161,25.000,6.04194
72,1.10968,25.000,6.04032
73,1.10968,25.000,6.03548
74,1.11129,25.000,6.04032
74,1.11452,25.000,6.03387
75,1.11290,25.000,6.03871
75,1.12258,25.000,6.03710
76,1.11129,25.000,6.04194
77,1.11935,25.000,6.04032
77,1.11613,25.000,6.04194
78,1.10968,25.000,6.04355
78,1.11774,25.000,6.04194
79,1.11129,25.000,6.02742
80,1.11452,25.000,6.03710
80,1.11613,25.000,6.03871
81,1.11290,25.000,6.03548
81,1.11613,25.000,6.03871
82,1.11452,25.000,6.04516
83,1.12419,25.000,6.03548
83,1.12258,25.000,6.03387
83,1.12581,25.000,6.03871
83,1.11774,25.000,6.04032
84,1.12097,25.000,6.03710
85,1.12419,25.000,6.03871
85,1.10968,25.000,6.03065
86,1.11935,25.000,6.03710
86,1.10968,25.000,6.03871
87,1.11613,25.000,6.03710
88,1.11452,25.000,6.03710
88,1.11129,25.000,6.04194
89,1.10968,25.000,6.04355
89,1.11613,25.000,6.03548
90,1.11613,25.000,6.04194
91,1.10806,25.000,6.03710
91,1.11774,25.000,6.03387
92,1.11935,25.000,6.04839
92,1.11452,25.000,6.03226
93,1.11452,25.000,6.03710
94,1.11613,25.000,6.04355
