timestamp,tds_v,tempC,ph_v
20,1.12258,17.000,6.04032
21,1.13226,17.000,6.02581
21,1.12903,17.000,6.03871
22,1.12742,17.000,6.03871
22,1.12581,17.000,6.03548
23,1.12581,17.000,6.04194
24,1.12419,17.000,6.03710
24,1.12581,17.000,6.05161
25,1.11290,17.000,6.03871
25,1.12419,17.000,6.04516
26,1.13226,17.000,6.03226
27,1.11935,17.000,6.03710
27,1.12903,17.000,6.03548
28,1.11613,17.000,6.03226
28,1.12097,17.000,6.04355
29,1.12097,17.000,6.04516
30,1.11774,17.000,6.03548
30,1.11774,17.000,6.04516
31,1.12258,17.000,6.03387
31,1.13710,17.000,6.04677
32,1.11452,17.000,6.04032
33,1.12419,17.000,6.04032
33,1.11774,17.000,6.04355
34,1.11290,17.000,6.03548
34,1.11452,17.000,6.04516
35,1.12097,17.000,6.03387
36,1.12097,17.000,6.04194
36,1.11935,17.000,6.04516
36,1.11935,17.000,6.04032
36,1.11935,17.000,6.04516
37,1.11290,17.000,6.03871
38,1.11774,17.000,6.03710
38,1.12742,17.000,6.04677
39,1.11935,17.000,6.04032
39,1.11613,17.000,6.04194
40,1.12258,17.000,6.04194
41,1.12258,17.000,6.03871
41,1.12097,17.000,6.04516
42,1.11613,17.000,6.04516
43,1.11290,17.000,6.04355
43,1.12419,17.000,6.04032
44,1.12097,17.000,6.03871
44,1.11935,17.000,6.04677
45,1.11452,17.000,6.03065
46,1.12258,17.000,6.03871
46,1.11935,17.000,6.03387
47,1.11290,17.000,6.03226
47,1.11290,17.000,6.03710
48,1.12742,17.000,6.04355
49,1.12742,17.000,6.04032
49,1.12258,17.000,6.03871
50,1.12419,17.000,6.03871
51,1.11774,17.000,6.04516
51,1.12581,17.000,6.04032
52,1.12581,17.000,6.03548
52,1.12097,17.000,6.03387
53,1.12097,17.000,6.04516
53,1.12258,17.000,6.04677
54,1.12742,17.000,6.04194
55,1.11935,17.000,6.03387
55,1.11935,17.000,6.03387
56,1.12419,17.000,6.03871
56,1.12097,17.000,6.04516
57,1.11452,17.000,6.04516
58,1.11452,17.000,6.04194
58,1.15645,17.000,6.04032
59,1.11935,17.000,6.04194
59,1.12419,17.000,6.04516
60,1.10806,17.000,6.04516
61,1.12097,17.000,6.03710
61,1.11935,17.000,6.03548
62,1.11129,17.000,6.03871
62,1.11935,17.000,6.04355
63,1.11613,17.000,6.04032
64,1.12903,17.000,6.03548
64,1.12097,17.000,6.03548
65,1.11613,17.000,6.04194
66,1.12258,17.000,6.04839
66,1.11613,17.000,6.04355
67,1.11613,17.000,6.04032
67,1.11774,17.000,6.03548
68,1.13710,17.000,6.04839
69,1.11452,17.000,6.04355
69,1.12903,17.000,6.04032
70,1.11129,17.000,6.04516
70,1.11935,17.000,6.04194
71,1.12581,17.000,6.03871
72,1.12258,17.000,6.04839
72,1.12419,17.000,6.04032
73,1.11935,17.000,6.04032
74,1.12097,17.000,6.04032
74,1.11613,17.000,6.03710
75,1.11613,17.000,6.04032
75,1.12258,17.000,6.04032
76,1.12742,17.000,6.04516
77,1.11613,17.000,6.04032
77,1.12419,17.000,6.04032
78,1.12419,17.000,6.03871
78,1.12419,17.000,6.03871
78,1.12258,17.000,6.04677
79,1.12903,17.000,6.04194
79,1.11935,17.000,6.04032
80,1.12581,17.000,6.04677
80,1.12097,17.000,6.04355
81,1.11774,17.000,6.04194
82,1.12097,17.000,6.03548
82,1.11290,17.000,6.03871
83,1.12419,17.000,6.04355
83,1.12742,17.000,6.04355
84,1.12903,17.000,6.03548
85,1.11613,17.000,6.04032
85,1.11935,17.000,6.03871
86,1.11935,17.000,6.04194
86,1.11774,17.000,6.03710
87,1.12581,17.000,6.04516
88,1.12097,17.000,6.03387
88,1.12419,17.000,6.03387
89,1.11935,17.000,6.04355
89,1.12258,17.000,6.04677
90,1.11613,17.000,6.04032
91,1.13226,17.000,6.03710
91,1.12903,17.000,6.03548
92,1.11935,17.000,6.04355
92,1.11935,17.000,6.04355
93,1.11129,17.000,6.04032
94,1.11774,17.000,6.04194
