timestamp,tds_v,tempC,ph_v
19,1.11774,17.000,6.04032
19,1.11935,17.000,6.03710
20,1.13226,17.000,6.03387
21,1.12097,17.000,6.03710
21,1.11935,17.000,6.03871
22,1.12097,17.000,6.03871
22,1.12581,17.000,6.03065
23,1.11452,17.000,6.03871
24,1.11935,17.000,6.03871
24,1.12097,17.000,6.04032
25,1.11774,17.000,6.03387
25,1.11613,17.000,6.03871
26,1.11774,17.000,6.03387
27,1.11935,17.000,6.03387
27,1.11452,17.000,6.03548
28,1.12097,17.000,6.04355
28,1.12581,17.000,6.03710
29,1.11452,17.000,6.04516
30,1.12419,17.000,6.03871
30,1.12258,17.000,6.04677
31,1.12742,17.000,6.03548
31,1.11613,17.000,6.04032
32,1.11935,17.000,6.03387
33,1.15806,17.000,6.03065
33,1.11935,17.000,6.04677
34,1.10968,17.000,6.03548
34,1.12258,17.000,6.03710
35,1.11452,17.000,6.03226
36,1.12258,17.000,6.04194
36,1.12903,17.000,6.04355
37,1.11452,17.000,6.04032
37,1.11290,17.000,6.03548
38,1.11935,17.000,6.04032
39,1.11774,17.000,6.04032
39,1.11613,17.000,6.04839
40,1.12097,17.000,6.04194
41,1.11935,17.000,6.03226
41,1.11935,17.000,6.03871
42,1.12742,17.000,6.04355
42,1.12097,17.000,6.04677
43,1.12097,17.000,6.04516
44,1.11613,17.000,6.04032
44,1.13065,17.000,6.03548
45,1.12581,17.000,6.03710
45,1.11613,17.000,6.04355
46,1.10806,17.000,6.04516
47,1.11774,17.000,6.03710
47,1.10968,17.000,6.03710
48,1.11774,17.000,6.03871
48,1.09516,17.000,6.03710
49,1.12258,17.000,6.03710
50,1.12097,17.000,6.03871
50,1.12097,17.000,6.04032
51,1.11774,17.000,6.03226
51,1.11290,17.000,6.04032
52,1.12903,17.000,6.03387
53,1.12258,17.000,6.03871
53,1.11774,17.000,6.04194
54,1.11774,17.000,6.03710
54,1.11129,17.000,6.05000
55,1.10161,17.000,6.03387
56,1.12419,17.000,6.03871
56,1.11613,17.000,6.04032
57,1.12742,17.000,6.04194
57,1.12742,17.000,6.04032
57,1.12903,17.000,6.03548
58,1.12419,17.000,6.03387
58,1.12258,17.000,6.04355
59,1.12097,17.000,6.04194
59,1.11774,17.000,6.03710
60,1.12097,17.000,6.03548
61,1.11774,17.000,6.03710
61,1.11774,17.000,6.03871
62,1.11613,17.000,6.04194
62,1.11452,17.000,6.03871
63,1.11935,17.000,6.03065
64,1.12258,17.000,6.04355
64,1.12097,17.000,6.03871
65,1.11613,17.000,6.04032
66,1.12258,17.000,6.03710
66,1.11613,17.000,6.03710
67,1.11935,17.000,6.02903
67,1.12419,17.000,6.03710
68,1.12258,17.000,6.04355
69,1.11613,17.000,6.03710
69,1.11935,17.000,6.04516
70,1.12097,17.000,6.03871
70,1.11452,17.000,6.03548
71,1.11613,17.000,6.03548
72,1.12097,17.000,6.03548
72,1.11774,17.000,6.03871
73,1.12581,17.000,6.03387
73,1.11129,17.000,6.03710
74,1.11774,17.000,6.03387
75,1.11613,17.000,6.03548
75,1.12097,17.000,6.03871
76,1.11452,17.000,6.03548
76,1.11129,17.000,6.04355
77,1.12258,17.000,6.03548
78,1.11613,17.000,6.03871
78,1.11935,17.000,6.03548
79,1.12258,17.000,6.04194
79,1.12581,17.000,6.05000
80,1.12258,17.000,6.03710
81,1.11290,17.000,6.03548
81,1.12419,17.000,6.02903
82,1.11613,17.000,6.03710
82,1.11613,17.000,6.03710
83,1.12258,17.000,6.03710
84,1.12097,17.000,6.03065
84,1.12258,17.000,6.03548
85,1.12903,17.000,6.04194
85,1.11774,17.000,6.03548
86,1.11935,17.000,6.03871
87,1.11935,17.000,6.03226
87,1.12581,17.000,6.04194
88,1.12097,17.000,6.03710
88,1.11935,17.000,6.04355
89,1.11774,17.000,6.03871
90,1.12419,17.000,6.03226
90,1.12903,17.000,6.03710
91,1.11774,17.000,6.03871
92,1.11935,17.000,6.03387
92,1.11613,17.000,6.04032
93,1.12581,17.000,6.03548
93,1.11935,17.000,6.04355
94,1.11935,17.000,6.03710
