timestamp,tds_v,tempC,ph_v
18,1.11935,17.000,6.03548
19,1.10806,17.000,6.03065
20,1.11290,17.000,6.03065
20,1.12419,17.000,6.03710
21,1.11774,17.000,6.03226
21,1.11935,17.000,6.04032
22,1.10161,17.000,6.03387
23,1.12258,17.000,6.03710
23,1.12581,17.000,6.04194
24,1.12903,17.000,6.04194
24,1.11774,17.000,6.03871
25,1.11935,17.000,6.03548
25,1.12258,17.000,6.03871
26,1.12581,17.000,6.03871
27,1.12742,17.000,6.04516
27,1.12097,17.000,6.04032
28,1.12258,17.000,6.03871
29,1.12097,17.000,6.04355
29,1.12419,17.000,6.03548
30,1.12742,17.000,6.04355
30,1.11774,17.000,6.04194
31,1.12097,17.000,6.03871
32,1.12258,17.000,6.04032
32,1.11129,17.000,6.04194
33,1.11935,17.000,6.04194
33,1.11774,17.000,6.03548
34,1.12097,17.000,6.04839
35,1.12419,17.000,6.04839
35,1.14516,17.000,6.04032
36,1.12903,17.000,6.03710
36,1.12258,17.000,6.04355
37,1.11452,17.000,6.03871
38,1.12097,17.000,6.04032
38,1.12097,17.000,6.04194
39,1.11774,17.000,6.03710
40,1.11129,17.000,6.03710
40,1.11774,17.000,6.03871
41,1.11774,17.000,6.04516
41,1.15323,17.000,6.03548
42,1.13065,17.000,6.04032
43,1.12581,17.000,6.04194
43,1.11774,17.000,6.03710
44,1.13065,17.000,6.04194
44,1.11935,17.000,6.04194
45,1.12742,17.000,6.04032
46,1.12581,17.000,6.04677
46,1.12258,17.000,6.03387
46,1.12258,17.000,6.04839
46,1.12097,17.000,6.04194
47,1.11452,17.000,6.04032
48,1.11452,17.000,6.04516
48,1.12258,17.000,6.04032
49,1.09839,17.000,6.04032
49,1.12097,17.000,6.04677
50,1.11452,17.000,6.04194
51,1.11613,17.000,6.04032
51,1.12581,17.000,6.03710
52,1.12097,17.000,6.04677
52,1.11129,17.000,6.03871
53,1.12903,17.000,6.04355
54,1.12258,17.000,6.03710
54,1.11935,17.000,6.03548
55,1.12258,17.000,6.03710
55,1.11452,17.000,6.03871
56,1.13710,17.000,6.03710
57,1.12581,17.000,6.04516
57,1.12258,17.000,6.04194
58,1.12581,17.000,6.03871
58,1.11935,17.000,6.03710
59,1.12097,17.000,6.02581
60,1.12258,17.000,6.04194
60,1.09677,17.000,6.03548
61,1.10323,17.000,6.04032
61,1.11452,17.000,6.03548
62,1.11613,17.000,6.04194
63,1.11774,17.000,6.04355
63,1.12903,17.000,6.04677
64,1.12419,17.000,6.03871
64,1.12258,17.000,6.03548
65,1.12258,17.000,6.03871
66,1.11935,17.000,6.03548
66,1.11935,17.000,6.04355
67,1.12742,17.000,6.04516
68,1.11452,17.000,6.03387
68,1.12581,17.000,6.03548
69,1.11129,17.000,6.03871
69,1.11129,17.000,6.03871
70,1.12419,17.000,6.04032
71,1.11774,17.000,6.03387
71,1.14194,17.000,6.03226
72,1.12097,17.000,6.03710
72,1.12097,17.000,6.03548
73,1.12097,17.000,6.04355
74,1.13226,17.000,6.03871
74,1.11935,17.000,6.04194
75,1.10484,17.000,6.04355
75,1.13226,17.000,6.04032
76,1.11613,17.000,6.03710
77,1.12581,17.000,6.04032
77,1.12097,17.000,6.04032
78,1.11290,17.000,6.03710
78,1.09516,17.000,6.03710
79,1.13065,17.000,6.04032
80,1.11129,17.000,6.03387
80,1.12419,17.000,6.03548
81,1.12419,17.000,6.03548
81,1.11935,17.000,6.03548
82,1.12581,17.000,6.04516
83,1.12742,17.000,6.03387
83,1.11613,17.000,6.03226
84,1.12419,17.000,6.03710
84,1.12258,17.000,6.03387
85,1.11290,17.000,6.04194
86,1.11452,17.000,6.03710
86,1.12581,17.000,6.03548
87,1.12258,17.000,6.03871
87,1.12097,17.000,6.03065
87,1.12097,17.000,6.02903
88,1.12097,17.000,6.03871
88,1.11774,17.000,6.04194
89,1.12097,17.000,6.03065
90,1.12097,17.000,6.03710
90,1.11452,17.000,6.03710
91,1.11452,17.000,6.04355
91,1.12097,17.000,6.03548
92,1.12258,17.000,6.03710
93,1.12419,17.000,6.03548
93,1.11774,17.000,6.03871
94,1.12097,17.000,6.03710
