timestamp,tds_v,tempC,ph_v
20,1.92903,16.500,6.04194
20,1.92742,16.500,6.03226
21,1.92742,16.500,6.04032
22,1.92903,16.500,6.04032
22,1.93065,16.500,6.03710
23,1.93065,16.500,6.04032
23,1.93065,16.500,6.03387
24,1.93226,16.500,6.03226
25,1.90806,16.500,6.03710
25,1.92258,16.500,6.04355
26,1.92742,16.500,6.03387
26,1.92419,16.500,6.03710
27,1.92419,16.500,6.03387
28,1.92903,16.500,6.03548
28,1.91935,16.500,6.04677
29,1.92903,16.500,6.03548
29,1.92419,16.500,6.03226
30,1.93710,16.500,6.03710
31,1.92742,16.500,6.04194
31,1.93065,16.500,6.03871
31,1.92903,16.500,6.03871
31,1.92097,16.500,6.04194
32,1.93226,16.500,6.03387
33,1.93065,16.500,6.03548
33,1.92419,16.500,6.04355
34,1.93065,16.500,6.04355
34,1.92581,16.500,6.03871
35,1.92903,16.500,6.04839
36,1.93548,16.500,6.04032
36,1.91613,16.500,6.04516
37,1.88710,16.500,6.03710
37,1.91935,16.500,6.03387
38,1.92903,16.500,6.03387
39,1.92258,16.500,6.03387
39,1.93065,16.500,6.04194
40,1.92903,16.500,6.03226
41,1.91613,16.500,6.03387
41,1.92419,16.500,6.03226
42,1.93226,16.500,6.03871
42,1.92903,16.500,6.04032
43,1.93065,16.500,6.04194
44,1.92742,16.500,6.03710
44,1.92742,16.500,6.03387
45,1.92742,16.500,6.04194
45,1.92903,16.500,6.03548
46,1.92581,16.500,6.03871
47,1.92903,16.500,6.03871
47,1.91935,16.500,6.03871
48,1.92581,16.500,6.03226
48,1.92742,16.500,6.03710
49,1.93065,16.500,6.04355
50,1.92903,16.500,6.03710
50,1.94677,16.500,6.04032
51,1.92258,16.500,6.04032
51,1.92742,16.500,6.04032
52,1.93548,16.500,6.03871
53,1.93548,16.500,6.03548
53,1.92097,16.500,6.04032
54,1.92903,16.500,6.03710
54,1.93065,16.500,6.04194
55,1.92258,16.500,6.04032
56,1.92581,16.500,6.03548
56,1.93226,16.500,6.04194
57,1.93065,16.500,6.03548
58,1.92742,16.500,6.03065
58,1.91774,16.500,6.03548
59,1.92419,16.500,6.04032
59,1.93065,16.500,6.04516
60,1.92419,16.500,6.03871
61,1.93548,16.500,6.03871
61,1.92581,16.500,6.03387
62,1.92419,16.500,6.04194
62,1.92742,16.500,6.04355
63,1.93226,16.500,6.03548
64,1.92258,16.500,6.03387
64,1.92419,16.500,6.04194
65,1.92903,16.500,6.04194
65,1.92097,16.500,6.04516
66,1.93226,16.500,6.04355
67,1.92903,16.500,6.03387
67,1.93387,16.500,6.03871
68,1.91774,16.500,6.04194
68,1.92258,16.500,6.04355
69,1.92419,16.500,6.04032
70,1.92903,16.500,6.04032
70,1.93065,16.500,6.03710
71,1.94194,16.500,6.04516
72,1.92419,16.500,6.04355
72,1.92419,16.500,6.04355
72,1.92581,16.500,6.03710
72,1.92903,16.500,6.04032
73,1.93065,16.500,6.04194
74,1.93710,16.500,6.04516
74,1.93226,16.500,6.03871
75,1.93226,16.500,6.03387
76,1.92903,16.500,6.03871
76,1.91774,16.500,6.04032
77,1.92742,16.500,6.04677
77,1.93065,16.500,6.04355
78,1.93387,16.500,6.04355
79,1.92097,16.500,6.03871
79,1.92742,16.500,6.03387
80,1.94355,16.500,6.04516
80,1.93226,16.500,6.03871
81,1.92419,16.500,6.04032
82,1.92581,16.500,6.03710
82,1.93065,16.500,6.03548
83,1.92258,16.500,6.03710
83,1.93065,16.500,6.03710
84,1.91935,16.500,6.03710
85,1.92742,16.500,6.04194
85,1.93065,16.500,6.03710
86,1.92742,16.500,6.04194
86,1.93387,16.500,6.04032
87,1.92581,16.500,6.03710
88,1.93226,16.500,6.04032
88,1.93065,16.500,6.04355
89,1.93065,16.500,6.04355
89,1.92581,16.500,6.03710
90,1.93065,16.500,6.03871
91,1.92742,16.500,6.03387
91,1.93548,16.500,6.04355
92,1.92742,16.500,6.04194
92,1.93065,16.500,6.04355
93,1.92419,16.500,6.03710
94,1.92097,16.500,6.03226
