timestamp,tds_v,tempC,ph_v
19,1.12419,nan,6.03226
19,1.11129,nan,6.04194
20,1.11774,nan,6.04516
20,1.11452,nan,6.03065
21,1.11129,nan,6.03548
21,1.10968,nan,6.03710
22,1.10806,nan,6.03387
22,1.11290,nan,6.03710
23,1.11774,nan,6.04355
24,1.11774,nan,6.03387
24,1.12097,nan,6.04194
25,1.12258,nan,6.04355
25,1.10806,nan,6.03871
26,1.11613,nan,6.03871
26,1.11613,nan,6.04194
27,1.11774,nan,6.03387
27,1.11290,nan,6.03710
28,1.11129,nan,6.04355
28,1.11613,nan,6.03871
29,1.11452,nan,6.03548
29,1.10645,nan,6.03871
30,1.10484,nan,6.03065
30,1.10806,nan,6.03871
31,1.11290,nan,6.03871
31,1.11129,nan,6.03548
32,1.11613,nan,6.03710
32,1.10645,nan,6.04839
33,1.10968,nan,6.04032
33,1.11935,nan,6.04032
34,1.10484,nan,6.03548
34,1.12097,nan,6.03548
35,1.11290,nan,6.03387
35,1.11613,nan,6.04032
36,1.11774,nan,6.03065
36,1.10323,nan,6.03871
37,1.11452,nan,6.03548
38,1.11290,nan,6.02903
38,1.11290,nan,6.03387
38,1.10968,nan,6.03548
39,1.11613,nan,6.03871
40,1.10645,nan,6.03710
40,1.12097,nan,6.04355
41,1.12097,nan,6.03387
41,1.11452,nan,6.03387
42,1.12097,nan,6.03871
42,1.12258,nan,6.03710
43,1.11290,nan,6.03548
43,1.12258,nan,6.04516
44,1.10323,nan,6.03871
44,1.11129,nan,6.03710
45,1.11290,nan,6.04194
45,1.12097,nan,6.03710
46,1.11613,nan,6.03387
46,1.11129,nan,6.04839
47,1.12258,nan,6.03710
47,1.11452,nan,6.04194
48,1.12097,nan,6.04355
48,1.11613,nan,6.04355
49,1.11452,nan,6.03387
49,1.11774,nan,6.04516
50,1.11774,nan,6.04032
50,1.11452,nan,6.03387
51,1.10645,nan,6.04677
51,1.11935,nan,6.03548
51,1.11129,nan,6.04194
51,1.11613,nan,6.04032
52,1.11129,nan,6.03710
53,1.11129,nan,6.03548
53,1.11613,nan,6.04839
54,1.11613,nan,6.04194
54,1.11935,nan,6.04839
55,1.13226,nan,6.04194
55,1.10968,nan,6.04194
56,1.11613,nan,6.03871
56,1.11452,nan,6.04194
57,1.12581,nan,6.03065
57,1.11774,nan,6.03710
58,1.12097,nan,6.04355
58,1.11452,nan,6.03871
59,1.10645,nan,6.03710
59,1.11452,nan,6.03710
60,1.11774,nan,6.04032
60,1.10968,nan,6.04194
61,1.10484,nan,6.03065
61,1.10968,nan,6.03710
62,1.10968,nan,6.03871
62,1.12258,nan,6.04032
63,1.11290,nan,6.03226
63,1.10645,nan,6.04032
64,1.11774,nan,6.04355
64,1.11129,nan,6.03387
65,1.11290,nan,6.03871
65,1.11613,nan,6.04194
66,1.10968,nan,6.03871
66,1.12742,nan,6.04677
67,1.12097,nan,6.03871
68,1.10806,nan,6.03871
68,1.11613,nan,6.03710
68,1.11613,nan,6.03871
69,1.11452,nan,6.04194
70,1.11613,nan,6.03065
70,1.11452,nan,6.03871
71,1.11290,nan,6.03548
71,1.11290,nan,6.03548
72,1.11290,nan,6.04194
72,1.10645,nan,6.03548
73,1.12097,nan,6.04355
73,1.11290,nan,6.04516
74,1.11452,nan,6.03387
74,1.10484,nan,6.03548
75,1.10645,nan,6.04032
75,1.08710,nan,6.03710
76,1.11613,nan,6.03871
76,1.10968,nan,6.03871
77,1.10968,nan,6.03226
77,1.11613,nan,6.03387
78,1.11935,nan,6.04677
78,1.11452,nan,6.03871
79,1.10806,nan,6.04032
79,1.11613,nan,6.04516
80,1.11290,nan,6.03710
80,1.10806,nan,6.04194
81,1.11452,nan,6.03710
81,1.11290,nan,6.03548
82,1.10806,nan,6.03548
82,1.11290,nan,6.04355
83,1.11452,nan,6.04355
84,1.10806,nan,6.03871
84,1.12097,nan,6.04355
85,1.10806,nan,6.04032
85,1.11613,nan,6.03710
86,1.12258,nan,6.03871
86,1.11935,nan,6.03065
87,1.11129,nan,6.04516
87,1.12097,nan,6.03710
88,1.10806,nan,6.03548
88,1.11935,nan,6.03871
89,1.11613,nan,6.03710
89,1.11290,nan,6.04194
90,1.11290,nan,6.03548
90,1.10968,nan,6.04355
91,1.11774,nan,6.03710
91,1.12097,nan,6.04032
92,1.12419,nan,6.04677
92,1.11452,nan,6.04516
93,1.11290,nan,6.04032
93,1.11774,nan,6.04677
93,1.11129,nan,6.04355
93,1.10968,nan,6.04194
94,1.11452,25.000,6.03548
