timestamp,tds_v,tempC,ph_v
19,1.11290,17.000,6.03548
19,1.12742,17.000,6.03871
20,1.11452,17.000,6.03226
20,1.11613,17.000,6.03548
21,1.11290,17.000,6.04194
22,1.12419,17.000,6.03710
22,1.11290,17.000,6.04032
23,1.12258,17.000,6.03710
23,1.11290,17.000,6.03548
24,1.11935,17.000,6.04355
25,1.11452,17.000,6.03387
25,1.11290,17.000,6.04032
26,1.12258,17.000,6.04355
27,1.11935,17.000,6.03548
27,1.11935,17.000,6.04355
28,1.11452,17.000,6.03710
28,1.11774,17.000,6.03871
29,1.11290,17.000,6.03065
30,1.12097,17.000,6.04032
30,1.10968,17.000,6.04355
31,1.11774,17.000,6.04194
31,1.12097,17.000,6.03065
32,1.11935,17.000,6.03871
33,1.12258,17.000,6.04516
33,1.11290,17.000,6.04032
34,1.11290,17.000,6.03226
34,1.12419,17.000,6.04032
35,1.09032,17.000,6.03710
36,1.11613,17.000,6.03710
36,1.12581,17.000,6.04032
37,1.12258,17.000,6.04032
37,1.11774,17.000,6.03065
38,1.15161,17.000,6.03226
39,1.12097,17.000,6.03065
39,1.11935,17.000,6.03387
40,1.11935,17.000,6.03387
40,1.11613,17.000,6.03871
41,1.12097,17.000,6.03226
42,1.11452,17.000,6.03710
42,1.11774,17.000,6.03387
43,1.11935,17.000,6.03065
43,1.11613,17.000,6.03387
44,1.11613,17.000,6.03387
45,1.11774,17.000,6.04194
45,1.11774,17.000,6.03548
46,1.12097,17.000,6.04839
46,1.11774,17.000,6.03387
47,1.12097,17.000,6.03548
48,1.10968,17.000,6.03710
48,1.12581,17.000,6.03548
48,1.11129,17.000,6.03871
48,1.12258,17.000,6.02742
49,1.12419,17.000,6.03871
50,1.12097,17.000,6.03548
50,1.11774,17.000,6.04355
51,1.11613,17.000,6.03871
51,1.12742,17.000,6.03710
52,1.12419,17.000,6.03226
53,1.11935,17.000,6.03387
53,1.12581,17.000,6.03710
54,1.11452,17.000,6.03065
55,1.15161,17.000,6.03548
55,1.12097,17.000,6.03710
56,1.11613,17.000,6.03387
56,1.11613,17.000,6.03871
57,1.12097,17.000,6.03226
58,1.10968,17.000,6.03871
58,1.10968,17.000,6.03710
59,1.11129,17.000,6.03226
59,1.10968,17.000,6.03387
60,1.12581,17.000,6.03387
61,1.11129,17.000,6.02581
61,1.11613,17.000,6.03387
62,1.11452,17.000,6.03226
62,1.14677,17.000,6.03710
63,1.13065,17.000,6.03548
64,1.08387,17.000,6.04032
64,1.12581,17.000,6.04032
65,1.11129,17.000,6.03871
65,1.12258,17.000,6.03387
66,1.11452,17.000,6.04355
67,1.13871,17.000,6.03871
68,1.11935,17.000,6.04194
68,1.11935,17.000,6.03548
69,1.11452,17.000,6.04516
69,1.13226,17.000,6.03226
70,1.12097,17.000,6.04032
71,1.12097,17.000,6.03710
71,1.11290,17.000,6.04032
72,1.12419,17.000,6.04194
72,1.12419,17.000,6.04032
73,1.12742,17.000,6.04194
74,1.11613,17.000,6.03871
74,1.11774,17.000,6.03871
75,1.11613,17.000,6.02903
75,1.12097,17.000,6.04032
76,1.10968,17.000,6.03387
77,1.11452,17.000,6.03710
77,1.11290,17.000,6.03710
78,1.11290,17.000,6.04032
79,1.12419,17.000,6.04032
79,1.11935,17.000,6.03387
80,1.11129,17.000,6.03710
80,1.11452,17.000,6.03548
81,1.13548,17.000,6.03226
82,1.11452,17.000,6.03387
82,1.11290,17.000,6.03065
83,1.11452,17.000,6.03871
83,1.11613,17.000,6.03226
84,1.12097,17.000,6.04194
85,1.13226,17.000,6.03387
85,1.11774,17.000,6.04032
86,1.11935,17.000,6.03871
86,1.11935,17.000,6.04032
87,1.12097,17.000,6.03548
88,1.11613,17.000,6.03065
88,1.11613,17.000,6.03710
89,1.10484,17.000,6.03226
89,1.12097,17.000,6.04032
90,1.13548,17.000,6.03710
90,1.11129,17.000,6.03710
90,1.12258,17.000,6.04032
91,1.11774,17.000,6.03387
91,1.11290,17.000,6.04516
92,1.12097,17.000,6.03710
93,1.12419,17.000,6.03710
93,1.12419,17.000,6.04194
94,1.14355,17.000,6.03387
