timestamp,tds_v,tempC,ph_v
20,1.89355,16.500,6.03226
21,1.86613,16.500,6.03226
21,1.88871,16.500,6.03548
22,1.89677,16.500,6.03710
23,1.89032,16.500,6.04032
23,1.89516,16.500,6.03226
24,1.89032,16.500,6.03226
25,1.89355,16.500,6.03387
25,1.89355,16.500,6.03387
26,1.89355,16.500,6.04355
26,1.89194,16.500,6.03710
27,1.89355,16.500,6.03387
28,1.89032,16.500,6.03710
28,1.89677,16.500,6.03226
29,1.89355,16.500,6.04677
29,1.89839,16.500,6.03548
30,1.89677,16.500,6.03226
31,1.89355,16.500,6.04032
31,1.89677,16.500,6.03710
31,1.88710,16.500,6.04677
31,1.90161,16.500,6.04194
32,1.89839,16.500,6.04355
33,1.89677,16.500,6.04032
33,1.88710,16.500,6.04194
34,1.89194,16.500,6.04677
34,1.89516,16.500,6.03548
35,1.88710,16.500,6.03548
36,1.89194,16.500,6.04032
36,1.89677,16.500,6.03710
37,1.89516,16.500,6.04194
38,1.89194,16.500,6.03387
38,1.88710,16.500,6.03548
39,1.89194,16.500,6.03226
39,1.89516,16.500,6.03548
40,1.89677,16.500,6.04516
41,1.89355,16.500,6.03226
41,1.89355,16.500,6.03226
42,1.89677,16.500,6.03387
42,1.88710,16.500,6.04032
43,1.89032,16.500,6.04194
44,1.89194,16.500,6.04032
44,1.89032,16.500,6.03065
45,1.89194,16.500,6.03871
46,1.88871,16.500,6.03387
46,1.89516,16.500,6.04032
47,1.88548,16.500,6.03871
47,1.89516,16.500,6.03871
48,1.89355,16.500,6.03871
49,1.91129,16.500,6.03548
49,1.89032,16.500,6.04516
50,1.88710,16.500,6.02581
50,1.88387,16.500,6.04032
51,1.88387,16.500,6.03226
52,1.89032,16.500,6.03871
52,1.88548,16.500,6.03871
53,1.88710,16.500,6.03548
53,1.89194,16.500,6.03387
54,1.88548,16.500,6.03710
55,1.89516,16.500,6.04194
55,1.88710,16.500,6.04032
56,1.89194,16.500,6.02903
56,1.89355,16.500,6.04194
57,1.89194,16.500,6.03710
58,1.88226,16.500,6.03871
58,1.89194,16.500,6.04355
59,1.89516,16.500,6.03548
59,1.88871,16.500,6.03387
60,1.89516,16.500,6.03710
61,1.89677,16.500,6.03548
61,1.88871,16.500,6.03548
62,1.89194,16.500,6.03226
62,1.88871,16.500,6.03387
63,1.88710,16.500,6.04032
64,1.89032,16.500,6.03226
64,1.88548,16.500,6.04516
65,1.89516,16.500,6.03548
66,1.87742,16.500,6.03871
66,1.92258,16.500,6.03548
67,1.89194,16.500,6.03548
67,1.88226,16.500,6.04194
68,1.89032,16.500,6.03871
69,1.88710,16.500,6.02903
69,1.89355,16.500,6.04032
70,1.89355,16.500,6.03871
70,1.89194,16.500,6.03871
71,1.89677,16.500,6.03226
72,1.90000,16.500,6.03871
72,1.89516,16.500,6.02903
73,1.90323,16.500,6.03548
73,1.88871,16.500,6.04355
73,1.88548,16.500,6.03871
74,1.89194,16.500,6.03871
74,1.89677,16.500,6.03548
75,1.89516,16.500,6.04032
75,1.89355,16.500,6.04677
76,1.89516,16.500,6.04355
77,1.88871,16.500,6.03871
77,1.89677,16.500,6.03710
78,1.89032,16.500,6.03710
78,1.89194,16.500,6.04194
79,1.89677,16.500,6.03387
80,1.88871,16.500,6.04032
80,1.89516,16.500,6.02903
81,1.89032,16.500,6.03065
82,1.88548,16.500,6.03548
82,1.87903,16.500,6.03387
83,1.89516,16.500,6.03226
83,1.89194,16.500,6.03710
84,1.88871,16.500,6.03387
85,1.89355,16.500,6.04194
85,1.89032,16.500,6.03710
86,1.89355,16.500,6.03387
86,1.86613,16.500,6.04194
87,1.88871,16.500,6.04355
88,1.89677,16.500,6.04355
88,1.89516,16.500,6.04032
89,1.89677,16.500,6.03226
90,1.89355,16.500,6.03387
90,1.89516,16.500,6.03710
91,1.89032,16.500,6.04355
91,1.88226,16.500,6.03871
92,1.89194,16.500,6.03226
93,1.89032,16.500,6.03226
93,1.89355,16.500,6.03710
94,1.88548,16.500,6.03710
