timestamp,tds_v,tempC,ph_v
20,1.92903,16.500,6.03548
21,1.93065,16.500,6.03710
21,1.92903,16.500,6.03387
22,1.92097,16.500,6.03710
22,1.93065,16.500,6.04032
23,1.93065,16.500,6.03548
24,1.92742,16.500,6.04677
24,1.92742,16.500,6.03226
25,1.92903,16.500,6.03871
26,1.92258,16.500,6.03710
26,1.93387,16.500,6.03871
27,1.92258,16.500,6.04032
27,1.95484,16.500,6.03871
28,1.93226,16.500,6.03226
29,1.92581,16.500,6.03871
29,1.92742,16.500,6.04194
30,1.92419,16.500,6.03710
30,1.93065,16.500,6.03871
31,1.92903,16.500,6.03226
32,1.92258,16.500,6.03065
32,1.93226,16.500,6.03226
33,1.91935,16.500,6.03871
33,1.92742,16.500,6.03871
34,1.93065,16.500,6.03871
35,1.93226,16.500,6.03710
35,1.93710,16.500,6.03548
36,1.91935,16.500,6.03871
36,1.92903,16.500,6.04355
37,1.92581,16.500,6.03387
38,1.91452,16.500,6.04032
38,1.93065,16.500,6.03871
39,1.93387,16.500,6.04032
40,1.93065,16.500,6.04032
40,1.92903,16.500,6.03710
41,1.92903,16.500,6.03548
41,1.92742,16.500,6.03710
42,1.94677,16.500,6.03548
42,1.93226,16.500,6.04032
42,1.93548,16.500,6.03387
43,1.93387,16.500,6.03387
43,1.92903,16.500,6.03548
44,1.93387,16.500,6.03871
45,1.92903,16.500,6.04194
45,1.93065,16.500,6.03548
46,1.93548,16.500,6.03387
47,1.92258,16.500,6.04032
47,1.92581,16.500,6.03226
48,1.92742,16.500,6.04194
48,1.93065,16.500,6.03065
49,1.92097,16.500,6.03387
50,1.93065,16.500,6.03387
50,1.92419,16.500,6.03387
51,1.92742,16.500,6.04516
51,1.93226,16.500,6.03871
52,1.92581,16.500,6.03871
53,1.92581,16.500,6.03871
53,1.92903,16.500,6.03548
54,1.92742,16.500,6.04194
54,1.92903,16.500,6.03710
55,1.93065,16.500,6.03387
56,1.93710,16.500,6.03226
56,1.93226,16.500,6.03226
57,1.93871,16.500,6.04194
57,1.93065,16.500,6.03387
58,1.92258,16.500,6.03387
59,1.91774,16.500,6.03065
59,1.93710,16.500,6.04032
60,1.93387,16.500,6.05000
61,1.93226,16.500,6.03871
61,1.92581,16.500,6.03387
62,1.90323,16.500,6.04194
62,1.93871,16.500,6.03387
63,1.93065,16.500,6.03387
64,1.92903,16.500,6.03548
64,1.92581,16.500,6.04032
65,1.93226,16.500,6.03387
65,1.93065,16.500,6.03387
66,1.91935,16.500,6.03387
67,1.93387,16.500,6.04032
67,1.93226,16.500,6.02903
68,1.92903,16.500,6.03387
68,1.92903,16.500,6.03226
69,1.92581,16.500,6.04032
70,1.93548,16.500,6.04032
70,1.93065,16.500,6.03387
71,1.93226,16.500,6.03548
71,1.94032,16.500,6.03548
72,1.92742,16.500,6.03226
73,1.92903,16.500,6.03226
73,1.93065,16.500,6.03387
74,1.93065,16.500,6.03065
74,1.92742,16.500,6.03065
75,1.93065,16.500,6.03710
76,1.92258,16.500,6.03387
76,1.92742,16.500,6.03710
77,1.92581,16.500,6.03871
78,1.94355,16.500,6.03710
78,1.92903,16.500,6.04194
79,1.92903,16.500,6.04032
79,1.92258,16.500,6.03548
80,1.92419,16.500,6.02903
81,1.92581,16.500,6.03548
81,1.93226,16.500,6.03226
82,1.91613,16.500,6.02903
82,1.92903,16.500,6.03548
83,1.92258,16.500,6.03548
84,1.93065,16.500,6.03871
84,1.93065,16.500,6.03710
84,1.92903,16.500,6.03548
84,1.96774,16.500,6.03387
85,1.93548,16.500,6.03710
86,1.92903,16.500,6.03548
86,1.92742,16.500,6.03710
87,1.92742,16.500,6.03065
87,1.92742,16.500,6.03871
88,1.92742,16.500,6.03871
89,1.93387,16.500,6.03226
89,1.92581,16.500,6.04677
90,1.92903,16.500,6.03387
90,1.93226,16.500,6.03710
91,1.92258,16.500,6.03871
92,1.92742,16.500,6.04355
92,1.93387,16.500,6.04032
93,1.94677,16.500,6.03065
93,1.92419,16.500,6.03871
94,1.93065,16.500,6.03710
