timestamp,tds_v,tempC,ph_v
19,1.11774,17.000,6.03548
19,1.11290,17.000,6.03065
20,1.11613,17.000,6.03065
21,1.11774,17.000,6.03548
21,1.12097,17.000,6.03871
22,1.10323,17.000,6.03548
22,1.12097,17.000,6.03710
23,1.11613,17.000,6.03548
24,1.12097,17.000,6.04032
24,1.12419,17.000,6.04032
25,1.11935,17.000,6.03710
25,1.12097,17.000,6.03871
26,1.12258,17.000,6.04677
27,1.13871,17.000,6.04032
27,1.12258,17.000,6.04194
28,1.11290,17.000,6.03548
28,1.10968,17.000,6.03387
29,1.12097,17.000,6.03871
30,1.11935,17.000,6.04355
30,1.11452,17.000,6.04355
31,1.12581,17.000,6.04194
31,1.11935,17.000,6.03871
32,1.12097,17.000,6.03548
33,1.11935,17.000,6.03710
33,1.11935,17.000,6.03548
34,1.11452,17.000,6.04194
35,1.11613,17.000,6.03548
35,1.10484,17.000,6.03710
36,1.11613,17.000,6.03871
36,1.12903,17.000,6.03871
37,1.11774,17.000,6.03871
38,1.11613,17.000,6.03710
38,1.10968,17.000,6.03871
39,1.11774,17.000,6.04032
39,1.11129,17.000,6.04194
40,1.11935,17.000,6.03871
40,1.11613,17.000,6.04355
41,1.11452,17.000,6.04032
42,1.11290,17.000,6.04516
42,1.11935,17.000,6.04194
43,1.11774,17.000,6.03710
43,1.11613,17.000,6.03710
44,1.11935,17.000,6.03387
44,1.11452,17.000,6.03871
