timestamp,tds_v,tempC,ph_v
19,1.90000,16.500,6.03871
19,1.90806,16.500,6.04032
20,1.91290,16.500,6.03387
21,1.90806,16.500,6.04516
21,1.90161,16.500,6.04032
22,1.90645,16.500,6.03871
22,1.91290,16.500,6.04032
23,1.91452,16.500,6.03548
24,1.91452,16.500,6.03710
24,1.91613,16.500,6.04032
25,1.90806,16.500,6.03871
25,1.91129,16.500,6.03710
26,1.90323,16.500,6.04032
27,1.90645,16.500,6.03871
27,1.91290,16.500,6.04032
28,1.90484,16.500,6.04032
28,1.91129,16.500,6.03710
29,1.90645,16.500,6.04516
30,1.91613,16.500,6.04194
30,1.92097,16.500,6.04516
31,1.90484,16.500,6.03710
32,1.91290,16.500,6.04032
32,1.90645,16.500,6.05000
33,1.90968,16.500,6.03871
33,1.91129,16.500,6.04355
34,1.91613,16.500,6.04194
35,1.91129,16.500,6.03710
35,1.91129,16.500,6.04839
36,1.91290,16.500,6.03871
36,1.91613,16.500,6.05161
37,1.91452,16.500,6.04032
38,1.91290,16.500,6.04032
38,1.91129,16.500,6.04032
39,1.90645,16.500,6.03548
39,1.91129,16.500,6.04194
40,1.90806,16.500,6.03710
41,1.91613,16.500,6.04032
41,1.91290,16.500,6.03387
42,1.90323,16.500,6.04194
42,1.91129,16.500,6.04516
43,1.91129,16.500,6.04516
44,1.91290,16.500,6.03548
44,1.91774,16.500,6.04194
45,1.91452,16.500,6.03710
46,1.90484,16.500,6.04839
46,1.90806,16.500,6.04032
47,1.91290,16.500,6.04032
47,1.91290,16.500,6.04194
48,1.91774,16.500,6.03226
49,1.90968,16.500,6.05161
49,1.92097,16.500,6.03548
50,1.90645,16.500,6.03871
51,1.91452,16.500,6.03871
51,1.90484,16.500,6.04355
51,1.90000,16.500,6.04194
51,1.91935,16.500,6.03710
52,1.91613,16.500,6.03710
53,1.91774,16.500,6.04032
53,1.90806,16.500,6.03710
54,1.90806,16.500,6.05000
54,1.90806,16.500,6.04194
55,1.88226,16.500,6.04516
56,1.91935,16.500,6.04355
56,1.90968,16.500,6.04355
57,1.90484,16.500,6.04839
57,1.90645,16.500,6.04516
58,1.91290,16.500,6.04516
59,1.90968,16.500,6.03871
59,1.89355,16.500,6.04677
60,1.90968,16.500,6.03871
60,1.90968,16.500,6.03548
61,1.90806,16.500,6.04194
62,1.90645,16.500,6.03710
62,1.90806,16.500,6.03871
63,1.90806,16.500,6.04516
64,1.91613,16.500,6.04355
64,1.90645,16.500,6.04194
65,1.91452,16.500,6.04194
65,1.92419,16.500,6.03226
66,1.90323,16.500,6.04194
67,1.91452,16.500,6.03548
67,1.91290,16.500,6.04032
68,1.90806,16.500,6.04194
68,1.91129,16.500,6.03710
69,1.90161,16.500,6.04516
70,1.91935,16.500,6.03710
70,1.91290,16.500,6.03548
71,1.91452,16.500,6.04032
71,1.91290,16.500,6.04194
72,1.90645,16.500,6.04516
73,1.91452,16.500,6.03548
73,1.92097,16.500,6.03710
74,1.91613,16.500,6.04677
74,1.90968,16.500,6.03548
75,1.91290,16.500,6.04194
76,1.91290,16.500,6.03548
76,1.91129,16.500,6.04194
77,1.91290,16.500,6.03387
77,1.91452,16.500,6.04032
78,1.90968,16.500,6.04355
79,1.90484,16.500,6.05000
79,1.90323,16.500,6.04032
80,1.90806,16.500,6.04516
81,1.90645,16.500,6.03548
81,1.90968,16.500,6.03710
82,1.90806,16.500,6.04194
82,1.90806,16.500,6.04355
83,1.90806,16.500,6.04516
84,1.90968,16.500,6.04194
84,1.91452,16.500,6.04032
85,1.91452,16.500,6.03548
85,1.91290,16.500,6.03387
86,1.90161,16.500,6.03710
87,1.91129,16.500,6.03226
87,1.91290,16.500,6.04355
88,1.92742,16.500,6.04194
88,1.90323,16.500,6.03710
89,1.90806,16.500,6.04355
90,1.90806,16.500,6.03710
90,1.91129,16.500,6.03871
91,1.90484,16.500,6.04032
91,1.90968,16.500,6.04194
92,1.90968,16.500,6.04194
93,1.91452,16.500,6.04194
93,1.90161,16.500,6.04839
93,1.90968,16.500,6.03548
93,1.91290,16.500,6.03871
94,1.90645,16.500,6.03710
