timestamp,tds_v,tempC,ph_v
20,1.11290,17.000,6.03548
20,1.12581,17.000,6.03548
20,1.12097,17.000,6.03710
21,1.11935,17.000,6.03065
21,1.11129,17.000,6.04194
22,1.11935,17.000,6.03548
23,1.11935,17.000,6.04194
23,1.12258,17.000,6.03710
24,1.11613,17.000,6.03710
24,1.12258,17.000,6.03871
25,1.12903,17.000,6.03710
26,1.10806,17.000,6.04032
26,1.13387,17.000,6.04839
27,1.11774,17.000,6.04032
27,1.13226,17.000,6.03710
28,1.12742,17.000,6.04516
29,1.12581,17.000,6.03710
29,1.11935,17.000,6.04032
30,1.12419,17.000,6.03548
31,1.12097,17.000,6.03548
31,1.12581,17.000,6.03871
32,1.12742,17.000,6.03710
32,1.11935,17.000,6.03387
33,1.12903,17.000,6.03710
34,1.11935,17.000,6.04194
34,1.12581,17.000,6.03871
35,1.12419,17.000,6.03548
35,1.15484,17.000,6.04355
36,1.11452,17.000,6.03871
37,1.12903,17.000,6.03871
37,1.11452,17.000,6.04516
38,1.12581,17.000,6.03871
38,1.10645,17.000,6.04677
39,1.12419,17.000,6.04032
40,1.12581,17.000,6.03871
40,1.11935,17.000,6.03065
41,1.11613,17.000,6.03710
41,1.11935,17.000,6.04032
42,1.12742,17.000,6.04194
43,1.10968,17.000,6.03871
43,1.11935,17.000,6.03871
44,1.11774,17.000,6.03065
44,1.12258,17.000,6.03871
45,1.12581,17.000,6.03387
46,1.13065,17.000,6.03387
46,1.13387,17.000,6.03226
47,1.11774,17.000,6.04032
47,1.12258,17.000,6.03871
48,1.11613,17.000,6.03871
49,1.12097,17.000,6.04032
49,1.12903,17.000,6.03871
50,1.11613,17.000,6.02742
51,1.11613,17.000,6.04194
51,1.12258,17.000,6.03871
52,1.12097,17.000,6.03871
52,1.12419,17.000,6.03548
53,1.11935,17.000,6.04677
54,1.11613,17.000,6.04194
54,1.12419,17.000,6.04194
55,1.11935,17.000,6.03548
55,1.12258,17.000,6.03387
56,1.11774,17.000,6.03710
57,1.11935,17.000,6.04032
57,1.12097,17.000,6.03065
58,1.12581,17.000,6.03548
58,1.12258,17.000,6.03226
59,1.12097,17.000,6.03226
60,1.11935,17.000,6.03548
60,1.11613,17.000,6.03710
61,1.11935,17.000,6.04032
62,1.11129,17.000,6.03548
62,1.11774,17.000,6.03548
62,1.12097,17.000,6.03548
62,1.11935,17.000,6.04194
63,1.12097,17.000,6.04355
64,1.13871,17.000,6.04032
64,1.11613,17.000,6.03871
65,1.11935,17.000,6.03871
65,1.12097,17.000,6.03387
66,1.13065,17.000,6.03387
67,1.11774,17.000,6.03710
67,1.08710,17.000,6.03710
68,1.12097,17.000,6.03548
68,1.12258,17.000,6.04194
69,1.11935,17.000,6.03065
70,1.12742,17.000,6.04032
70,1.12581,17.000,6.04677
71,1.11774,17.000,6.03387
71,1.13548,17.000,6.04194
72,1.12419,17.000,6.04194
73,1.11613,17.000,6.03387
73,1.12258,17.000,6.03871
74,1.12419,17.000,6.03871
74,1.12097,17.000,6.04839
75,1.12097,17.000,6.03710
76,1.12742,17.000,6.03387
76,1.08226,17.000,6.04194
77,1.12097,17.000,6.04194
77,1.11774,17.000,6.03710
78,1.11290,17.000,6.03710
79,1.12742,17.000,6.03710
79,1.12419,17.000,6.04355
80,1.13226,17.000,6.04194
80,1.13065,17.000,6.03387
81,1.12258,17.000,6.03387
82,1.14839,17.000,6.03710
82,1.12419,17.000,6.04355
83,1.11613,17.000,6.03226
83,1.11613,17.000,6.03387
84,1.11935,17.000,6.03226
85,1.12258,17.000,6.03548
85,1.12097,17.000,6.03710
86,1.11290,17.000,6.04355
87,1.12581,17.000,6.03548
87,1.10484,17.000,6.04677
88,1.12419,17.000,6.04032
88,1.11613,17.000,6.03871
89,1.11935,17.000,6.04194
90,1.11613,17.000,6.03065
90,1.12903,17.000,6.03387
91,1.11935,17.000,6.03710
91,1.12097,17.000,6.03871
92,1.13548,17.000,6.04355
93,1.12419,17.000,6.04194
93,1.12258,17.000,6.04032
94,1.12419,17.000,6.04032
