timestamp,tds_v,tempC,ph_v
20,1.11774,17.000,6.03710
21,1.12258,17.000,6.03710
21,1.12581,17.000,6.03871
22,1.11935,17.000,6.03226
23,1.12581,17.000,6.04032
23,1.11774,17.000,6.03548
24,1.11935,17.000,6.04032
24,1.13065,17.000,6.04355
25,1.11774,17.000,6.03871
26,1.12097,17.000,6.04355
26,1.12097,17.000,6.04516
27,1.12258,17.000,6.04032
28,1.12419,17.000,6.04839
28,1.12258,17.000,6.03548
29,1.11774,17.000,6.03710
29,1.11452,17.000,6.03387
30,1.12419,17.000,6.04032
31,1.11935,17.000,6.04194
31,1.12258,17.000,6.03548
31,1.11129,17.000,6.04677
31,1.11935,17.000,6.04355
32,1.12419,17.000,6.04194
33,1.11935,17.000,6.02903
33,1.12419,17.000,6.04355
34,1.13387,17.000,6.03226
34,1.12742,17.000,6.03548
35,1.11935,17.000,6.03548
36,1.11613,17.000,6.03387
36,1.11935,17.000,6.03710
37,1.12419,17.000,6.03710
37,1.11613,17.000,6.03871
38,1.12419,17.000,6.04032
39,1.11613,17.000,6.03871
39,1.12419,17.000,6.03548
40,1.12097,17.000,6.03871
40,1.12258,17.000,6.04516
41,1.12419,17.000,6.04516
42,1.12097,17.000,6.03387
42,1.12742,17.000,6.04194
43,1.12581,17.000,6.04032
43,1.11452,17.000,6.04677
44,1.12258,17.000,6.03710
45,1.12581,17.000,6.03548
45,1.12581,17.000,6.03710
46,1.12419,17.000,6.03710
46,1.12258,17.000,6.03548
47,1.12097,17.000,6.03871
48,1.12258,17.000,6.04194
48,1.12742,17.000,6.03387
49,1.12258,17.000,6.03871
50,1.12097,17.000,6.03710
50,1.11613,17.000,6.04032
51,1.10323,17.000,6.04194
51,1.12097,17.000,6.03710
52,1.12581,17.000,6.04194
53,1.11452,17.000,6.03710
53,1.13065,17.000,6.04194
54,1.12742,17.000,6.04194
54,1.11935,17.000,6.03548
55,1.12419,17.000,6.03548
56,1.12419,17.000,6.03871
56,1.12742,17.000,6.04355
57,1.12581,17.000,6.03710
57,1.12581,17.000,6.03548
58,1.12742,17.000,6.03548
59,1.12419,17.000,6.03387
59,1.11452,17.000,6.03871
60,1.13065,17.000,6.04839
60,1.11774,17.000,6.04032
61,1.12258,17.000,6.03871
62,1.12419,17.000,6.03226
62,1.12419,17.000,6.03710
63,1.12419,17.000,6.05000
63,1.12258,17.000,6.03065
64,1.11935,17.000,6.03710
65,1.11935,17.000,6.03387
65,1.11452,17.000,6.03710
66,1.12097,17.000,6.04194
66,1.11935,17.000,6.03710
67,1.13065,17.000,6.04032
68,1.11774,17.000,6.03065
68,1.11290,17.000,6.03710
69,1.10968,17.000,6.03548
69,1.12097,17.000,6.03871
70,1.12097,17.000,6.03871
71,1.11935,17.000,6.03871
71,1.12581,17.000,6.03226
72,1.12419,17.000,6.04194
72,1.12258,17.000,6.03871
73,1.12419,17.000,6.03387
73,1.10645,17.000,6.03548
73,1.12742,17.000,6.04194
74,1.10968,17.000,6.04194
74,1.11452,17.000,6.02742
75,1.16613,17.000,6.03226
76,1.12419,17.000,6.03710
76,1.12258,17.000,6.03548
77,1.10968,17.000,6.03710
78,1.11774,17.000,6.04032
78,1.13226,17.000,6.03710
79,1.12097,17.000,6.04355
79,1.12742,17.000,6.04032
80,1.13226,17.000,6.04194
81,1.12419,17.000,6.03387
81,1.11935,17.000,6.03548
82,1.12581,17.000,6.03387
82,1.12581,17.000,6.03548
83,1.12258,17.000,6.03710
84,1.12419,17.000,6.03065
84,1.12581,17.000,6.04516
85,1.12742,17.000,6.04194
85,1.12097,17.000,6.03871
86,1.12742,17.000,6.03710
87,1.12742,17.000,6.03710
87,1.12258,17.000,6.03226
88,1.11290,17.000,6.04032
88,1.12742,17.000,6.03710
89,1.11935,17.000,6.03548
90,1.12097,17.000,6.03387
90,1.11935,17.000,6.03226
91,1.12097,17.000,6.03226
91,1.11774,17.000,6.03226
92,1.12742,17.000,6.03871
93,1.11774,17.000,6.03226
93,1.12419,17.000,6.03710
94,1.11774,17.000,6.03065
