timestamp,tds_v,tempC,ph_v
20,1.10968,17.000,6.03548
20,1.11452,17.000,6.03226
21,1.12097,17.000,6.03548
21,1.12903,17.000,6.03710
22,1.11935,17.000,6.03226
23,1.11290,17.000,6.03548
23,1.12097,17.000,6.03226
24,1.12742,17.000,6.03226
24,1.12419,17.000,6.03387
25,1.11129,17.000,6.04194
25,1.11774,17.000,6.03226
25,1.11774,17.000,6.03548
26,1.11452,17.000,6.03387
27,1.12097,17.000,6.03710
27,1.12581,17.000,6.03871
28,1.11613,17.000,6.03548
28,1.11935,17.000,6.03871
29,1.13548,17.000,6.03710
30,1.11290,17.000,6.04032
30,1.12258,17.000,6.04194
31,1.11935,17.000,6.03710
31,1.11935,17.000,6.04194
32,1.11452,17.000,6.03710
33,1.12258,17.000,6.03710
33,1.11935,17.000,6.04032
34,1.12258,17.000,6.03387
34,1.11774,17.000,6.03226
35,1.12581,17.000,6.04032
36,1.12097,17.000,6.03871
36,1.12903,17.000,6.04355
37,1.10806,17.000,6.03710
37,1.11774,17.000,6.03710
38,1.11613,17.000,6.04194
39,1.12581,17.000,6.03548
39,1.12419,17.000,6.04194
40,1.13065,17.000,6.03871
40,1.11290,17.000,6.04032
41,1.11935,17.000,6.04194
42,1.12097,17.000,6.04032
42,1.12419,17.000,6.03548
43,1.12097,17.000,6.04032
43,1.09032,17.000,6.04194
44,1.12419,17.000,6.04194
45,1.11290,17.000,6.04355
45,1.12419,17.000,6.04032
46,1.12742,17.000,6.03871
46,1.12581,17.000,6.03871
47,1.12258,17.000,6.03226
48,1.11452,17.000,6.03871
48,1.12581,17.000,6.04677
49,1.12258,17.000,6.03871
49,1.12258,17.000,6.04032
50,1.12258,17.000,6.04032
51,1.12097,17.000,6.05000
51,1.12903,17.000,6.04194
52,1.12097,17.000,6.04194
52,1.11452,17.000,6.03548
53,1.11452,17.000,6.03548
54,1.12742,17.000,6.03710
54,1.11774,17.000,6.03710
55,1.12903,17.000,6.04032
55,1.11129,17.000,6.03871
56,1.11935,17.000,6.03065
57,1.12097,17.000,6.03871
57,1.11129,17.000,6.04355
58,1.11613,17.000,6.04032
58,1.12419,17.000,6.04032
59,1.11774,17.000,6.04194
60,1.12581,17.000,6.04355
60,1.12742,17.000,6.04194
61,1.12258,17.000,6.03871
62,1.12097,17.000,6.04032
62,1.12097,17.000,6.03710
63,1.12419,17.000,6.04194
63,1.12581,17.000,6.03548
64,1.12258,17.000,6.03871
65,1.12258,17.000,6.03871
65,1.11935,17.000,6.03871
66,1.12097,17.000,6.04032
66,1.11935,17.000,6.03871
67,1.12258,17.000,6.03065
67,1.11774,17.000,6.04032
67,1.12258,17.000,6.03387
68,1.12419,17.000,6.03871
68,1.11613,17.000,6.03387
69,1.12581,17.000,6.03710
70,1.12258,17.000,6.04355
70,1.11774,17.000,6.04194
71,1.12097,17.000,6.04032
71,1.12419,17.000,6.04355
72,1.12742,17.000,6.03871
73,1.11613,17.000,6.04032
74,1.11613,17.000,6.03548
74,1.12419,17.000,6.03710
75,1.11935,17.000,6.03548
75,1.11290,17.000,6.03065
76,1.12258,17.000,6.03710
77,1.12419,17.000,6.04355
77,1.10484,17.000,6.04194
78,1.11935,17.000,6.03871
78,1.11452,17.000,6.03710
79,1.11935,17.000,6.03387
80,1.12097,17.000,6.03710
80,1.12581,17.000,6.03871
81,1.11774,17.000,6.04032
81,1.12258,17.000,6.03548
82,1.13387,17.000,6.03226
83,1.12581,17.000,6.03871
83,1.12419,17.000,6.04032
84,1.12581,17.000,6.04032
84,1.12581,17.000,6.04194
85,1.11774,17.000,6.03548
86,1.12581,17.000,6.03226
86,1.11774,17.000,6.03226
87,1.11935,17.000,6.04194
87,1.11613,17.000,6.03065
88,1.11774,17.000,6.03710
89,1.12581,17.000,6.03226
89,1.12581,17.000,6.03710
90,1.11774,17.000,6.03710
90,1.12097,17.000,6.03871
91,1.11613,17.000,6.03710
92,1.12419,17.000,6.03065
92,1.11452,17.000,6.03871
93,1.12258,17.000,6.03710
94,1.14677,17.000,6.03871
