timestamp,tds_v,tempC,ph_v
19,1.93387,16.500,6.03871
20,1.93226,16.500,6.03548
20,1.93548,16.500,6.03871
21,1.93387,16.500,6.04194
21,1.93710,16.500,6.03548
22,1.92742,16.500,6.03710
23,1.93387,16.500,6.04355
23,1.93548,16.500,6.03548
24,1.93387,16.500,6.04194
24,1.93065,16.500,6.04355
25,1.93710,16.500,6.03548
26,1.93387,16.500,6.03871
26,1.93387,16.500,6.03548
27,1.93226,16.500,6.03387
28,1.93387,16.500,6.03710
28,1.94032,16.500,6.03548
29,1.93387,16.500,6.04194
29,1.93710,16.500,6.04032
30,1.93710,16.500,6.03871
31,1.93710,16.500,6.04516
31,1.94194,16.500,6.03871
32,1.91774,16.500,6.03226
33,1.93548,16.500,6.03387
33,1.94194,16.500,6.03871
34,1.91935,16.500,6.03065
34,1.91290,16.500,6.03226
35,1.93871,16.500,6.03871
36,1.93226,16.500,6.03387
36,1.92903,16.500,6.03065
37,1.94032,16.500,6.04516
37,1.93710,16.500,6.03871
38,1.93387,16.500,6.04194
39,1.93871,16.500,6.04516
39,1.93548,16.500,6.03226
40,1.93871,16.500,6.03871
40,1.93065,16.500,6.04355
41,1.93548,16.500,6.03710
42,1.93065,16.500,6.04194
42,1.92903,16.500,6.03387
43,1.93548,16.500,6.04194
43,1.91290,16.500,6.03387
44,1.93710,16.500,6.04032
45,1.93387,16.500,6.03871
45,1.93226,16.500,6.03710
45,1.93710,16.500,6.03548
46,1.94032,16.500,6.03548
46,1.93710,16.500,6.03387
47,1.93065,16.500,6.03710
48,1.93387,16.500,6.03710
48,1.92419,16.500,6.03710
49,1.93387,16.500,6.03065
49,1.93871,16.500,6.03710
50,1.93548,16.500,6.02903
51,1.93710,16.500,6.03387
51,1.93226,16.500,6.04032
52,1.93871,16.500,6.03548
52,1.93710,16.500,6.03710
53,1.93387,16.500,6.03871
54,1.93548,16.500,6.03710
54,1.93226,16.500,6.03548
55,1.93548,16.500,6.04194
55,1.95161,16.500,6.03710
56,1.93710,16.500,6.04194
57,1.93387,16.500,6.03871
57,1.93065,16.500,6.04355
58,1.93871,16.500,6.03871
58,1.94032,16.500,6.04194
59,1.93871,16.500,6.04194
60,1.93871,16.500,6.04355
60,1.93710,16.500,6.03548
61,1.94516,16.500,6.04516
61,1.93387,16.500,6.04032
62,1.93871,16.500,6.05161
63,1.94194,16.500,6.03710
63,1.93548,16.500,6.04194
64,1.93710,16.500,6.04032
65,1.95161,16.500,6.03548
65,1.92903,16.500,6.04677
66,1.92903,16.500,6.03387
66,1.93226,16.500,6.04194
67,1.93710,16.500,6.04355
68,1.93387,16.500,6.04194
68,1.93226,16.500,6.04516
69,1.93065,16.500,6.03710
69,1.93710,16.500,6.04839
70,1.93387,16.500,6.03710
71,1.94032,16.500,6.03871
71,1.92258,16.500,6.03548
72,1.93387,16.500,6.03710
72,1.93387,16.500,6.03387
73,1.94194,16.500,6.03871
74,1.93548,16.500,6.04032
74,1.93710,16.500,6.03710
75,1.94032,16.500,6.04355
75,1.94032,16.500,6.03387
76,1.93065,16.500,6.04194
77,1.93065,16.500,6.04032
77,1.94032,16.500,6.04516
78,1.93226,16.500,6.03710
78,1.93226,16.500,6.04032
79,1.92903,16.500,6.04516
80,1.94677,16.500,6.04194
80,1.94032,16.500,6.04516
81,1.93387,16.500,6.04355
82,1.93871,16.500,6.04032
82,1.93226,16.500,6.03710
83,1.93710,16.500,6.04355
83,1.93387,16.500,6.04516
84,1.93226,16.500,6.03226
85,1.93065,16.500,6.03548
85,1.93387,16.500,6.03710
86,1.92742,16.500,6.03065
86,1.92903,16.500,6.04677
86,1.92903,16.500,6.04032
87,1.93871,16.500,6.04032
87,1.91613,16.500,6.03710
88,1.92903,16.500,6.03548
88,1.91129,16.500,6.04839
89,1.93871,16.500,6.03871
90,1.93710,16.500,6.04194
90,1.92903,16.500,6.04032
91,1.90645,16.500,6.03548
92,1.92903,16.500,6.04839
92,1.93548,16.500,6.03710
93,1.94194,16.500,6.03548
93,1.92903,16.500,6.03710
94,1.92742,16.500,6.03710
