timestamp,tds_v,tempC,ph_v
19,1.11613,17.000,6.03710
19,1.12742,17.000,6.04355
20,1.11452,17.000,6.03065
21,1.11774,17.000,6.03710
21,1.12258,17.000,6.04032
22,1.11935,17.000,6.03548
22,1.11774,17.000,6.03387
23,1.11774,17.000,6.03387
24,1.11774,17.000,6.03548
24,1.12419,17.000,6.03548
25,1.12258,17.000,6.02903
25,1.11613,17.000,6.03387
26,1.12097,17.000,6.03710
27,1.11935,17.000,6.03548
27,1.12581,17.000,6.04032
28,1.11452,17.000,6.04194
28,1.12903,17.000,6.04032
29,1.11935,17.000,6.03871
30,1.11613,17.000,6.04355
30,1.12258,17.000,6.03387
31,1.12258,17.000,6.04194
31,1.12419,17.000,6.04032
32,1.11290,17.000,6.03387
33,1.11774,17.000,6.04355
33,1.12097,17.000,6.04194
34,1.11613,17.000,6.05000
34,1.11774,17.000,6.04032
35,1.11613,17.000,6.03548
36,1.11613,17.000,6.03387
36,1.11935,17.000,6.04355
37,1.11774,17.000,6.03387
37,1.11774,17.000,6.03710
38,1.11452,17.000,6.03548
39,1.12742,17.000,6.03710
39,1.12742,17.000,6.04839
40,1.11935,17.000,6.03065
40,1.12581,17.000,6.04032
41,1.12581,17.000,6.04032
42,1.11774,17.000,6.04032
42,1.12097,17.000,6.04677
43,1.11129,17.000,6.04194
44,1.12419,17.000,6.03710
44,1.12258,17.000,6.04355
45,1.12258,17.000,6.03065
45,1.11290,17.000,6.04677
46,1.12097,17.000,6.03710
47,1.13710,17.000,6.03710
47,1.12742,17.000,6.03710
48,1.11129,17.000,6.04194
48,1.12742,17.000,6.03226
49,1.11774,17.000,6.04032
50,1.11613,17.000,6.03871
50,1.11774,17.000,6.03548
51,1.12097,17.000,6.03226
51,1.13226,17.000,6.04355
52,1.12419,17.000,6.04194
53,1.12419,17.000,6.04677
53,1.12097,17.000,6.03548
54,1.11129,17.000,6.04677
54,1.12903,17.000,6.04032
55,1.11613,17.000,6.04032
56,1.12419,17.000,6.04194
56,1.12258,17.000,6.04032
57,1.12903,17.000,6.04032
57,1.11452,17.000,6.04032
58,1.12419,17.000,6.04194
59,1.13065,17.000,6.04032
59,1.12419,17.000,6.04032
59,1.12419,17.000,6.04355
59,1.11935,17.000,6.03871
60,1.11613,17.000,6.03065
61,1.11613,17.000,6.04677
61,1.11290,17.000,6.04677
62,1.12097,17.000,6.04032
63,1.11935,17.000,6.04839
63,1.11452,17.000,6.03548
64,1.12903,17.000,6.03387
64,1.11613,17.000,6.04032
65,1.11935,17.000,6.04032
66,1.12097,17.000,6.04677
66,1.11935,17.000,6.03710
67,1.11935,17.000,6.04355
67,1.12581,17.000,6.04677
68,1.11613,17.000,6.04355
69,1.11935,17.000,6.04355
69,1.12419,17.000,6.03387
70,1.11774,17.000,6.03710
70,1.11452,17.000,6.04677
71,1.12258,17.000,6.03548
72,1.11774,17.000,6.03871
72,1.10968,17.000,6.04516
73,1.11774,17.000,6.03710
74,1.11774,17.000,6.04032
74,1.12097,17.000,6.04355
75,1.15323,17.000,6.04839
75,1.12581,17.000,6.04032
76,1.12903,17.000,6.04194
77,1.11935,17.000,6.03548
77,1.11774,17.000,6.03710
78,1.11935,17.000,6.04194
78,1.11129,17.000,6.03710
79,1.11452,17.000,6.03387
80,1.12258,17.000,6.03871
80,1.12097,17.000,6.03710
81,1.12581,17.000,6.03871
81,1.12258,17.000,6.03548
82,1.11774,17.000,6.04194
83,1.12258,17.000,6.03548
83,1.11613,17.000,6.03387
84,1.11774,17.000,6.03387
84,1.10968,17.000,6.03871
85,1.11935,17.000,6.03226
86,1.11774,17.000,6.04194
86,1.11452,17.000,6.03710
87,1.11452,17.000,6.04355
88,1.11129,17.000,6.04032
88,1.11774,17.000,6.03710
89,1.12097,17.000,6.03226
89,1.13226,17.000,6.03548
90,1.12419,17.000,6.03710
91,1.11774,17.000,6.04032
91,1.11935,17.000,6.03871
92,1.10484,17.000,6.03387
92,1.11613,17.000,6.03871
93,1.11613,17.000,6.04516
94,1.11935,17.000,6.04677
