timestamp,tds_v,tempC,ph_v
19,1.91129,16.500,6.03871
20,1.91935,16.500,6.03387
21,1.90161,16.500,6.04677
21,1.90323,16.500,6.03710
22,1.92258,16.500,6.04839
22,1.90323,16.500,6.03871
23,1.91613,16.500,6.04194
24,1.91129,16.500,6.03387
24,1.90968,16.500,6.03387
25,1.90806,16.500,6.04677
25,1.90806,16.500,6.04194
26,1.91452,16.500,6.04516
27,1.90968,16.500,6.04032
27,1.89677,16.500,6.03548
27,1.91290,16.500,6.03710
27,1.90968,16.500,6.03871
28,1.90806,16.500,6.03710
29,1.90806,16.500,6.04355
29,1.91290,16.500,6.04516
30,1.90968,16.500,6.04194
30,1.90806,16.500,6.04677
31,1.91129,16.500,6.04032
32,1.90806,16.500,6.04355
32,1.91290,16.500,6.03226
33,1.89355,16.500,6.03710
33,1.91613,16.500,6.04032
34,1.90484,16.500,6.03387
35,1.91290,16.500,6.03871
35,1.91613,16.500,6.03548
36,1.90968,16.500,6.04677
37,1.90806,16.500,6.04032
37,1.90968,16.500,6.04194
38,1.90806,16.500,6.03548
38,1.90645,16.500,6.03548
39,1.90645,16.500,6.05000
40,1.91129,16.500,6.03548
40,1.90968,16.500,6.03387
41,1.91290,16.500,6.04355
41,1.89516,16.500,6.04516
42,1.91290,16.500,6.05000
43,1.90968,16.500,6.05000
43,1.90806,16.500,6.05000
44,1.87419,16.500,6.04032
44,1.93548,16.500,6.03710
45,1.90806,16.500,6.04677
46,1.91452,16.500,6.03548
46,1.90806,16.500,6.04194
47,1.90645,16.500,6.03387
48,1.91290,16.500,6.03548
48,1.90806,16.500,6.04194
49,1.91290,16.500,6.03387
49,1.90968,16.500,6.03871
50,1.89677,16.500,6.04516
51,1.90645,16.500,6.03548
51,1.91452,16.500,6.04839
52,1.91452,16.500,6.03710
52,1.89839,16.500,6.03387
53,1.90968,16.500,6.04194
54,1.91129,16.500,6.04194
54,1.90806,16.500,6.04194
55,1.90645,16.500,6.03226
55,1.90806,16.500,6.04032
56,1.91290,16.500,6.03226
56,1.90323,16.500,6.03548
57,1.90323,16.500,6.04194
58,1.89839,16.500,6.03387
58,1.90806,16.500,6.04194
59,1.90968,16.500,6.04194
59,1.90806,16.500,6.03710
