timestamp,tds_v,tempC,ph_v
20,1.11935,17.000,6.03548
21,1.11452,17.000,6.03387
21,1.11290,17.000,6.04032
22,1.11613,17.000,6.03710
22,1.13065,17.000,6.04355
23,1.11129,17.000,6.03710
24,1.10806,17.000,6.04032
24,1.12097,17.000,6.03710
25,1.12258,17.000,6.03710
25,1.15484,17.000,6.04355
26,1.11935,17.000,6.03226
26,1.10806,17.000,6.03871
26,1.11935,17.000,6.03065
27,1.11613,17.000,6.04032
27,1.11290,17.000,6.04355
28,1.11774,17.000,6.04194
29,1.11129,17.000,6.03387
29,1.11290,17.000,6.04032
30,1.10161,17.000,6.04516
30,1.11774,17.000,6.04032
31,1.11613,17.000,6.04516
32,1.11290,17.000,6.03871
32,1.12419,17.000,6.03871
33,1.11613,17.000,6.04355
34,1.10968,17.000,6.04194
34,1.11452,17.000,6.03548
35,1.11774,17.000,6.04194
35,1.10968,17.000,6.04194
36,1.12419,17.000,6.04194
37,1.10806,17.000,6.04677
37,1.11774,17.000,6.03710
38,1.11129,17.000,6.03548
38,1.11774,17.000,6.04355
39,1.11774,17.000,6.03065
40,1.12419,17.000,6.04194
40,1.11129,17.000,6.04032
41,1.12097,17.000,6.03871
41,1.12742,17.000,6.04355
42,1.12419,17.000,6.04032
43,1.12742,17.000,6.03548
43,1.11290,17.000,6.03548
44,1.11452,17.000,6.03226
44,1.10968,17.000,6.03387
45,1.11452,17.000,6.03871
46,1.15000,17.000,6.04032
46,1.11774,17.000,6.03710
47,1.10806,17.000,6.03387
48,1.11613,17.000,6.03548
48,1.11613,17.000,6.03387
49,1.11774,17.000,6.03226
49,1.11935,17.000,6.03226
50,1.11290,17.000,6.03710
51,1.12097,17.000,6.03548
51,1.10968,17.000,6.03387
52,1.11290,17.000,6.03871
52,1.11290,17.000,6.03710
53,1.09194,17.000,6.04032
54,1.14677,17.000,6.04355
54,1.11613,17.000,6.03226
55,1.09839,17.000,6.05161
55,1.11774,17.000,6.03871
56,1.12419,17.000,6.03548
57,1.12258,17.000,6.03548
57,1.11452,17.000,6.03065
58,1.11129,17.000,6.04355
58,1.11613,17.000,6.04355
59,1.11452,17.000,6.03226
60,1.11613,17.000,6.03710
60,1.11935,17.000,6.03226
61,1.11290,17.000,6.04355
61,1.12258,17.000,6.03871
62,1.11452,17.000,6.03387
63,1.11452,17.000,6.03871
63,1.11613,17.000,6.04032
64,1.11774,17.000,6.04194
64,1.12903,17.000,6.03710
65,1.11774,17.000,6.03226
66,1.15484,17.000,6.03226
66,1.11452,17.000,6.03710
67,1.11774,17.000,6.03871
67,1.11935,17.000,6.03871
68,1.11935,17.000,6.03710
68,1.11774,17.000,6.03226
68,1.12419,17.000,6.03548
69,1.11290,17.000,6.03871
69,1.11452,17.000,6.03548
70,1.11935,17.000,6.03871
71,1.11935,17.000,6.03710
71,1.12258,17.000,6.03548
72,1.11290,17.000,6.04194
73,1.12419,17.000,6.03548
73,1.12258,17.000,6.03548
74,1.10806,17.000,6.04194
74,1.11452,17.000,6.04032
75,1.13387,17.000,6.03226
76,1.11129,17.000,6.03548
76,1.11613,17.000,6.03387
77,1.11452,17.000,6.04032
77,1.10645,17.000,6.04194
78,1.11613,17.000,6.04677
79,1.11290,17.000,6.03548
79,1.11774,17.000,6.03710
80,1.12097,17.000,6.04032
80,1.12581,17.000,6.03710
81,1.11774,17.000,6.04194
82,1.11290,17.000,6.03871
82,1.11613,17.000,6.03548
83,1.11129,17.000,6.03387
83,1.10806,17.000,6.03065
84,1.11935,17.000,6.04355
85,1.11452,17.000,6.03710
85,1.11290,17.000,6.03065
86,1.11774,17.000,6.03065
86,1.11129,17.000,6.03871
87,1.11613,17.000,6.04839
88,1.12581,17.000,6.03548
88,1.12097,17.000,6.03226
89,1.11613,17.000,6.03548
89,1.11129,17.000,6.04355
90,1.11935,17.000,6.04194
91,1.11129,17.000,6.02581
91,1.13065,17.000,6.04355
92,1.10645,17.000,6.04194
92,1.12097,17.000,6.03065
93,1.11452,17.000,6.04032
94,1.14194,17.000,6.03871
